* 7:16pm Jan 11  2017
* a0 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d3(C) a3(M)
* 2. a5(n) b1(p)
* 3. c8(n) b7(c)
* 4. c3(P) d2(G)
* 5. b4(p) d8(R)
* 6. d8-c8 c1(C)
* 7. c2(c) a6(p)
* 8. d2-c2 a2(P)
* 9. d4(K) a1(p)
* 10. c1-a1 c7(g)
* 11. a7(m) b5(G)
* 12. b5-a5 d1(P)
* 13. d1-d2 d5(P)
* 14. c2-c1 c6(p)
* 15. c1-b1 a4(k)
* 16. a5-a6 c7-c8
* 17. b1-c1 b6(m)
* 18. a1-b1 a8(P)
* 19. a6-b6 b4-b5
* 20. c5(r) a4-a3
* 21. a2-a3 b2(M)
* 22. b3(N) a7-a8
* 23. b1-a1 d6(N)
* 24. a1-a8 b8(r)
* 25. b6-c6 c5-d5
* 26. d3-d5 b7-b3
* 27. c6-c5 c4(R)
* 28. a8-c8 d7(g)
* 29. d5-d7 b5-a5
* 30. c5-b5 a5-a6
* 31. b5-a5 a6-b6
* 32. a5-b5 b6-a6
* 33. b5-a5 a6-b6
* 34. a5-b5 b6-a6
* 35. b5-a5 a6-b6
* 36. a5-b5 b6-a6
* 37. b5-a5
* Draws
* Comment 0 0
0. 1484133450266
1. 1484133452203
2. 1484133452422
3. 1484133452641
4. 1484133452860
5. 1484133453047
6. 1484133453266
7. 1484133453453
8. 1484133453672
9. 1484133453860
10. 1484133454078
11. 1484133454297
12. 1484133454516
13. 1484133454703
14. 1484133454985
15. 1484133455172
16. 1484133455360
17. 1484133455547
18. 1484133455750
19. 1484133455938
20. 1484133456156
21. 1484133456344
22. 1484133456547
23. 1484133456750
24. 1484133456938
25. 1484133457219
26. 1484133457406
27. 1484133457594
28. 1484133457813
29. 1484133457985
30. 1484133458203
31. 1484133458391
32. 1484133458578
33. 1484133458766
34. 1484133458953
35. 1484133459141
36. 1484133459328
37. 1484133459563
38. 1484133459750
39. 1484133459953
40. 1484133460156
41. 1484133460360
42. 1484133460610
43. 1484133460797
44. 1484133460985
45. 1484133461203
46. 1484133461485
47. 1484133461672
48. 1484133461953
49. 1484133462141
50. 1484133462469
51. 1484133462656
52. 1484133462953
53. 1484133463141
54. 1484133463453
55. 1484133463625
56. 1484133464469
57. 1484133464875
58. 1484133465531
59. 1484133465938
60. 1484133466766
61. 1484133467094
62. 1484133467969
63. 1484133468406
64. 1484133469250
65. 1484133469656
66. 1484133470516
67. 1484133470906
68. 1484133471750
69. 1484133472172
70. 1484133473031
71. 1484133473422
72. 1484133474250
