* 8:31pm Jan 12  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b8(P) d4(c)
* 2. c4(M) c3(K)
* 3. c4-d4 b2(g)
* 4. c6(m) d1(C)
* 5. c7(P) c6-c7
* 6. a2(p) b6(P)
* 7. d6(G) d5(n)
* 8. c3-c4 b7(N)
* 9. d8(p) c7-b7
* 10. c2(k) b7-b6
* 11. a5(P) a4(N)
* 12. a7(M) d7(r)
* 13. d6-d7 b4(c)
* 14. a4-b4 d3(P)
* 15. d3-c3 b3(p)
* 16. c3-c2 c1(r)
* 17. b4-b3 d5-d6
* 18. a3(n) a3-b3
* 19. c5(g) c5-d5
* 20. a8(C) c1-d1
* 21. a1(m) b1(R)
* 22. d2(G) a1-b1
* 23. d2-d1 b5(p)
* 24. a6(R) b2-c2
* 25. a5-b5 b6-b5
* 26. c4-c3 c8(p)
* 27. d7-d6 b5-a5
* 28. c3-c2 d5-d4
* 29. a8-c8 b1-a1
* 30. d1-c1 a2-b2
* 31. c1-b1 b2-c2
* 32. b1-a1 c2-d2
* 33. d6-d7 d2-d1
* 34. a1-b1 d1-c1
* 35. b1-c1 b3-c3
* 36. c1-d1 c3-d3
* 37. d1-c1 d3-d2
* 38. c1-d1 d2-c2
* 39. d1-c1 c2-d2
* 40. c1-d1 d2-c2
* 41. d1-c1 c2-d2
* 42. c1-d1 d2-c2
* 43. d1-c1 c2-d2
* 44. c1-d1
* Draws
* Comment 0 0
0. 1484224318844
1. 1484224319031
2. 1484224319250
3. 1484224319453
4. 1484224319641
5. 1484224319844
6. 1484224320047
7. 1484224320235
8. 1484224320406
9. 1484224320594
10. 1484224320828
11. 1484224321016
12. 1484224321203
13. 1484224321406
14. 1484224321641
15. 1484224321875
16. 1484224322078
17. 1484224322281
18. 1484224322485
19. 1484224322703
20. 1484224322922
21. 1484224323110
22. 1484224323313
23. 1484224323485
24. 1484224323688
25. 1484224323875
26. 1484224324063
27. 1484224324250
28. 1484224324438
29. 1484224324625
30. 1484224324922
31. 1484224325125
32. 1484224325328
33. 1484224325516
34. 1484224325844
35. 1484224326156
36. 1484224326485
37. 1484224326922
38. 1484224327250
39. 1484224327547
40. 1484224327844
41. 1484224328141
42. 1484224328656
43. 1484224329297
44. 1484224329938
45. 1484224330563
46. 1484224331625
47. 1484224333391
48. 1484224334781
49. 1484224336828
50. 1484224338000
51. 1484224339625
52. 1484224345203
53. 1484224351297
54. 1484224355860
55. 1484224359719
56. 1484224362094
57. 1484224364469
58. 1484224366172
59. 1484224367703
60. 1484224369313
61. 1484224370844
62. 1484224372141
63. 1484224373203
64. 1484224374031
65. 1484224374766
66. 1484224375391
67. 1484224376125
68. 1484224376860
69. 1484224377375
70. 1484224377891
71. 1484224378297
72. 1484224378578
73. 1484224378860
74. 1484224379266
75. 1484224379563
76. 1484224380078
77. 1484224380500
78. 1484224381000
79. 1484224381281
80. 1484224381797
81. 1484224382235
82. 1484224382641
83. 1484224382938
84. 1484224383453
85. 1484224383891
86. 1484224384297
