* 8:40pm Jan 12  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. c4(m) c7(p)
* 2. b2(p) d8(M)
* 3. b8(c) a3(P)
* 4. b8-d8 d7(N)
* 5. c2(P) c2-b2
* 6. d6(K) d7-c7
* 7. c1(P) c1-c2
* 8. a8(M) c5(G)
* 9. c3(r) d4(P)
* 10. c3-c2 a1(p)
* 11. c4-d4 d1(p)
* 12. d1-c1 b5(G)
* 13. c1-d1 b3(P)
* 14. c2-b2 b6(p)
* 15. b2-b3 b7(C)
* 16. d1-c1 d3(m)
* 17. c1-d1 d2(g)
* 18. d1-c1 a7(R)
* 19. c1-d1 d5(k)
* 20. d5-c5 b4(n)
* 21. c5-b5 b1(r)
* 22. b1-c1 c6(n)
* 23. c6-c7 a5(N)
* 24. b5-a5 a6(g)
* 25. b3-a3 a2(R)
* 26. a3-a2 c8(c)
* 27. a1-b1 a4(C)
* 28. b4-a4 d6-d5
* 29. d4-c4 d5-d4
* 30. a6-a7 b7-b8
* 31. c7-d7 b8-d8
* 32. b1-a1 d4-d3
* 33. d7-d8 a8-b8
* 34. a1-b1 b8-c8
* 35. d8-d7 d3-c3
* 36. c4-d4 c3-d3
* 37. d4-c4 d3-c3
* 38. c4-d4 c3-d3
* 39. d4-c4 d3-c3
* 40. c4-d4 c3-d3
* 41. d4-c4 d3-c3
* Draws
* Comment 0 0
0. 1484224862563
1. 1484224862750
2. 1484224862953
3. 1484224863172
4. 1484224863360
5. 1484224863578
6. 1484224863797
7. 1484224863969
8. 1484224864141
9. 1484224864328
10. 1484224864531
11. 1484224864735
12. 1484224864969
13. 1484224865172
14. 1484224865391
15. 1484224865594
16. 1484224865797
17. 1484224865985
18. 1484224866203
19. 1484224866453
20. 1484224866641
21. 1484224866844
22. 1484224867016
23. 1484224867219
24. 1484224867422
25. 1484224867656
26. 1484224867875
27. 1484224868094
28. 1484224868281
29. 1484224868469
30. 1484224868656
31. 1484224868844
32. 1484224869031
33. 1484224869235
34. 1484224869422
35. 1484224869641
36. 1484224869813
37. 1484224870000
38. 1484224870219
39. 1484224870438
40. 1484224870750
41. 1484224870969
42. 1484224871266
43. 1484224871453
44. 1484224871860
45. 1484224872078
46. 1484224872500
47. 1484224872703
48. 1484224873235
49. 1484224873422
50. 1484224874156
51. 1484224874344
52. 1484224874860
53. 1484224875156
54. 1484224878063
55. 1484224878703
56. 1484224879797
57. 1484224880547
58. 1484224881844
59. 1484224882578
60. 1484224884094
61. 1484224884813
62. 1484224885766
63. 1484224886172
64. 1484224887016
65. 1484224887297
66. 1484224888266
67. 1484224888797
68. 1484224889656
69. 1484224890172
70. 1484224891578
71. 1484224892219
72. 1484224893063
73. 1484224893578
74. 1484224894985
75. 1484224895641
76. 1484224896516
77. 1484224897031
78. 1484224898344
79. 1484224898969
80. 1484224899813
81. 1484224900328
