* 4:14pm Jan 14  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b2(G) a4(g)
* 2. c6(M) d6(m)
* 3. c6-d6 d1(c)
* 4. d2(p) d3(p)
* 5. a1(p) b4(m)
* 6. c5(R) d5(R)
* 7. d8(n) a5(G)
* 8. a5-a4 c3(r)
* 9. a4-b4 b3(M)
* 10. b3-c3 c4(N)
* 11. c3-b3 c1(P)
* 12. b4-a4 d4(n)
* 13. c4-d4 c2(g)
* 14. b2-c2 b5(C)
* 15. c2-d2 b1(P)
* 16. b1-a1 d7(k)
* 17. d2-d1 d7-d6
* 18. a1-b1 d6-c6
* 19. c8(K) c6-c5
* 20. d4-d3 c5-c4
* 21. a6(N) c4-b4
* 22. a7(c) a7-a4
* 23. b8(P) b4-b3
* 24. d5-d6 b6(r)
* 25. a6-a5 b7(P)
* 26. c8-d8 b3-c3
* 27. a3(p) c3-d3
* 28. c7(p) d3-d2
* 29. b7-c7 a3-b3
* 30. a2(P) b3-c3
* 31. a8(C) a4-a8
* 32. b1-b2 a8-d8
* 33. b5-c5 b6-b5
* 34. d6-d7 b5-a5
* 35. d7-d8 a5-b5
* 36. c5-d5 b5-c5
* 37. d5-d4 c5-d5
* 38. d4-c4 d5-d4
* 39. c4-b4 d4-c4
* 40. b4-b3 c4-b4
* 41. b3-a3 b4-b3
* 42. a3-c3 b3-c3
* 43. a2-a1 c3-c2
* 44. b2-a2 c2-b2
* 45. a1-b1 b2-b1
* 46. a2-a3 b1-a1
* 47. a3-b3 d2-d3
* 48. c1-c2 a1-b1
* 49. d1-c1 b1-a1
* 50. c1-d1 a1-b1
* 51. d1-c1 b1-a1
* 52. c1-d1 a1-b1
* 53. d1-c1 b1-a1
* 54. c1-d1 a1-b1
* Draws
* Comment 0 0
0. 1484381692906
1. 1484381693094
2. 1484381693281
3. 1484381693469
4. 1484381693688
5. 1484381693875
6. 1484381694063
7. 1484381694250
8. 1484381694453
9. 1484381694672
10. 1484381694844
11. 1484381695047
12. 1484381695235
13. 1484381695422
14. 1484381695610
15. 1484381695797
16. 1484381695985
17. 1484381696188
18. 1484381696406
19. 1484381696594
20. 1484381696781
21. 1484381696969
22. 1484381697156
23. 1484381697360
24. 1484381697563
25. 1484381697813
26. 1484381698063
27. 1484381698235
28. 1484381698438
29. 1484381698656
30. 1484381698875
31. 1484381699063
32. 1484381699266
33. 1484381699547
34. 1484381699781
35. 1484381700172
36. 1484381700422
37. 1484381700797
38. 1484381701141
39. 1484381701328
40. 1484381701547
41. 1484381701719
42. 1484381701938
43. 1484381702328
44. 1484381702641
45. 1484381702922
46. 1484381703172
47. 1484381703344
48. 1484381703781
49. 1484381703953
50. 1484381704391
51. 1484381704578
52. 1484381705141
53. 1484381705438
54. 1484381705875
55. 1484381707141
56. 1484381708000
57. 1484381708297
58. 1484381709375
59. 1484381710000
60. 1484381711625
61. 1484381713969
62. 1484381717469
63. 1484381720031
64. 1484381723094
65. 1484381724375
66. 1484381727766
67. 1484381728735
68. 1484381730469
69. 1484381730969
70. 1484381732406
71. 1484381733016
72. 1484381734344
73. 1484381734844
74. 1484381735938
75. 1484381736375
76. 1484381737219
77. 1484381737735
78. 1484381738797
79. 1484381739203
80. 1484381740078
81. 1484381740610
82. 1484381741360
83. 1484381741688
84. 1484381742110
85. 1484381742391
86. 1484381742703
87. 1484381742875
88. 1484381743188
89. 1484381743375
90. 1484381743578
91. 1484381743750
92. 1484381744000
93. 1484381744156
94. 1484381744500
95. 1484381744688
96. 1484381745094
97. 1484381745281
98. 1484381745594
99. 1484381745766
100. 1484381746188
101. 1484381746375
102. 1484381746672
103. 1484381746844
104. 1484381747266
105. 1484381747438
106. 1484381747750
107. 1484381747922
