* 7:14pm Jan 15  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d2(G) b1(g)
* 2. d8(M) a5(n)
* 3. c6(K) b5(p)
* 4. a3(R) c7(R)
* 5. d4(P) a7(g)
* 6. c1(C) b1-c1
* 7. b8(P) d3(M)
* 8. a4(n) c2(m)
* 9. a3-a4 d6(p)
* 10. d2-c2 c5(r)
* 11. a4-a5 c1-c2
* 12. d3-d2 c2-d2
* 13. b4(P) b5-b4
* 14. c6-c5 d1(P)
* 15. b2(N) c4(G)
* 16. b6(r) a6(c)
* 17. c4-b4 d2-d1
* 18. b2-c2 a8(c)
* 19. b4-b5 b3(p)
* 20. b5-b6 a2(p)
* 21. d4-c4 c8(p)
* 22. a1(N) c8-b8
* 23. d7(C) b7(P)
* 24. c7-c8 c3(k)
* 25. c4-c3 a7-b7
* 26. b6-b7 d5(m)
* 27. a5-a6 d1-c1
* 28. a1-a2 c1-c2
* 29. a2-b2 c2-b2
* 30. d7-d5 b3-c3
* 31. c5-c4 b2-c2
* 32. c4-d4 c3-c4
* 33. d4-d3 c4-d4
* 34. d3-d2 c2-c1
* 35. d2-d1 c1-b1
* 36. d1-c1 b1-a1
* 37. c1-b1 a1-a2
* 38. b1-c1 a8-c8
* 39. c1-d1 a2-b2
* 40. d1-c1 b2-a2
* 41. c1-d1 a2-b2
* 42. d1-c1 b2-a2
* 43. c1-d1 a2-b2
* 44. d1-c1 b2-a2
* 45. c1-d1
* Draws
* Comment 0 0
0. 1484478872688
1. 1484478872891
2. 1484478873063
3. 1484478873516
4. 1484478873719
5. 1484478873906
6. 1484478874094
7. 1484478874266
8. 1484478874438
9. 1484478874610
10. 1484478874797
11. 1484478874985
12. 1484478875235
13. 1484478875422
14. 1484478875610
15. 1484478875828
16. 1484478875985
17. 1484478876203
18. 1484478876406
19. 1484478876610
20. 1484478876781
21. 1484478876985
22. 1484478877219
23. 1484478877406
24. 1484478877610
25. 1484478877906
26. 1484478878078
27. 1484478878281
28. 1484478878453
29. 1484478878641
30. 1484478878844
31. 1484478879063
32. 1484478879250
33. 1484478879485
34. 1484478879672
35. 1484478879875
36. 1484478880047
37. 1484478880235
38. 1484478880485
39. 1484478880656
40. 1484478880844
41. 1484478881016
42. 1484478881188
43. 1484478881610
44. 1484478881797
45. 1484478882281
46. 1484478882438
47. 1484478883438
48. 1484478883641
49. 1484478884938
50. 1484478885375
51. 1484478886797
52. 1484478887328
53. 1484478890110
54. 1484478890735
55. 1484478893250
56. 1484478893406
57. 1484478895235
58. 1484478895766
59. 1484478896844
60. 1484478897047
61. 1484478898031
62. 1484478898219
63. 1484478898875
64. 1484478899063
65. 1484478900016
66. 1484478900219
67. 1484478900844
68. 1484478901047
69. 1484478901547
70. 1484478901750
71. 1484478902266
72. 1484478902563
73. 1484478902969
74. 1484478903172
75. 1484478903735
76. 1484478903922
77. 1484478904485
78. 1484478904719
79. 1484478905344
80. 1484478905531
81. 1484478906047
82. 1484478906235
83. 1484478906860
84. 1484478907078
85. 1484478907610
86. 1484478907781
87. 1484478908406
88. 1484478908594
