* 7:16pm Jan 15  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d8(p) c2(n)
* 2. b1(p) a6(m)
* 3. c1(N) c1-b1
* 4. d3(C) a7(N)
* 5. a6-a7 d2(M)
* 6. b3(P) d2-c2
* 7. b5(p) c7(G)
* 8. d7(P) d7-d8
* 9. a2(P) d5(p)
* 10. a5(r) b1-c1
* 11. a3(c) c1-b1
* 12. a4(g) b1-c1
* 13. d4(R) c1-b1
* 14. c4(r) d4-c4
* 15. d6(k) d3-d6
* 16. c8(C) b1-c1
* 17. c6(n) c7-c6
* 18. a1(M) a1-b1
* 19. c3(G) c4-d4
* 20. a7-a6 a2-a1
* 21. a3-a2 d4-d5
* 22. a4-a3 a8(R)
* 23. a3-a4 c5(m)
* 24. a2-a3 c6-c5
* 25. a3-a2 c2-d2
* 26. a2-a3 a1-a2
* 27. a3-c3 c8-c3
* 28. a4-a3 c3-a3
* 29. a6-a7 a3-a7
* 30. a5-a4 a2-a1
* 31. a4-a3 b6(P)
* 32. a3-b3 c5-b5
* 33. b3-c3 d2-c2
* 34. c3-d3 a1-a2
* 35. d3-d2 b1-a1
* 36. d2-d3 a1-b1
* 37. d3-d2 b1-a1
* 38. d2-d3 a1-b1
* 39. d3-d2 b1-a1
* 40. d2-d3 a1-b1
* 41. d3-d2
* Draws
* Comment 0 0
0. 1484478997406
1. 1484478997594
2. 1484478997797
3. 1484478997985
4. 1484478998188
5. 1484478998406
6. 1484478998625
7. 1484478998797
8. 1484478999000
9. 1484478999203
10. 1484478999375
11. 1484478999563
12. 1484478999750
13. 1484478999938
14. 1484479000172
15. 1484479000360
16. 1484479004125
17. 1484479004344
18. 1484479004531
19. 1484479004703
20. 1484479004906
21. 1484479005094
22. 1484479005281
23. 1484479005469
24. 1484479005688
25. 1484479005891
26. 1484479006063
27. 1484479006281
28. 1484479006500
29. 1484479006688
30. 1484479006906
31. 1484479007094
32. 1484479007266
33. 1484479007453
34. 1484479007750
35. 1484479007953
36. 1484479010813
37. 1484479011016
38. 1484479015203
39. 1484479015422
40. 1484479015641
41. 1484479015891
42. 1484479016203
43. 1484479016406
44. 1484479018266
45. 1484479018469
46. 1484479018672
47. 1484479018860
48. 1484479019063
49. 1484479019235
50. 1484479019391
51. 1484479019594
52. 1484479019813
53. 1484479020156
54. 1484479020360
55. 1484479020672
56. 1484479022000
57. 1484479022203
58. 1484479022422
59. 1484479022672
60. 1484479022891
61. 1484479023125
62. 1484479023297
63. 1484479023500
64. 1484479023719
65. 1484479023922
66. 1484479024125
67. 1484479024344
68. 1484479024516
69. 1484479024719
70. 1484479024922
71. 1484479025110
72. 1484479025328
73. 1484479025516
74. 1484479025688
75. 1484479025860
76. 1484479026063
77. 1484479026266
78. 1484479026453
79. 1484479026672
80. 1484479026860
