* 10:24pm Jan 15  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d8(m) a4(p)
* 2. a6(m) b6(C)
* 3. a6-b6 d7(N)
* 4. d8-d7 d1(n)
* 5. d2(P) b1(r)
* 6. d1-d2 a7(g)
* 7. a3(r) b5(c)
* 8. b4(c) b8(p)
* 9. a2(p) a1(P)
* 10. b1-a1 b2(R)
* 11. b4-b2 d5(P)
* 12. b5-d5 b7(g)
* 13. b3(C) d3(n)
* 14. a3-b3 d6(G)
* 15. d4(P) d6-d7
* 16. c1(G) c1-b1
* 17. c4(K) b1-b2
* 18. c3(k) c4-c3
* 19. d3-d4 b2-a2
* 20. b3-b2 a2-b2
* 21. c2(p) b2-c2
* 22. c5(p) c2-d2
* 23. d5-d2 c8(P)
* 24. a5(R) c3-d3
* 25. c5-d5 c8-b8
* 26. a8(N) c7(M)
* 27. d4-c4 c6(M)
* 28. a1-b1 d3-d2
* 29. c4-c3 d2-d1
* 30. b6-c6 d1-c1
* 31. a4-a3 c1-b1
* 32. d5-c5 a5-b5
* 33. b7-b6 b1-c1
* 34. c3-c2 c1-c2
* 35. a3-b3 c2-d2
* 36. b3-c3 d2-d1
* 37. c3-d3 d1-c1
* 38. b6-b5 c7-c6
* 39. a7-a6 c1-d1
* 40. d3-d2 d1-c1
* 41. d2-d3 c1-d1
* 42. d3-d2 d1-c1
* 43. d2-d3 c1-d1
* 44. d3-d2 d1-c1
* 45. d2-d3 c1-d1
* Draws
* Comment 0 0
0. 1484490304656
1. 1484490304860
2. 1484490305063
3. 1484490305250
4. 1484490305453
5. 1484490305641
6. 1484490305860
7. 1484490306047
8. 1484490306235
9. 1484490306422
10. 1484490306610
11. 1484490306797
12. 1484490306985
13. 1484490307188
14. 1484490307422
15. 1484490307625
16. 1484490307813
17. 1484490308016
18. 1484490308203
19. 1484490308453
20. 1484490308625
21. 1484490308828
22. 1484490309016
23. 1484490309203
24. 1484490309422
25. 1484490309641
26. 1484490309844
27. 1484490310031
28. 1484490310219
29. 1484490310406
30. 1484490310688
31. 1484490310860
32. 1484490311172
33. 1484490311391
34. 1484490312344
35. 1484490312500
36. 1484490313672
37. 1484490313953
38. 1484490314485
39. 1484490314735
40. 1484490315250
41. 1484490315422
42. 1484490315844
43. 1484490316110
44. 1484490316641
45. 1484490316828
46. 1484490317578
47. 1484490318078
48. 1484490319047
49. 1484490319360
50. 1484490320860
51. 1484490321156
52. 1484490329453
53. 1484490329985
54. 1484490330610
55. 1484490333235
56. 1484490334219
57. 1484490336281
58. 1484490338266
59. 1484490339563
60. 1484490349531
61. 1484490351172
62. 1484490353531
63. 1484490354719
64. 1484490363735
65. 1484490365391
66. 1484490376594
67. 1484490378016
68. 1484490378172
69. 1484490379344
70. 1484490379531
71. 1484490380578
72. 1484490386860
73. 1484490387703
74. 1484490393000
75. 1484490393625
76. 1484490396344
77. 1484490396985
78. 1484490398360
79. 1484490398891
80. 1484490399985
81. 1484490400610
82. 1484490402000
83. 1484490402500
84. 1484490403594
85. 1484490404235
86. 1484490405625
87. 1484490406156
88. 1484490407266
89. 1484490407938
