* 12:26am Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b6(C) a2(m)
* 2. c8(p) b3(p)
* 3. b8(M) c1(p)
* 4. b8-c8 d7(K)
* 5. c4(G) b4(P)
* 6. b4-b3 d3(p)
* 7. d6(P) b5(M)
* 8. b7(n) d1(c)
* 9. b3-b4 a7(N)
* 10. a7-b7 a3(R)
* 11. a4(P) a2-a3
* 12. d5(m) a3-a4
* 13. d4(p) a1(k)
* 14. b4-b3 c2(R)
* 15. c2-c1 c5(r)
* 16. c1-d1 d2(N)
* 17. d1-c1 c3(G)
* 18. c1-d1 c6(P)
* 19. c4-c5 a5(r)
* 20. c5-d5 b2(C)
* 21. b5-a5 a4-a5
* 22. d1-c1 a8(g)
* 23. d2-d3 a6(P)
* 24. b1(c) b1-b3
* 25. c3-b3 a1-b1
* 26. d8(g) d8-c8
* 27. d3-d4 b1-c1
* 28. c7(n) c7-b7
* 29. b2-b1 a5-a4
* 30. b1-a1 b7-b6
* 31. a1-b1 c1-b1
* 32. b3-c3 b6-c6
* 33. c3-d3 a8-a7
* 34. d3-d2 a7-a6
* 35. d7-c7 c6-d6
* 36. c7-c8 d6-c6
* 37. d2-d1 b1-c1
* 38. d1-d2 c1-d1
* 39. d2-c2 d1-c1
* 40. c2-d2 c1-d1
* 41. d2-c2 d1-c1
* 42. c2-d2 c1-d1
* 43. d2-c2 d1-c1
* 44. c2-d2 c1-d1
* Draws
* Comment 0 0
0. 1484497620531
1. 1484497620719
2. 1484497620938
3. 1484497621141
4. 1484497621344
5. 1484497621547
6. 1484497621750
7. 1484497621969
8. 1484497622203
9. 1484497622438
10. 1484497622656
11. 1484497622860
12. 1484497623094
13. 1484497623297
14. 1484497623500
15. 1484497623719
16. 1484497623922
17. 1484497624156
18. 1484497624422
19. 1484497624641
20. 1484497624844
21. 1484497625047
22. 1484497625250
23. 1484497625453
24. 1484497625656
25. 1484497625891
26. 1484497626110
27. 1484497626328
28. 1484497626641
29. 1484497626953
30. 1484497627172
31. 1484497627391
32. 1484497627610
33. 1484497627828
34. 1484497628047
35. 1484497628250
36. 1484497628469
37. 1484497628656
38. 1484497628860
39. 1484497629110
40. 1484497641344
41. 1484497653563
42. 1484497661438
43. 1484497662078
44. 1484497672031
45. 1484497674656
46. 1484497677156
47. 1484497689328
48. 1484497701547
49. 1484497704547
50. 1484497706031
51. 1484497718281
52. 1484497730516
53. 1484497730703
54. 1484497732344
55. 1484497744563
56. 1484497756703
57. 1484497765781
58. 1484497778016
59. 1484497782828
60. 1484497783031
61. 1484497784328
62. 1484497784531
63. 1484497790672
64. 1484497802906
65. 1484497808922
66. 1484497841422
67. 1484497842625
68. 1484497842938
69. 1484497843266
70. 1484497843672
71. 1484497844313
72. 1484497844641
73. 1484497844860
74. 1484497845063
75. 1484497845281
76. 1484497845485
77. 1484497845703
78. 1484497845938
79. 1484497846125
80. 1484497846344
81. 1484497846578
82. 1484497846813
83. 1484497847016
84. 1484497847235
85. 1484497847453
86. 1484497847672
87. 1484497847906
