* 12:34am Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b5(r) d5(p)
* 2. b3(p) a2(r)
* 3. c3(N) c3-b3
* 4. c5(G) c5-d5
* 5. a4(P) b3-c3
* 6. a8(M) c3-b3
* 7. c8(p) b3-c3
* 8. a7(P) c3-b3
* 9. c2(C) c2-c3
* 10. d4(p) c3-c2
* 11. b6(m) c2-c3
* 12. a3(N) a6(P)
* 13. a2-a3 d5-c5
* 14. a3-b3 c5-b5
* 15. b3-c3 b5-b6
* 16. c3-b3 c7(R)
* 17. c4(C) c4-c5
* 18. d8(c) c7-c8
* 19. a1(G) a1-a2
* 20. c1(n) a2-a3
* 21. d1(g) a3-b3
* 22. b7(n) b3-c3
* 23. d6(c) b6-b7
* 24. b8(K) c8-d8
* 25. d6-d8 c5-c1
* 26. d8-a8 d3(p)
* 27. a8-a6 b4(R)
* 28. d4-d5 c6(P)
* 29. d1-c1 c3-d3
* 30. a5(M) a5-a6
* 31. d7(k) d3-c3
* 32. d2(P) d2-c2
* 33. b2(g) b1(m)
* 34. c1-d1 a4-a3
* 35. b2-c2 c3-c2
* 36. b1-c1 c2-d2
* 37. d1-d2 a3-b3
* 38. c1-d1 b4-c4
* 39. d1-c1 c4-d4
* 40. d2-d3 d4-d5
* 41. c1-d1 b3-a3
* 42. d1-c1 a3-b3
* 43. c1-d1 b3-a3
* 44. d1-c1 a3-b3
* 45. c1-d1 b3-a3
* 46. d1-c1 a3-b3
* 47. c1-d1
* Draws
* Comment 0 0
0. 1484498099781
1. 1484498099969
2. 1484498100172
3. 1484498100391
4. 1484498100610
5. 1484498100813
6. 1484498101000
7. 1484498101297
8. 1484498101516
9. 1484498101703
10. 1484498101938
11. 1484498102156
12. 1484498102375
13. 1484498102578
14. 1484498102781
15. 1484498103047
16. 1484498103250
17. 1484498103469
18. 1484498103688
19. 1484498103906
20. 1484498104110
21. 1484498104328
22. 1484498104531
23. 1484498104750
24. 1484498105594
25. 1484498105797
26. 1484498106016
27. 1484498106219
28. 1484498106453
29. 1484498106656
30. 1484498106875
31. 1484498107094
32. 1484498107313
33. 1484498107516
34. 1484498107781
35. 1484498108016
36. 1484498108235
37. 1484498108469
38. 1484498108688
39. 1484498108891
40. 1484498109094
41. 1484498109406
42. 1484498109610
43. 1484498109813
44. 1484498110047
45. 1484498111250
46. 1484498111875
47. 1484498113500
48. 1484498114360
49. 1484498114578
50. 1484498114922
51. 1484498115453
52. 1484498115985
53. 1484498117610
54. 1484498118047
55. 1484498120235
56. 1484498124938
57. 1484498125235
58. 1484498125766
59. 1484498126000
60. 1484498126203
61. 1484498126422
62. 1484498126625
63. 1484498129235
64. 1484498135141
65. 1484498135375
66. 1484498147563
67. 1484498147875
68. 1484498160016
69. 1484498172156
70. 1484498172469
71. 1484498172672
72. 1484498172891
73. 1484498173110
74. 1484498173641
75. 1484498173875
76. 1484498174313
77. 1484498174547
78. 1484498186750
79. 1484498199000
80. 1484498208641
81. 1484498212453
82. 1484498223797
83. 1484498235922
84. 1484498236125
85. 1484498236328
86. 1484498236547
87. 1484498236766
88. 1484498236969
89. 1484498237203
90. 1484498237438
91. 1484498237641
92. 1484498237844
