* 4:55pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d4(p) b6(P)
* 2. a3(c) b2(P)
* 3. b5(N) b7(p)
* 4. b3(G) b3-a3
* 5. a7(N) b6-b7
* 6. c8(P) d3(m)
* 7. d6(G) c3(P)
* 8. c1(M) a3-b3
* 9. b8(c) a8(p)
* 10. a1(p) c6(g)
* 11. b8-b5 c4(R)
* 12. c6-d6 d8(r)
* 13. b5-b3 a2(p)
* 14. a2-b2 a5(g)
* 15. d3-c3 c4-d4
* 16. b3-b7 a7-b7
* 17. c3-d3 d2(k)
* 18. d3-d4 c5(C)
* 19. d4-c4 d1(P)
* 20. a4(m) c7(C)
* 21. d8-c8 c7-c4
* 22. b4(r) c4-c8
* 23. b1(n) c1-b1
* 24. a6(n) b1-b2
* 25. d7(R) c2(M)
* 26. d2-c2 c8-c2
* 27. d6-d7 d5(K)
* 28. a1-a2 b2-a2
* 29. b4-c4 d1-c1
* 30. c4-c5 d5-c5
* 31. a4-b4 c1-d1
* 32. a5-a4 d1-c1
* 33. a4-a3 c1-d1
* 34. a3-a2 c5-b5
* 35. b4-a4 b5-a5
* 36. a4-b4 a5-a6
* 37. a2-b2 d1-c1
* 38. b2-c2 c1-b1
* 39. c2-d2 b1-c1
* 40. d2-d1 c1-b1
* 41. d1-c1 b1-a1
* 42. c1-d1 a1-b1
* 43. d1-c1 b1-a1
* 44. c1-d1 a1-b1
* 45. d1-c1 b1-a1
* 46. c1-d1 a1-b1
* 47. d1-c1
* Draws
* Comment 0 0
0. 1484556955656
1. 1484556955843
2. 1484556956062
3. 1484556956250
4. 1484556956421
5. 1484556956609
6. 1484556956765
7. 1484556956953
8. 1484556957156
9. 1484556957343
10. 1484556957546
11. 1484556957765
12. 1484556957937
13. 1484556958125
14. 1484556958437
15. 1484556958625
16. 1484556958812
17. 1484556959015
18. 1484556959656
19. 1484556959843
20. 1484556960921
21. 1484556961203
22. 1484556967140
23. 1484556967343
24. 1484556970250
25. 1484556970671
26. 1484556974140
27. 1484556974343
28. 1484556981375
29. 1484556981578
30. 1484556981796
31. 1484556981984
32. 1484556982609
33. 1484556982968
34. 1484556984109
35. 1484556984312
36. 1484556989218
37. 1484556989406
38. 1484556993203
39. 1484556993406
40. 1484557005531
41. 1484557005828
42. 1484557014171
43. 1484557017640
44. 1484557029781
45. 1484557040828
46. 1484557043500
47. 1484557047078
48. 1484557059234
49. 1484557071343
50. 1484557083562
51. 1484557095750
52. 1484557107859
53. 1484557108062
54. 1484557120265
55. 1484557132375
56. 1484557144484
57. 1484557156593
58. 1484557156781
59. 1484557168906
60. 1484557181125
61. 1484557181296
62. 1484557181468
63. 1484557193578
64. 1484557205750
65. 1484557217921
66. 1484557218109
67. 1484557218296
68. 1484557230484
69. 1484557231109
70. 1484557231281
71. 1484557231921
72. 1484557244031
73. 1484557244281
74. 1484557244484
75. 1484557244703
76. 1484557249968
77. 1484557250187
78. 1484557250390
79. 1484557250546
80. 1484557250859
81. 1484557251046
82. 1484557251218
83. 1484557251437
84. 1484557251656
85. 1484557251859
86. 1484557252078
87. 1484557252265
88. 1484557252453
89. 1484557252671
90. 1484557252859
91. 1484557253062
92. 1484557253250
