* 5:04pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. c1(k) a1(p)
* 2. c3(c) b8(P)
* 3. a4(M) b2(N)
* 4. d3(m) d5(R)
* 5. b3(N) c4(C)
* 6. a8(g) a5(p)
* 7. d6(g) c2(m)
* 8. c2-b2 b3-c3
* 9. c5(r) d5-c5
* 10. c7(C) a4-a5
* 11. a3(K) d8(n)
* 12. b4(c) c4-c1
* 13. b1(P) b7(p)
* 14. b2-b1 a6(p)
* 15. d3-c3 a5-a6
* 16. b1-c1 b8-b7
* 17. d7(n) d2(M)
* 18. c8(p) a2(P)
* 19. a7(r) a2-a1
* 20. d7-c7 b7-b8
* 21. a8-b8 a1-b1
* 22. b6(P) d1(G)
* 23. b4-b6 d4(R)
* 24. b6-b1 d1-c1
* 25. c6(P) c1-b1
* 26. d6-c6 d2-d3
* 27. c3-d3 b1-a1
* 28. b5(G) a6-a7
* 29. d3-d4 a1-b1
* 30. d4-d3 b1-a1
* 31. d3-d2 a1-a2
* 32. d2-d1 a3-a4
* 33. c6-c5 a7-b7
* 34. c5-b5 b7-c7
* 35. d1-c1 a2-b2
* 36. b5-c5 b2-c2
* 37. c5-c6 c2-c1
* 38. c6-c7 c1-c2
* 39. c7-d7 c2-d2
* 40. d7-d6 d2-d1
* 41. d6-d5 d1-c1
* 42. d5-d4 c1-d1
* 43. d4-d3 a4-b4
* 44. d3-c3 b4-b3
* 45. c3-d3 b3-b4
* 46. d3-c3 b4-b3
* 47. c3-d3 b3-b4
* 48. d3-c3 b4-b3
* 49. c3-d3 b3-b4
* 50. d3-c3
* Draws
* Comment 0 0
0. 1484557490250
1. 1484557490437
2. 1484557490609
3. 1484557490781
4. 1484557490968
5. 1484557491140
6. 1484557491328
7. 1484557491515
8. 1484557491703
9. 1484557491890
10. 1484557492062
11. 1484557492250
12. 1484557492546
13. 1484557492718
14. 1484557493796
15. 1484557494015
16. 1484557494203
17. 1484557494390
18. 1484557495671
19. 1484557495859
20. 1484557497046
21. 1484557497234
22. 1484557498625
23. 1484557498812
24. 1484557502500
25. 1484557502796
26. 1484557514906
27. 1484557515203
28. 1484557522281
29. 1484557524421
30. 1484557528437
31. 1484557531687
32. 1484557536906
33. 1484557537312
34. 1484557538718
35. 1484557538906
36. 1484557546015
37. 1484557553656
38. 1484557565796
39. 1484557569375
40. 1484557581484
41. 1484557581671
42. 1484557593890
43. 1484557601843
44. 1484557613937
45. 1484557620937
46. 1484557633171
47. 1484557633734
48. 1484557637250
49. 1484557641843
50. 1484557654062
51. 1484557656906
52. 1484557669078
53. 1484557669328
54. 1484557669515
55. 1484557681640
56. 1484557693765
57. 1484557693968
58. 1484557696156
59. 1484557697187
60. 1484557709343
61. 1484557709531
62. 1484557709750
63. 1484557709968
64. 1484557722093
65. 1484557725281
66. 1484557737390
67. 1484557738781
68. 1484557745250
69. 1484557745437
70. 1484557750125
71. 1484557750343
72. 1484557759468
73. 1484557760562
74. 1484557760734
75. 1484557760906
76. 1484557762437
77. 1484557762609
78. 1484557762796
79. 1484557763000
80. 1484557763156
81. 1484557763343
82. 1484557763546
83. 1484557763734
84. 1484557764796
85. 1484557765015
86. 1484557765312
87. 1484557765515
88. 1484557766078
89. 1484557766250
90. 1484557766421
91. 1484557766593
92. 1484557766781
93. 1484557766984
94. 1484557767171
95. 1484557767375
96. 1484557767578
97. 1484557767750
98. 1484557767953
