* 5:14pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d1(p) d8(g)
* 2. c5(R) b4(m)
* 3. a5(G) a6(k)
* 4. a6-a5 c4(N)
* 5. b4-c4 b5(C)
* 6. c4-b4 b2(P)
* 7. b4-c4 d5(r)
* 8. d5-c5 a1(C)
* 9. a5-b5 b8(g)
* 10. c7(n) c2(M)
* 11. c1(c) c2-c1
* 12. a8(p) c1-d1
* 13. d7(r) a2(n)
* 14. a2-a1 a4(M)
* 15. b5-a5 d4(K)
* 16. c3(N) d4-c4
* 17. a5-a4 c4-c5
* 18. d6(G) d1-c1
* 19. b3(P) c1-d1
* 20. b7(m) d1-c1
* 21. b1(P) c8(p)
* 22. a3(P) a3-a4
* 23. a7(c) c6(R)
* 24. b6(p) c6-b6
* 25. b7-b6 d6-d7
* 26. a7-d7 b2-a2
* 27. a1-a2 d2(p)
* 28. d3(P) d3-d2
* 29. a2-a1 c5-c6
* 30. a1-a2 c6-b6
* 31. a2-b2 b1-a1
* 32. b2-b3 c3-b3
* 33. c7-c6 b6-c6
* 34. d7-c7 c6-d6
* 35. c7-b7 d6-d7
* 36. c8-c7 d7-d8
* 37. b7-b6 a1-b1
* 38. b6-c6 b1-a1
* 39. c6-d6 a1-b1
* 40. d6-d5 b1-a1
* 41. d5-d4 a1-b1
* 42. d4-d3 b1-a1
* 43. d3-d4 a1-b1
* 44. d4-d3 b1-a1
* 45. d3-d4 a1-b1
* 46. d4-d3 b1-a1
* 47. d3-d4 a1-b1
* Draws
* Comment 0 0
0. 1484558078500
1. 1484558078687
2. 1484558078875
3. 1484558079125
4. 1484558079296
5. 1484558079515
6. 1484558079703
7. 1484558079906
8. 1484558080140
9. 1484558080328
10. 1484558080640
11. 1484558080828
12. 1484558081156
13. 1484558081359
14. 1484558081781
15. 1484558081984
16. 1484558082203
17. 1484558082406
18. 1484558082593
19. 1484558082843
20. 1484558083046
21. 1484558083218
22. 1484558083437
23. 1484558083625
24. 1484558083812
25. 1484558083984
26. 1484558084453
27. 1484558084671
28. 1484558085218
29. 1484558085390
30. 1484558086718
31. 1484558086890
32. 1484558088656
33. 1484558088875
34. 1484558089125
35. 1484558089312
36. 1484558093687
37. 1484558094203
38. 1484558097031
39. 1484558097562
40. 1484558100515
41. 1484558102171
42. 1484558110640
43. 1484558110859
44. 1484558113593
45. 1484558113843
46. 1484558126031
47. 1484558138203
48. 1484558150375
49. 1484558152468
50. 1484558164640
51. 1484558168750
52. 1484558180875
53. 1484558181093
54. 1484558193281
55. 1484558205375
56. 1484558217593
57. 1484558228890
58. 1484558241093
59. 1484558253234
60. 1484558265375
61. 1484558266890
62. 1484558267125
63. 1484558267328
64. 1484558267484
65. 1484558275390
66. 1484558287546
67. 1484558294515
68. 1484558294703
69. 1484558294875
70. 1484558307140
71. 1484558310968
72. 1484558323093
73. 1484558323265
74. 1484558323453
75. 1484558323687
76. 1484558323906
77. 1484558324125
78. 1484558324328
79. 1484558324546
80. 1484558336671
81. 1484558336843
82. 1484558337031
83. 1484558337234
84. 1484558337468
85. 1484558337687
86. 1484558337875
87. 1484558338078
88. 1484558338281
89. 1484558338468
90. 1484558338640
91. 1484558338875
92. 1484558339046
93. 1484558339250
