* 5:57pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. a4(K) b7(P)
* 2. b8(G) c7(M)
* 3. c8(n) b6(r)
* 4. c7-c8 c4(p)
* 5. b7-c7 c5(p)
* 6. c7-b7 c3(G)
* 7. c3-c4 d3(m)
* 8. b7-c7 a8(C)
* 9. c4-c3 b2(N)
* 10. c3-c4 c2(p)
* 11. c4-c3 a3(P)
* 12. b8-b7 c6(N)
* 13. b7-b6 d8(r)
* 14. b2-c2 b4(c)
* 15. a4-b4 d6(M)
* 16. c8-b8 b1(k)
* 17. c6-c5 a7(P)
* 18. b8-c8 d7(g)
* 19. a8-d8 b1-b2
* 20. d5(p) b2-c2
* 21. d6-d5 c2-b2
* 22. c1(R) d7-d6
* 23. b3(R) b2-c2
* 24. c3-d3 c2-c1
* 25. b5(P) c1-b1
* 26. a6(p) a6-a7
* 27. a5(C) b1-c1
* 28. a1(P) c1-c2
* 29. d4(c) d6-d5
* 30. d3-d4 d5-d4
* 31. a2(g) a2-a3
* 32. d2(n) a3-b3
* 33. b4-b3 d1(m)
* 34. b5-b4 d1-c1
* 35. d8-d2 c2-d2
* 36. b3-c3 c1-d1
* 37. a1-b1 d1-c1
* 38. b1-a1 c1-d1
* 39. a1-b1 d1-c1
* 40. b1-a1 c1-d1
* 41. a1-b1 d1-c1
* 42. b1-a1 c1-d1
* Draws
* Comment 0 0
0. 1484560668671
1. 1484560668921
2. 1484560669140
3. 1484560669359
4. 1484560669562
5. 1484560669765
6. 1484560669984
7. 1484560670187
8. 1484560670406
9. 1484560670625
10. 1484560670781
11. 1484560670968
12. 1484560671296
13. 1484560671484
14. 1484560672062
15. 1484560672234
16. 1484560672781
17. 1484560673093
18. 1484560673703
19. 1484560674000
20. 1484560674421
21. 1484560674640
22. 1484560674921
23. 1484560675109
24. 1484560676859
25. 1484560677046
26. 1484560678484
27. 1484560678703
28. 1484560679453
29. 1484560679687
30. 1484560685562
31. 1484560685750
32. 1484560693968
33. 1484560694750
34. 1484560706828
35. 1484560707265
36. 1484560719406
37. 1484560721906
38. 1484560734062
39. 1484560735328
40. 1484560747484
41. 1484560747921
42. 1484560752812
43. 1484560756078
44. 1484560768265
45. 1484560773437
46. 1484560785609
47. 1484560785828
48. 1484560798000
49. 1484560798437
50. 1484560810562
51. 1484560813296
52. 1484560825484
53. 1484560837703
54. 1484560849890
55. 1484560853968
56. 1484560866187
57. 1484560872437
58. 1484560884625
59. 1484560886375
60. 1484560886562
61. 1484560898750
62. 1484560910921
63. 1484560923062
64. 1484560935250
65. 1484560935453
66. 1484560945218
67. 1484560957328
68. 1484560957515
69. 1484560962359
70. 1484560974578
71. 1484560974812
72. 1484560976421
73. 1484560976640
74. 1484560978953
75. 1484560979140
76. 1484560979468
77. 1484560979656
78. 1484560979843
79. 1484560980062
80. 1484560980343
81. 1484560980562
82. 1484560980734
83. 1484560980921
