* 6:08pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a5(g) a1(p)
* 2. d6(p) b3(p)
* 3. c4(c) b4(m)
* 4. b8(N) a6(m)
* 5. c8(r) c5(C)
* 6. d2(K) b2(n)
* 7. d1(P) a2(M)
* 8. d3(R) a2-b2
* 9. c2(C) b2-a2
* 10. a3(G) c2-b2
* 11. c1(P) c1-c2
* 12. c3(P) a3-b3
* 13. c6(p) a2-a1
* 14. b5(N) d7(P)
* 15. b4-b5 b2-b5
* 16. a5-b5 d7-d6
* 17. c8-b8 b6(r)
* 18. c6-d6 b7(n)
* 19. b6-c6 a8(g)
* 20. a6-b6 a4(p)
* 21. c6-c5 d5(R)
* 22. c5-d5 b1(M)
* 23. d8(c) d4(G)
* 24. c4-c2 d2-c2
* 25. c7(P) a7(k)
* 26. b7-c7 b3-a3
* 27. a4-a5 d4-d5
* 28. d8-d5 b1-c1
* 29. d5-d1 c1-d1
* 30. a5-a6 a1-a2
* 31. b5-c5 a2-b2
* 32. c5-d5 d1-c1
* 33. d5-d4 c1-d1
* 34. d4-d3 b2-b3
* 35. d3-d4 d1-c1
* 36. d4-d3 c1-b1
* 37. d3-d4 b1-c1
* 38. d4-d3 c1-b1
* 39. d3-d4 b1-c1
* 40. d4-d3 c1-b1
* 41. d3-d4 b1-c1
* 42. d4-d3
* Draws
* Comment 0 0
0. 1484561306718
1. 1484561306890
2. 1484561307109
3. 1484561307296
4. 1484561307515
5. 1484561307734
6. 1484561307921
7. 1484561308171
8. 1484561308375
9. 1484561308546
10. 1484561308734
11. 1484561308906
12. 1484561309109
13. 1484561309281
14. 1484561309468
15. 1484561309671
16. 1484561309968
17. 1484561310203
18. 1484561311859
19. 1484561312015
20. 1484561312953
21. 1484561313718
22. 1484561316453
23. 1484561318843
24. 1484561325125
25. 1484561325765
26. 1484561328640
27. 1484561332140
28. 1484561337750
29. 1484561337953
30. 1484561339703
31. 1484561340218
32. 1484561340437
33. 1484561340656
34. 1484561350171
35. 1484561350390
36. 1484561358718
37. 1484561358890
38. 1484561369843
39. 1484561370031
40. 1484561373156
41. 1484561373343
42. 1484561385546
43. 1484561385734
44. 1484561389578
45. 1484561389765
46. 1484561401968
47. 1484561407890
48. 1484561420015
49. 1484561424609
50. 1484561436859
51. 1484561442000
52. 1484561454156
53. 1484561457671
54. 1484561469906
55. 1484561482078
56. 1484561494203
57. 1484561495859
58. 1484561505890
59. 1484561510031
60. 1484561511343
61. 1484561519781
62. 1484561530328
63. 1484561533484
64. 1484561533671
65. 1484561533843
66. 1484561534046
67. 1484561534265
68. 1484561534906
69. 1484561535078
70. 1484561535734
71. 1484561535906
72. 1484561547140
73. 1484561547343
74. 1484561547546
75. 1484561547781
76. 1484561547968
77. 1484561548203
78. 1484561548406
79. 1484561548593
80. 1484561548796
81. 1484561548968
82. 1484561549156
