* 11:12pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. a2(N) b2(p)
* 2. a2-b2 c2(G)
* 3. a4(p) a1(P)
* 4. d1(g) b1(P)
* 5. d7(P) c1(P)
* 6. a1-a2 a8(m)
* 7. b1-a1 b8(K)
* 8. b8-a8 b4(M)
* 9. c1-b1 c4(p)
* 10. b4-a4 d4(n)
* 11. a8-b8 a5(R)
* 12. b8-a8 b5(p)
* 13. a5-b5 c5(r)
* 14. b5-b4 d5(p)
* 15. b1-c1 d2(N)
* 16. a1-b1 a3(r)
* 17. b3(n) b3-b2
* 18. a4-a3 a6(m)
* 19. d3(M) b2-b1
* 20. d8(c) b1-c1
* 21. c8(G) d8-a8
* 22. d3-d4 d1-d2
* 23. c2-d2 c7(k)
* 24. d7-c7 c3(g)
* 25. b4-c4 c3-c4
* 26. d4-d5 a7(R)
* 27. d5-c5 c4-c5
* 28. a7-a8 c1-d1
* 29. d2-d1 a6-a5
* 30. b6(P) d6(C)
* 31. b7(C) c6(c)
* 32. d1-d2 c6-c8
* 33. a2-b2 a5-a4
* 34. a3-a4 c5-d5
* 35. b2-b1 d5-d6
* 36. b1-c1 c8-c1
* 37. d2-d1 d6-c6
* 38. d1-c1 c6-b6
* 39. a4-b4 b6-b7
* 40. c7-d7 b7-c7
* 41. d7-d6 c7-c6
* 42. d6-d5 c6-c5
* 43. d5-d4 c5-c4
* 44. b4-b3 c4-d4
* 45. c1-d1 d4-d3
* 46. b3-b2 d3-c3
* 47. d1-c1 c3-d3
* 48. c1-d1 d3-c3
* 49. d1-c1 c3-d3
* 50. c1-d1 d3-c3
* 51. d1-c1 c3-d3
* 52. c1-d1 d3-c3
* Draws
* Comment 0 0
0. 1484579566312
1. 1484579566500
2. 1484579566687
3. 1484579566875
4. 1484579567062
5. 1484579567281
6. 1484579567453
7. 1484579567640
8. 1484579567859
9. 1484579568046
10. 1484579568359
11. 1484579568562
12. 1484579568843
13. 1484579569031
14. 1484579569671
15. 1484579569843
16. 1484579570812
17. 1484579571000
18. 1484579571734
19. 1484579571937
20. 1484579572546
21. 1484579572734
22. 1484579573375
23. 1484579573562
24. 1484579574500
25. 1484579574687
26. 1484579577187
27. 1484579577796
28. 1484579580156
29. 1484579581671
30. 1484579588000
31. 1484579593968
32. 1484579606078
33. 1484579643234
34. 1484579655343
35. 1484579692531
36. 1484579702671
37. 1484579739859
38. 1484579752000
39. 1484579752203
40. 1484579756859
41. 1484579794031
42. 1484579796296
43. 1484579833468
44. 1484579845593
45. 1484579882765
46. 1484579894906
47. 1484579932062
48. 1484579944281
49. 1484579981468
50. 1484579993484
51. 1484580030656
52. 1484580042765
53. 1484580079921
54. 1484580081218
55. 1484580081406
56. 1484580088859
57. 1484580091250
58. 1484580096031
59. 1484580133203
60. 1484580136171
61. 1484580173328
62. 1484580185609
63. 1484580222765
64. 1484580223000
65. 1484580260140
66. 1484580272359
67. 1484580309531
68. 1484580321750
69. 1484580358890
70. 1484580359109
71. 1484580396250
72. 1484580401375
73. 1484580419828
74. 1484580420781
75. 1484580457937
76. 1484580458187
77. 1484580476468
78. 1484580483875
79. 1484580484500
80. 1484580484703
81. 1484580484875
82. 1484580485125
83. 1484580485328
84. 1484580489375
85. 1484580489640
86. 1484580490828
87. 1484580491000
88. 1484580491625
89. 1484580491812
90. 1484580492000
91. 1484580492203
92. 1484580493500
93. 1484580493703
94. 1484580493890
95. 1484580494062
96. 1484580494281
97. 1484580494468
98. 1484580494640
99. 1484580494812
100. 1484580495140
101. 1484580495328
102. 1484580495531
103. 1484580495703
