* 12:31am Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b6(P) c8(c)
* 2. a1(p) a4(p)
* 3. b2(m) b5(R)
* 4. d8(p) c3(G)
* 5. b4(G) c5(P)
* 6. b4-a4 b3(n)
* 7. c3-b3 d6(C)
* 8. b3-c3 c6(p)
* 9. c3-b3 a7(m)
* 10. a4-b4 c2(K)
* 11. b6-c6 b8(p)
* 12. c2-b2 c1(r)
* 13. b2-c2 a6(R)
* 14. c6-b6 b1(N)
* 15. c2-c1 c8-c5
* 16. d7(P) c5-c1
* 17. d7-d8 a7-a6
* 18. d6-a6 d1(g)
* 19. b4-a4 d2(P)
* 20. d2-c2 d5(M)
* 21. b1-a1 a5(P)
* 22. a1-b1 b7(n)
* 23. b6-c6 c7(M)
* 24. c7-b7 d3(c)
* 25. d5-c5 d3-c3
* 26. b1-c1 d1-c1
* 27. c2-b2 c3-c5
* 28. b5-c5 c1-d1
* 29. a4-b4 d1-d2
* 30. b4-b5 c4(C)
* 31. b2-b1 a8(k)
* 32. b1-c1 a8-a7
* 33. b7-b8 a7-a6
* 34. a5-a6 a3(N)
* 35. a2(r) a2-a3
* 36. b3-a3 d4(g)
* 37. c4-c3 d4-c4
* 38. c1-d1 c4-c3
* 39. d1-c1 d2-c2
* 40. c1-d1 c2-d2
* 41. d1-c1 d2-c2
* 42. c1-d1 c2-d2
* 43. d1-c1 d2-c2
* 44. c1-d1 c2-d2
* 45. d1-c1
* Draws
* Comment 0 0
0. 1484497865938
1. 1484497866110
2. 1484497866344
3. 1484497866547
4. 1484497866860
5. 1484497867063
6. 1484497867281
7. 1484497867500
8. 1484497867703
9. 1484497868000
10. 1484497868219
11. 1484497868516
12. 1484497868735
13. 1484497868938
14. 1484497869203
15. 1484497869406
16. 1484497869625
17. 1484497869828
18. 1484497870047
19. 1484497870281
20. 1484497870485
21. 1484497870703
22. 1484497870906
23. 1484497871094
24. 1484497871328
25. 1484497871563
26. 1484497871891
27. 1484497872235
28. 1484497873531
29. 1484497874406
30. 1484497874938
31. 1484497877985
32. 1484497878735
33. 1484497878953
34. 1484497879485
35. 1484497879797
36. 1484497880750
37. 1484497881422
38. 1484497882188
39. 1484497883297
40. 1484497884391
41. 1484497884953
42. 1484497885172
43. 1484497885610
44. 1484497887469
45. 1484497892172
46. 1484497898469
47. 1484497900000
48. 1484497906110
49. 1484497917906
50. 1484497918797
51. 1484497925219
52. 1484497925422
53. 1484497937563
54. 1484497961031
55. 1484497961250
56. 1484497961906
57. 1484497962141
58. 1484497962360
59. 1484497966406
60. 1484497967610
61. 1484497977125
62. 1484497978969
63. 1484497983797
64. 1484497985203
65. 1484497985391
66. 1484497989203
67. 1484497989391
68. 1484497990344
69. 1484498002594
70. 1484498010469
71. 1484498010672
72. 1484498019094
73. 1484498021625
74. 1484498033875
75. 1484498044594
76. 1484498045781
77. 1484498046000
78. 1484498058156
79. 1484498058906
80. 1484498059125
81. 1484498059360
82. 1484498080469
83. 1484498080672
84. 1484498080891
85. 1484498081110
86. 1484498081313
87. 1484498081516
88. 1484498081844
