* 4:10pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c6(P) a8(r)
* 2. a6(G) d3(C)
* 3. c4(M) c3(P)
* 4. a5(r) d8(n)
* 5. a6-a5 b4(G)
* 6. b3(m) a2(p)
* 7. d3-b3 d6(R)
* 8. a4(m) d1(p)
* 9. b4-a4 c1(n)
* 10. b6(p) b8(p)
* 11. b3-b6 a3(C)
* 12. a3-b3 b7(c)
* 13. c3-d3 d4(M)
* 14. b3-c3 c2(P)
* 15. c3-c1 d5(g)
* 16. c5(k) d5-d6
* 17. b6-d6 d2(K)
* 18. c6-c5 d1-d2
* 19. c2-d2 c8(c)
* 20. d6-d8 b5(N)
* 21. a5-a6 c8-c5
* 22. c1-c5 a1(P)
* 23. a1-a2 c7(R)
* 24. a2-a1 d7(g)
* 25. c7-b7 d7-d8
* 26. a7(P) b1(N)
* 27. b7-b8 a8-b8
* 28. b2(p) b2-a2
* 29. a1-a2 b8-c8
* 30. b1-c1 c8-c7
* 31. c1-d1 c7-d7
* 32. d1-c1 d7-c7
* 33. c1-d1 c7-d7
* 34. d1-c1 d7-c7
* 35. c1-d1 c7-d7
* 36. d1-c1 d7-c7
* 37. c1-d1
* Draws
* Comment 0 0
0. 1484554223875
1. 1484554224046
2. 1484554224250
3. 1484554224468
4. 1484554224906
5. 1484554225078
6. 1484554225281
7. 1484554225515
8. 1484554225703
9. 1484554225906
10. 1484554226125
11. 1484554226328
12. 1484554226515
13. 1484554226734
14. 1484554226937
15. 1484554227140
16. 1484554227343
17. 1484554227578
18. 1484554227781
19. 1484554227953
20. 1484554228125
21. 1484554228312
22. 1484554228500
23. 1484554229062
24. 1484554229250
25. 1484554229937
26. 1484554230156
27. 1484554230703
28. 1484554230921
29. 1484554232015
30. 1484554235265
31. 1484554247437
32. 1484554254187
33. 1484554266359
34. 1484554278500
35. 1484554289593
36. 1484554290015
37. 1484554290203
38. 1484554293375
39. 1484554301640
40. 1484554313781
41. 1484554326015
42. 1484554338218
43. 1484554350437
44. 1484554354796
45. 1484554367031
46. 1484554379171
47. 1484554391359
48. 1484554403468
49. 1484554415671
50. 1484554421125
51. 1484554433359
52. 1484554445484
53. 1484554457671
54. 1484554469859
55. 1484554482125
56. 1484554494312
57. 1484554494546
58. 1484554494734
59. 1484554495062
60. 1484554495250
61. 1484554495453
62. 1484554495656
63. 1484554495875
64. 1484554496093
65. 1484554496296
66. 1484554496531
67. 1484554496734
68. 1484554496921
69. 1484554497140
70. 1484554497343
71. 1484554497546
72. 1484554497750
