* 5:42pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d1(k) d4(M)
* 2. c7(R) a5(c)
* 3. b3(r) c4(p)
* 4. d8(P) d4-c4
* 5. b5(R) b5-a5
* 6. c3(N) c4-d4
* 7. a3(m) d4-c4
* 8. b2(C) a7(c)
* 9. b3-b2 b6(n)
* 10. b2-b3 c1(C)
* 11. d1-c1 d3(r)
* 12. a7-a5 d7(p)
* 13. d7-d8 b8(g)
* 14. b4(P) d6(g)
* 15. c1-d1 d2(P)
* 16. d3-d2 a2(G)
* 17. b1(m) a2-b2
* 18. a1(p) b2-b3
* 19. b6-b5 d5(N)
* 20. a1-a2 c5(p)
* 21. b5-b4 c4-c5
* 22. d6-d5 c6(G)
* 23. d5-c5 c6-c5
* 24. a6(P) b3-b4
* 25. a8(p) c8(K)
* 26. d8-c8 b7(M)
* 27. c2(P) c7-c8
* 28. d2-c2 a6-b6
* 29. c2-c3 a4(n)
* 30. b8-c8 b4-a4
* 31. b1-c1 a4-a3
* 32. c1-c2 a3-a2
* 33. d1-c1 a2-b2
* 34. c2-d2 b2-a2
* 35. c1-d1 a2-b2
* 36. d1-c1 b2-a2
* 37. c1-d1 a2-b2
* 38. d1-c1 b2-a2
* 39. c1-d1 a2-b2
* 40. d1-c1 b2-a2
* Draws
* Comment 0 0
0. 1484559744796
1. 1484559744984
2. 1484559745171
3. 1484559745375
4. 1484559745562
5. 1484559745750
6. 1484559745968
7. 1484559746156
8. 1484559746328
9. 1484559746531
10. 1484559746734
11. 1484559746953
12. 1484559747125
13. 1484559747328
14. 1484559747531
15. 1484559747968
16. 1484559748125
17. 1484559748640
18. 1484559748812
19. 1484559749218
20. 1484559749421
21. 1484559749734
22. 1484559749921
23. 1484559750125
24. 1484559750312
25. 1484559750937
26. 1484559751125
27. 1484559753390
28. 1484559753625
29. 1484559757812
30. 1484559757984
31. 1484559758828
32. 1484559759015
33. 1484559763296
34. 1484559764468
35. 1484559774250
36. 1484559779218
37. 1484559791156
38. 1484559796531
39. 1484559805250
40. 1484559817375
41. 1484559829562
42. 1484559838046
43. 1484559850234
44. 1484559862421
45. 1484559874593
46. 1484559874796
47. 1484559886953
48. 1484559887125
49. 1484559889406
50. 1484559889578
51. 1484559892234
52. 1484559892484
53. 1484559904671
54. 1484559905015
55. 1484559908765
56. 1484559920937
57. 1484559933062
58. 1484559945203
59. 1484559957484
60. 1484559957687
61. 1484559969812
62. 1484559981984
63. 1484559994125
64. 1484560006234
65. 1484560006437
66. 1484560006625
67. 1484560018781
68. 1484560019718
69. 1484560019921
70. 1484560032000
71. 1484560032171
72. 1484560044328
73. 1484560044515
74. 1484560044703
75. 1484560044921
76. 1484560045093
77. 1484560045328
78. 1484560045531
79. 1484560045718
