* 6:03pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c1(P) c5(p)
* 2. d3(P) d7(g)
* 3. b5(p) b3(G)
* 4. a1(g) b1(c)
* 5. b8(r) b1-b3
* 6. d1(N) b3-d3
* 7. b7(p) d3-d1
* 8. a2(P) a1-b1
* 9. c3(p) b1-c1
* 10. c4(M) a8(P)
* 11. c4-c5 a3(m)
* 12. d2(m) a3-a2
* 13. a4(G) c2(n)
* 14. a4-a3 d6(M)
* 15. c5-b5 d7-d6
* 16. a3-a2 b8-a8
* 17. a7(C) c1-b1
* 18. c7(r) a8-a7
* 19. b4(R) c8(K)
* 20. b4-c4 d8(R)
* 21. c4-c3 c6(P)
* 22. c6-c5 a5(c)
* 23. b5-a5 b6(p)
* 24. a2-a3 a6(N)
* 25. a6-b6 b2(k)
* 26. a3-a4 d5(n)
* 27. c3-c2 b2-c2
* 28. b6-b7 c7-b7
* 29. d4(C) d1-d4
* 30. a4-a3 d5-c5
* 31. a3-a2 d4-d8
* 32. a5-b5 c5-c6
* 33. c8-d8 b1-b2
* 34. a2-b2 c2-b2
* 35. b5-b6 d2-d1
* 36. b6-b7 a7-a8
* 37. b7-c7 c6-c5
* 38. c7-d7 d1-c1
* 39. d7-c7 c1-d1
* 40. c7-d7 d1-c1
* 41. d7-c7 c1-d1
* 42. c7-d7 d1-c1
* 43. d7-c7 c1-d1
* 44. c7-d7
* Draws
* Comment 0 0
0. 1484560998765
1. 1484560998937
2. 1484560999125
3. 1484560999312
4. 1484560999500
5. 1484560999750
6. 1484560999921
7. 1484561000156
8. 1484561000437
9. 1484561001765
10. 1484561001953
11. 1484561002140
12. 1484561002343
13. 1484561002562
14. 1484561002734
15. 1484561002921
16. 1484561003140
17. 1484561003343
18. 1484561003515
19. 1484561003937
20. 1484561004156
21. 1484561004609
22. 1484561004812
23. 1484561005187
24. 1484561005375
25. 1484561006687
26. 1484561007000
27. 1484561008843
28. 1484561009484
29. 1484561010125
30. 1484561010343
31. 1484561010562
32. 1484561010781
33. 1484561014062
34. 1484561014703
35. 1484561021406
36. 1484561022812
37. 1484561025625
38. 1484561029437
39. 1484561041625
40. 1484561042515
41. 1484561054609
42. 1484561055156
43. 1484561067328
44. 1484561069406
45. 1484561081609
46. 1484561083343
47. 1484561092109
48. 1484561092312
49. 1484561104421
50. 1484561104609
51. 1484561112359
52. 1484561112578
53. 1484561124796
54. 1484561125578
55. 1484561137703
56. 1484561144125
57. 1484561156312
58. 1484561168437
59. 1484561180609
60. 1484561192781
61. 1484561204937
62. 1484561210875
63. 1484561223031
64. 1484561234312
65. 1484561246500
66. 1484561258656
67. 1484561258843
68. 1484561261468
69. 1484561273640
70. 1484561273875
71. 1484561278093
72. 1484561278296
73. 1484561280609
74. 1484561280828
75. 1484561285093
76. 1484561285296
77. 1484561287171
78. 1484561287343
79. 1484561287531
80. 1484561287718
81. 1484561287906
82. 1484561288125
83. 1484561288312
84. 1484561288484
85. 1484561288687
86. 1484561288875
