* 11:28pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a8(g) b5(N)
* 2. b8(P) b4(k)
* 3. b4-b5 a7(c)
* 4. a8-b8 a4(K)
* 5. a7-a8 b6(g)
* 6. a8-a7 c4(R)
* 7. c6(p) b1(P)
* 8. c8(p) d3(N)
* 9. c1(p) a4-b4
* 10. b5-b4 b1-c1
* 11. b4-c4 a2(G)
* 12. d1(p) c1-d1
* 13. d4(R) b3(P)
* 14. c4-d4 a1(M)
* 15. d4-d3 d5(r)
* 16. b6-b5 d6(n)
* 17. d3-d4 a3(M)
* 18. b5-b4 d8(p)
* 19. d4-d3 a6(P)
* 20. d3-d4 c5(r)
* 21. c5-c4 b2(C)
* 22. b4-b3 d7(n)
* 23. c2(m) b7(m)
* 24. b3-a3 a2-a3
* 25. c2-b2 a5(C)
* 26. a7-a5 d2(G)
* 27. a5-a1 c7(P)
* 28. b7-c7 c3(c)
* 29. b2-b1 d2-c2
* 30. a1-d1 c2-c3
* 31. b1-a1 c3-c4
* 32. d4-c4 a3-b3
* 33. a1-b1 b3-b2
* 34. b1-c1 b2-c2
* 35. c1-b1 c2-d2
* 36. d1-c1 d2-d1
* 37. b1-a1 d1-c1
* 38. c4-c5 c1-d1
* 39. a1-b1 d1-c1
* 40. b1-a1 c1-d1
* 41. a1-b1 d1-c1
* 42. b1-a1 c1-d1
* 43. a1-b1 d1-c1
* 44. b1-a1 c1-d1
* Draws
* Comment 0 0
0. 1484580513718
1. 1484580513921
2. 1484580514140
3. 1484580514343
4. 1484580514531
5. 1484580514750
6. 1484580514921
7. 1484580515109
8. 1484580515281
9. 1484580515468
10. 1484580515671
11. 1484580515859
12. 1484580516062
13. 1484580516390
14. 1484580516578
15. 1484580516890
16. 1484580517046
17. 1484580517328
18. 1484580517531
19. 1484580517750
20. 1484580517937
21. 1484580518125
22. 1484580518312
23. 1484580518625
24. 1484580518828
25. 1484580519125
26. 1484580519312
27. 1484580519750
28. 1484580519968
29. 1484580520656
30. 1484580520843
31. 1484580521375
32. 1484580521562
33. 1484580522078
34. 1484580522265
35. 1484580523000
36. 1484580523328
37. 1484580525312
38. 1484580525718
39. 1484580527687
40. 1484580529171
41. 1484580532328
42. 1484580542046
43. 1484580554187
44. 1484580591343
45. 1484580603453
46. 1484580640593
47. 1484580652703
48. 1484580689875
49. 1484580696515
50. 1484580733671
51. 1484580745781
52. 1484580782921
53. 1484580788828
54. 1484580789000
55. 1484580794921
56. 1484580795093
57. 1484580807234
58. 1484580844406
59. 1484580851765
60. 1484580888921
61. 1484580901187
62. 1484580938406
63. 1484580950703
64. 1484580987843
65. 1484580988062
66. 1484581025250
67. 1484581027421
68. 1484581027828
69. 1484581028031
70. 1484581034671
71. 1484581037484
72. 1484581043234
73. 1484581043453
74. 1484581058984
75. 1484581060593
76. 1484581060781
77. 1484581060968
78. 1484581061281
79. 1484581061468
80. 1484581061687
81. 1484581061875
82. 1484581062078
83. 1484581062265
84. 1484581062468
85. 1484581062656
86. 1484581062828
87. 1484581063015
