* 9:23pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d6(M) d5(m)
* 2. d6-d5 d4(p)
* 3. d5-d4 d3(p)
* 4. d4-d3 d2(P)
* 5. c8(P) d1(M)
* 6. b5(R) c2(n)
* 7. d3-d4 c7(P)
* 8. d2-d3 c6(K)
* 9. d4-d5 b7(k)
* 10. c7-b7 a7(m)
* 11. d1-d2 a6(G)
* 12. d2-d1 a8(P)
* 13. a6-a7 b8(n)
* 14. d1-d2 d8(r)
* 15. d3-d4 d7(C)
* 16. d7-d6 d8-d7
* 17. d2-c2 b8-c8
* 18. c6-c7 d7-d6
* 19. c7-c8 c4(R)
* 20. d5-d6 c1(P)
* 21. a3(C) b1(p)
* 22. c1-d1 a1(p)
* 23. d1-d2 b3(g)
* 24. a3-a1 a2(c)
* 25. b6(c) a5(N)
* 26. b5-b6 a2-c2
* 27. c5(N) b2(g)
* 28. b4(p) c2-c4
* 29. c5-c4 c3(r)
* 30. c4-b4 b3-b4
* 31. a4(G) b4-a4
* 32. d2-d1 a4-a5
* 33. a1-a2 b2-a2
* 34. d1-d2 b1-c1
* 35. d4-d5 a2-b2
* 36. d5-c5 b2-c2
* 37. d2-d3 c3-d3
* 38. c5-d5 c1-b1
* 39. d5-c5 c2-c3
* 40. c5-d5 c3-c2
* 41. d5-c5 c2-c3
* 42. c5-d5 c3-c2
* 43. d5-c5 c2-c3
* 44. c5-d5 c3-c2
* 45. d5-c5
* Draws
* Comment 0 0
0. 1484659389468
1. 1484659389640
2. 1484659389812
3. 1484659389984
4. 1484659390171
5. 1484659390359
6. 1484659390546
7. 1484659390734
8. 1484659390921
9. 1484659391109
10. 1484659391296
11. 1484659391484
12. 1484659391687
13. 1484659391890
14. 1484659392078
15. 1484659392312
16. 1484659392515
17. 1484659392750
18. 1484659393046
19. 1484659393250
20. 1484659394234
21. 1484659394453
22. 1484659395421
23. 1484659395609
24. 1484659397562
25. 1484659397828
26. 1484659400078
27. 1484659400281
28. 1484659405718
29. 1484659406031
30. 1484659409625
31. 1484659409937
32. 1484659410781
33. 1484659410984
34. 1484659415781
35. 1484659416015
36. 1484659416343
37. 1484659416531
38. 1484659419234
39. 1484659419406
40. 1484659419609
41. 1484659419796
42. 1484659424921
43. 1484659425109
44. 1484659426937
45. 1484659427156
46. 1484659434468
47. 1484659434765
48. 1484659446765
49. 1484659458109
50. 1484659470390
51. 1484659475593
52. 1484659487828
53. 1484659493812
54. 1484659505953
55. 1484659533156
56. 1484659545312
57. 1484659565515
58. 1484659577718
59. 1484659604921
60. 1484659605125
61. 1484659632343
62. 1484659644578
63. 1484659671796
64. 1484659672000
65. 1484659699359
66. 1484659711625
67. 1484659711828
68. 1484659714203
69. 1484659723812
70. 1484659736031
71. 1484659762906
72. 1484659775125
73. 1484659776750
74. 1484659788875
75. 1484659790046
76. 1484659802265
77. 1484659803437
78. 1484659815546
79. 1484659818812
80. 1484659819000
81. 1484659831218
82. 1484659838312
83. 1484659841562
84. 1484659841750
85. 1484659841953
86. 1484659842250
87. 1484659842437
88. 1484659842625
