* 9:53pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d2(M) d1(R)
* 2. d7(k) d6(M)
* 3. d8(n) d7-d6
* 4. b2(p) d5(r)
* 5. c4(n) c3(p)
* 6. b8(c) c1(P)
* 7. b1(p) c6(g)
* 8. c1-b1 a1(N)
* 9. b1-c1 b6(C)
* 10. b6-d6 b2-b1
* 11. c2(m) c2-d2
* 12. a2(r) a2-b2
* 13. a8(C) d2-d1
* 14. a4(N) b1-c1
* 15. b5(P) c1-b1
* 16. d3(P) b2-a2
* 17. b4(G) b1-c1
* 18. b4-c4 a2-a1
* 19. d6-d7 d8-d7
* 20. a3(P) c3-d3
* 21. a7(P) b8-b5
* 22. d4(p) b3(R)
* 23. c4-d4 a6(g)
* 24. a8-a6 b7(K)
* 25. d4-d5 b5-d5
* 26. c7(m) c5(p)
* 27. b7-c7 a5(G)
* 28. c7-c6 c5-c6
* 29. c8(c) a1-b1
* 30. a3-a2 b1-a1
* 31. a2-a3 a1-b1
* 32. a3-a2 b1-a1
* 33. a2-a3 a1-b1
* 34. a3-a2 b1-a1
* 35. a2-a3 a1-b1
* Draws
* Comment 0 0
0. 1484661187125
1. 1484661187312
2. 1484661187531
3. 1484661187718
4. 1484661187906
5. 1484661188093
6. 1484661188328
7. 1484661188515
8. 1484661188703
9. 1484661188921
10. 1484661189125
11. 1484661189296
12. 1484661189484
13. 1484661189656
14. 1484661189859
15. 1484661190093
16. 1484661190500
17. 1484661190718
18. 1484661191562
19. 1484661191750
20. 1484661192078
21. 1484661192250
22. 1484661194968
23. 1484661195390
24. 1484661199062
25. 1484661199468
26. 1484661202312
27. 1484661202640
28. 1484661204078
29. 1484661204296
30. 1484661206671
31. 1484661208281
32. 1484661210781
33. 1484661215156
34. 1484661227375
35. 1484661229453
36. 1484661229671
37. 1484661231609
38. 1484661235625
39. 1484661238453
40. 1484661246734
41. 1484661247140
42. 1484661259296
43. 1484661276656
44. 1484661288781
45. 1484661315984
46. 1484661328187
47. 1484661349375
48. 1484661361578
49. 1484661388718
50. 1484661400968
51. 1484661428171
52. 1484661440390
53. 1484661467609
54. 1484661479843
55. 1484661507031
56. 1484661519265
57. 1484661546468
58. 1484661558687
59. 1484661585812
60. 1484661586000
61. 1484661613125
62. 1484661613312
63. 1484661640515
64. 1484661640703
65. 1484661667812
66. 1484661668031
67. 1484661695265
68. 1484661695453
69. 1484661722656
