* 1:08am Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b1(p) a1(m)
* 2. c1(G) c1-b1
* 3. b4(r) b1-c1
* 4. c4(p) d1(p)
* 5. a2(p) c1-b1
* 6. b2(C) b2-b4
* 7. d4(K) a5(C)
* 8. d1-c1 b5(P)
* 9. c1-d1 c5(p)
* 10. c5-b5 d2(k)
* 11. d1-c1 a3(M)
* 12. c1-d1 b3(R)
* 13. d1-c1 c3(r)
* 14. c3-b3 d8(c)
* 15. c1-d1 d7(g)
* 16. b3-b4 a8(N)
* 17. d1-c1 b8(P)
* 18. c1-d1 c8(M)
* 19. d1-c1 c7(P)
* 20. c1-d1 c2(P)
* 21. d5(N) a6(m)
* 22. c4-d4 c2-b2
* 23. a6-a5 b1-a1
* 24. d7-c7 c8-d8
* 25. a4(n) a1-a2
* 26. a7(n) a8-a7
* 27. b7(P) a2-a1
* 28. d3(c) d6(R)
* 29. d3-d5 c6(G)
* 30. c7-c6 d6-d5
* 31. b6(g) b2-c2
* 32. b6-b7 c2-d2
* 33. b7-a7 d2-d1
* 34. b4-b3 a3-b3
* 35. a4-a3 b3-a3
* 36. d4-d3 d1-c1
* 37. d3-d2 a1-a2
* 38. d2-d3 c1-b1
* 39. d3-d2 b1-c1
* 40. d2-d3 c1-b1
* 41. d3-d2 b1-c1
* 42. d2-d3 c1-b1
* 43. d3-d2 b1-c1
* 44. d2-d3
* Draws
* Comment 0 0
0. 1484586551781
1. 1484586551984
2. 1484586552203
3. 1484586552406
4. 1484586552593
5. 1484586552796
6. 1484586552968
7. 1484586553187
8. 1484586553375
9. 1484586553562
10. 1484586553812
11. 1484586554000
12. 1484586554203
13. 1484586554421
14. 1484586554625
15. 1484586554812
16. 1484586555000
17. 1484586555187
18. 1484586555406
19. 1484586555609
20. 1484586555796
21. 1484586555984
22. 1484586556171
23. 1484586556390
24. 1484586556687
25. 1484586556875
26. 1484586558078
27. 1484586558328
28. 1484586558953
29. 1484586559125
30. 1484586559859
31. 1484586560031
32. 1484586560343
33. 1484586560531
34. 1484586561375
35. 1484586561562
36. 1484586563625
37. 1484586564046
38. 1484586566843
39. 1484586567265
40. 1484586592609
41. 1484586594453
42. 1484586631609
43. 1484586632234
44. 1484586669390
45. 1484586670218
46. 1484586707359
47. 1484586718718
48. 1484586755875
49. 1484586758906
50. 1484586774953
51. 1484586777531
52. 1484586814687
53. 1484586815000
54. 1484586843281
55. 1484586854296
56. 1484586891468
57. 1484586922937
58. 1484586960109
59. 1484586997265
60. 1484587034406
61. 1484587048593
62. 1484587085750
63. 1484587108796
64. 1484587145937
65. 1484587156093
66. 1484587193406
67. 1484587230593
68. 1484587267781
69. 1484587304968
70. 1484587342140
71. 1484587358187
72. 1484587395343
73. 1484587396171
74. 1484587433343
75. 1484587436703
76. 1484587473875
77. 1484587474625
78. 1484587511796
79. 1484587516359
80. 1484587553515
81. 1484587553812
82. 1484587590984
83. 1484587593796
84. 1484587630953
85. 1484587631703
86. 1484587634656
