* 3:40pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d7(K) a3(P)
* 2. d6(P) b7(N)
* 3. d8(k) a8(c)
* 4. d7-d8 c8(p)
* 5. b6(G) c8-d8
* 6. b5(p) c3(p)
* 7. b6-b5 d5(p)
* 8. b4(M) d5-d6
* 9. a5(G) d3(p)
* 10. c5(C) c1(P)
* 11. b5-b6 b8(C)
* 12. b4-b5 d1(r)
* 13. d4(P) b3(R)
* 14. a6(n) c2(N)
* 15. a1(P) b1(m)
* 16. a4(n) a2(g)
* 17. a5-a4 b1-a1
* 18. b6-a6 a8-a6
* 19. c2-c3 d3-d4
* 20. c1-b1 a1-b1
* 21. d2(g) a2-a3
* 22. a4-a3 b2(m)
* 23. a3-a2 b2-b3
* 24. a2-b2 b3-c3
* 25. b8-c8 c4(c)
* 26. b2-c2 d2-c2
* 27. b7-b6 c6(M)
* 28. c5-c3 a6-c6
* 29. c3-c6 a7(R)
* 30. c6-c2 c7(r)
* 31. c8-c4 c7-d7
* 32. c2-c3 b1-a1
* 33. c3-d3 d1-d2
* 34. c4-c3 d2-d3
* 35. c3-c2 a1-a2
* 36. b5-c5 a2-b2
* 37. c2-c1 d3-d2
* 38. c5-d5 b2-c2
* 39. c1-b1 d8-c8
* 40. d5-d6 c2-c3
* 41. d6-d7 d2-d1
* 42. b1-a1 d1-c1
* 43. a1-a2 c1-d1
* 44. a2-b2 d1-c1
* 45. b2-a2 c1-d1
* 46. a2-b2 d1-c1
* 47. b2-a2 c1-d1
* 48. a2-b2 d1-c1
* 49. b2-a2 c1-d1
* Draws
* Comment 0 0
0. 1484638814859
1. 1484638815046
2. 1484638815281
3. 1484638815484
4. 1484638815671
5. 1484638815875
6. 1484638816078
7. 1484638816296
8. 1484638816484
9. 1484638816671
10. 1484638816906
11. 1484638817109
12. 1484638817328
13. 1484638817531
14. 1484638817750
15. 1484638818093
16. 1484638818265
17. 1484638818468
18. 1484638818640
19. 1484638818984
20. 1484638819171
21. 1484638819484
22. 1484638819671
23. 1484638820093
24. 1484638820281
25. 1484638822031
26. 1484638822546
27. 1484638829531
28. 1484638834093
29. 1484638839125
30. 1484638862828
31. 1484638873218
32. 1484638905328
33. 1484638917500
34. 1484638949609
35. 1484638961875
36. 1484638994000
37. 1484639006156
38. 1484639037828
39. 1484639050078
40. 1484639057031
41. 1484639069281
42. 1484639070328
43. 1484639082468
44. 1484639094562
45. 1484639106703
46. 1484639122078
47. 1484639134218
48. 1484639166328
49. 1484639178453
50. 1484639180812
51. 1484639193046
52. 1484639211812
53. 1484639216015
54. 1484639248203
55. 1484639260375
56. 1484639260593
57. 1484639272734
58. 1484639286781
59. 1484639291000
60. 1484639291281
61. 1484639302781
62. 1484639302953
63. 1484639303234
64. 1484639307703
65. 1484639319828
66. 1484639351937
67. 1484639364109
68. 1484639365593
69. 1484639371718
70. 1484639374093
71. 1484639386250
72. 1484639389812
73. 1484639402062
74. 1484639402234
75. 1484639402453
76. 1484639405187
77. 1484639417359
78. 1484639421656
79. 1484639433859
80. 1484639437250
81. 1484639443453
82. 1484639443625
83. 1484639443812
84. 1484639444218
85. 1484639444421
86. 1484639445921
87. 1484639446171
88. 1484639447031
89. 1484639447234
90. 1484639447406
91. 1484639447593
92. 1484639447984
93. 1484639448218
94. 1484639448375
95. 1484639448562
96. 1484639448765
97. 1484639448984
