* 5:34pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d7(P) a8(p)
* 2. a7(P) a8-a7
* 3. a6(C) d3(p)
* 4. d2(g) a5(g)
* 5. c3(R) a5-a6
* 6. d4(c) a6-a5
* 7. b7(N) a5-a6
* 8. d5(n) a7-a8
* 9. b3(G) a6-a7
* 10. b2(r) b8(R)
* 11. a3(M) a7-b7
* 12. b8-a8 a4(P)
* 13. b3-b2 b1(k)
* 14. a2(P) b6(P)
* 15. b2-b3 d1(p)
* 16. a2-b2 c1(m)
* 17. b2-b1 d8(p)
* 18. c5(K) d8-d7
* 19. c5-d5 b4(M)
* 20. d6(c) d6-b6
* 21. c6(m) d4-b4
* 22. b5(p) c1-b1
* 23. a1(N) b1-a1
* 24. b3-b4 b6-b4
* 25. c3-d3 c8(C)
* 26. c8-c6 d2-d3
* 27. a3-b3 c2(G)
* 28. b3-b4 c7(n)
* 29. c2-d2 d3-d2
* 30. b4-b5 c7-c6
* 31. c4(r) a1-b1
* 32. a4-a3 b1-c1
* 33. a3-b3 c6-c7
* 34. b3-b2 c1-b1
* 35. b2-a2 b1-c1
* 36. a2-b2 c1-b1
* 37. b2-a2 b1-c1
* 38. a2-b2 c1-b1
* 39. b2-a2 b1-c1
* 40. a2-b2 c1-b1
* Draws
* Comment 0 0
0. 1484645693296
1. 1484645693484
2. 1484645693671
3. 1484645693859
4. 1484645694062
5. 1484645694250
6. 1484645694484
7. 1484645694671
8. 1484645694875
9. 1484645695093
10. 1484645695281
11. 1484645695453
12. 1484645695625
13. 1484645695812
14. 1484645696000
15. 1484645696187
16. 1484645696375
17. 1484645696687
18. 1484645696875
19. 1484645697093
20. 1484645697281
21. 1484645697687
22. 1484645697875
23. 1484645698093
24. 1484645698296
25. 1484645698609
26. 1484645698796
27. 1484645701062
28. 1484645701265
29. 1484645703640
30. 1484645703828
31. 1484645705265
32. 1484645705890
33. 1484645710250
34. 1484645710437
35. 1484645722546
36. 1484645722843
37. 1484645728625
38. 1484645731781
39. 1484645743890
40. 1484645753953
41. 1484645766125
42. 1484645785187
43. 1484645797375
44. 1484645819750
45. 1484645831953
46. 1484645864140
47. 1484645876375
48. 1484645908484
49. 1484645908656
50. 1484645940828
51. 1484645953015
52. 1484645985125
53. 1484645985296
54. 1484646017656
55. 1484646029875
56. 1484646062062
57. 1484646074171
58. 1484646106281
59. 1484646118546
60. 1484646150687
61. 1484646162890
62. 1484646195109
63. 1484646195343
64. 1484646227468
65. 1484646227640
66. 1484646234046
67. 1484646246234
68. 1484646278359
69. 1484646278593
70. 1484646278765
71. 1484646281140
72. 1484646281328
73. 1484646281531
74. 1484646281765
75. 1484646282015
76. 1484646282187
77. 1484646282375
78. 1484646282562
79. 1484646282765
