* 10:14pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d7(C) c1(m)
* 2. d6(G) b7(r)
* 3. d7-b7 a4(R)
* 4. d5(p) d8(p)
* 5. d6-d5 c2(P)
* 6. d4(n) a5(c)
* 7. a4-a5 d1(N)
* 8. c5(P) c1-c2
* 9. d5-d4 c2-c1
* 10. d3(p) c1-d1
* 11. d4-d3 c7(M)
* 12. d3-d4 a8(n)
* 13. d4-d3 b1(g)
* 14. d3-d4 b6(M)
* 15. d4-d3 a1(p)
* 16. d3-d4 c8(N)
* 17. d4-d3 a7(p)
* 18. d3-d4 a2(r)
* 19. d4-d3 a6(G)
* 20. c8-d8 a3(R)
* 21. a3-a2 c6(P)
* 22. c6-d6 b4(P)
* 23. b6-c6 b3(C)
* 24. b3-b1 c4(c)
* 25. b2(m) c4-c6
* 26. c7-c6 b2-a2
* 27. c3(g) c3-d3
* 28. a6-a7 d2(P)
* 29. a7-a8 d1-d2
* 30. b5(K) b8(k)
* 31. b1-b2 b8-a8
* 32. b2-b1 a2-b2
* 33. b4-c4 b2-c2
* 34. b7-c7 a1-a2
* 35. c7-d7 d3-c3
* 36. d7-d2 c2-d2
* 37. c4-d4 a2-b2
* 38. b1-a1 b2-b1
* 39. a1-a2 b1-c1
* 40. a2-a8 c1-d1
* 41. d4-d5 d1-c1
* 42. d5-d4 c1-d1
* 43. d4-d5 d1-c1
* 44. d5-d4 c1-d1
* 45. d4-d5 d1-c1
* 46. d5-d4 c1-d1
* Draws
* Comment 0 0
0. 1484662467703
1. 1484662467906
2. 1484662468109
3. 1484662468281
4. 1484662468484
5. 1484662468703
6. 1484662468921
7. 1484662469093
8. 1484662469281
9. 1484662469468
10. 1484662469656
11. 1484662469828
12. 1484662470046
13. 1484662470343
14. 1484662470562
15. 1484662471078
16. 1484662471265
17. 1484662471468
18. 1484662471640
19. 1484662471937
20. 1484662472140
21. 1484662472343
22. 1484662472531
23. 1484662472937
24. 1484662473140
25. 1484662473562
26. 1484662473750
27. 1484662474171
28. 1484662474406
29. 1484662474812
30. 1484662475015
31. 1484662475531
32. 1484662475734
33. 1484662476375
34. 1484662476578
35. 1484662477125
36. 1484662477312
37. 1484662477953
38. 1484662478140
39. 1484662478937
40. 1484662479125
41. 1484662481296
42. 1484662481484
43. 1484662486500
44. 1484662486796
45. 1484662492296
46. 1484662493359
47. 1484662501546
48. 1484662514656
49. 1484662526859
50. 1484662553968
51. 1484662566109
52. 1484662566515
53. 1484662578750
54. 1484662605843
55. 1484662618046
56. 1484662641312
57. 1484662653437
58. 1484662671125
59. 1484662683343
60. 1484662710562
61. 1484662722796
62. 1484662750031
63. 1484662762250
64. 1484662789359
65. 1484662801593
66. 1484662812953
67. 1484662825156
68. 1484662832562
69. 1484662832781
70. 1484662845671
71. 1484662857906
72. 1484662871781
73. 1484662875015
74. 1484662882109
75. 1484662894312
76. 1484662910656
77. 1484662910843
78. 1484662911031
79. 1484662911687
80. 1484662912125
81. 1484662912312
82. 1484662912500
83. 1484662912703
84. 1484662912890
85. 1484662913078
86. 1484662913296
87. 1484662913484
88. 1484662913671
89. 1484662913890
90. 1484662914078
91. 1484662914265
