* 12:49am Jan 18  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d5(K) d4(C)
* 2. b3(R) d3(G)
* 3. c6(N) c4(p)
* 4. a7(M) b6(r)
* 5. d1(p) b6-c6
* 6. d6(n) c7(G)
* 7. d5-d6 b2(r)
* 8. b3-b2 b1(P)
* 9. b2-b3 a1(C)
* 10. b3-b2 a2(M)
* 11. b2-b3 c5(P)
* 12. c7-c6 b5(g)
* 13. c5-c4 b4(k)
* 14. c4-b4 b5-b4
* 15. a8(g) b4-b3
* 16. d7(P) b3-b2
* 17. a5(R) a8-a7
* 18. a6(P) b2-a2
* 19. c8(p) a2-a1
* 20. d8(p) a1-b1
* 21. d7-d8 a7-a6
* 22. b8(m) a6-a5
* 23. c1(c) c2(m)
* 24. d4-c4 b7(P)
* 25. c4-c2 b1-b2
* 26. d2(p) b2-c2
* 27. d8-c8 c2-b2
* 28. c3(N) c1-c6
* 29. d6-c6 a4(c)
* 30. d3-d2 a3(n)
* 31. d2-d1 b2-c2
* 32. c3-d3 c2-c1
* 33. d1-c1 b8-a8
* 34. c1-d1 a3-b3
* 35. d3-d2 b3-c3
* 36. d1-c1 c3-d3
* 37. d2-d3 a4-a3
* 38. c1-d1 a3-b3
* 39. c6-c5 b3-c3
* 40. d3-c3 a5-a4
* 41. d1-c1 a8-b8
* 42. c3-d3 b8-c8
* 43. c1-d1 a4-a5
* 44. d1-c1 a5-a4
* 45. c1-d1 a4-a5
* 46. d1-c1 a5-a4
* 47. c1-d1 a4-a5
* 48. d1-c1 a5-a4
* 49. c1-d1
* Draws
* Comment 0 0
0. 1484671773625
1. 1484671773812
2. 1484671774000
3. 1484671774203
4. 1484671774390
5. 1484671774578
6. 1484671774796
7. 1484671774968
8. 1484671775156
9. 1484671775359
10. 1484671775531
11. 1484671775734
12. 1484671776015
13. 1484671776203
14. 1484671776500
15. 1484671776703
16. 1484671777000
17. 1484671777218
18. 1484671777562
19. 1484671777750
20. 1484671778156
21. 1484671778359
22. 1484671780390
23. 1484671780593
24. 1484671786140
25. 1484671786343
26. 1484671795093
27. 1484671795281
28. 1484671796234
29. 1484671796546
30. 1484671800984
31. 1484671801421
32. 1484671812437
33. 1484671812843
34. 1484671824953
35. 1484671825468
36. 1484671837671
37. 1484671839718
38. 1484671841000
39. 1484671841781
40. 1484671854000
41. 1484671854312
42. 1484671860406
43. 1484671862781
44. 1484671875000
45. 1484671877265
46. 1484671884453
47. 1484671886062
48. 1484671892703
49. 1484671892906
50. 1484671893140
51. 1484671898468
52. 1484671910687
53. 1484671914171
54. 1484671926406
55. 1484671947046
56. 1484671959281
57. 1484671961328
58. 1484671973546
59. 1484671977796
60. 1484671984109
61. 1484671994921
62. 1484671995109
63. 1484671995296
64. 1484672000968
65. 1484672003250
66. 1484672015500
67. 1484672016562
68. 1484672028781
69. 1484672032250
70. 1484672032437
71. 1484672033093
72. 1484672045203
73. 1484672045390
74. 1484672057500
75. 1484672058687
76. 1484672066968
77. 1484672067156
78. 1484672069093
79. 1484672071890
80. 1484672084109
81. 1484672084953
82. 1484672097062
83. 1484672098015
84. 1484672110250
85. 1484672110562
86. 1484672122671
87. 1484672123187
88. 1484672123375
89. 1484672123562
90. 1484672126046
91. 1484672126265
92. 1484672126453
93. 1484672126640
94. 1484672126859
95. 1484672127062
96. 1484672127265
