* 12:24am Jan 18  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b7(n) d5(K)
* 2. b6(r) c3(P)
* 3. c2(R) a5(G)
* 4. c6(P) d3(g)
* 5. d3-c3 c1(N)
* 6. c3-d3 a2(p)
* 7. b6-c6 a4(N)
* 8. b7-b6 b3(c)
* 9. b6-b7 d8(k)
* 10. b7-b6 c4(P)
* 11. b6-b7 b8(M)
* 12. d3-c3 b1(P)
* 13. c6-b6 a3(g)
* 14. c3-c2 a6(R)
* 15. b3-c3 b5(n)
* 16. c3-d3 c5(C)
* 17. c2-c1 c5-c1
* 18. a3-a4 d2(M)
* 19. d3-d5 a5-a4
* 20. d5-d2 a6-b6
* 21. a7(m) c1-c2
* 22. c7(C) c7-a7
* 23. b7-a7 b6-b5
* 24. d1(m) b2(p)
* 25. d1-c1 d7(G)
* 26. d8-d7 d4(c)
* 27. c1-c2 b1-b2
* 28. a1(P) a1-a2
* 29. c2-b2 c8(p)
* 30. b2-a2 a4-a3
* 31. d6(p) a3-a2
* 32. b4(p) c4-b4
* 33. a8(r) b8-a8
* 34. d2-c2 a8-a7
* 35. c2-d2 a2-b2
* 36. d2-d1 b2-c2
* 37. d4-c4 c2-d2
* 38. d1-c1 d2-d1
* 39. c1-b1 b4-a4
* 40. c4-d4 d1-c1
* 41. b1-a1 a7-b7
* 42. d4-d3 c1-d1
* 43. a1-b1 b5-c5
* 44. b1-a1 d1-c1
* 45. a1-a2 c1-d1
* 46. a2-b2 d1-c1
* 47. b2-a2 c1-d1
* 48. a2-b2 d1-c1
* 49. b2-a2 c1-d1
* 50. a2-b2 d1-c1
* 51. b2-a2 c1-d1
* Draws
* Comment 0 0
0. 1484670256875
1. 1484670257062
2. 1484670257250
3. 1484670257437
4. 1484670257625
5. 1484670257812
6. 1484670258000
7. 1484670258187
8. 1484670258375
9. 1484670258546
10. 1484670258718
11. 1484670258890
12. 1484670259093
13. 1484670259281
14. 1484670259453
15. 1484670259656
16. 1484670259843
17. 1484670260031
18. 1484670260234
19. 1484670260406
20. 1484670260593
21. 1484670260906
22. 1484670261093
23. 1484670261390
24. 1484670261578
25. 1484670262093
26. 1484670262406
27. 1484670264015
28. 1484670264296
29. 1484670267328
30. 1484670269718
31. 1484670279203
32. 1484670284437
33. 1484670296546
34. 1484670298171
35. 1484670303390
36. 1484670304109
37. 1484670316203
38. 1484670319046
39. 1484670325156
40. 1484670325343
41. 1484670337453
42. 1484670338625
43. 1484670350734
44. 1484670355296
45. 1484670366421
46. 1484670366734
47. 1484670368890
48. 1484670370281
49. 1484670382421
50. 1484670409515
51. 1484670421718
52. 1484670448812
53. 1484670461015
54. 1484670479375
55. 1484670491609
56. 1484670518828
57. 1484670530968
58. 1484670558171
59. 1484670570281
60. 1484670574296
61. 1484670586531
62. 1484670613625
63. 1484670625750
64. 1484670652843
65. 1484670665078
66. 1484670692171
67. 1484670730828
68. 1484670735062
69. 1484670738312
70. 1484670738500
71. 1484670738687
72. 1484670740078
73. 1484670744109
74. 1484670744296
75. 1484670744500
76. 1484670744796
77. 1484670744984
78. 1484670745531
79. 1484670750296
80. 1484670751265
81. 1484670763500
82. 1484670764312
83. 1484670776531
84. 1484670777906
85. 1484670790140
86. 1484670790984
87. 1484670795765
88. 1484670796718
89. 1484670796906
90. 1484670809125
91. 1484670834828
92. 1484670836109
93. 1484670836296
94. 1484670836484
95. 1484670836687
96. 1484670836875
97. 1484670837062
98. 1484670837265
99. 1484670837453
100. 1484670837640
101. 1484670837843
