* 1:13am Jan 18  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c3(N) c7(P)
* 2. c2(C) d5(m)
* 3. b3(p) a7(M)
* 4. c3-b3 a5(n)
* 5. a8(P) c8(c)
* 6. c2-c3 b7(p)
* 7. a7-b7 c6(r)
* 8. a8-a7 d4(R)
* 9. d8(P) d5-d4
* 10. a4(g) b8(m)
* 11. b7-b8 b6(P)
* 12. c3-c2 b2(N)
* 13. c2-c3 d2(M)
* 14. b2-c2 b4(c)
* 15. b3-b4 a4-b4
* 16. b8-a8 b4-b3
* 17. d1(p) b3-c3
* 18. c5(n) c3-c2
* 19. c4(P) c2-d2
* 20. a8-b8 a3(p)
* 21. c4-c3 a2(R)
* 22. b8-c8 c6-b6
* 23. c3-c2 d3(K)
* 24. d3-d4 a1(p)
* 25. b5(C) a5-b5
* 26. d6(k) c1(G)
* 27. a2-a1 a6(g)
* 28. c1-d1 d2-d1
* 29. b1(r) b1-a1
* 30. c2-d2 a6-a7
* 31. c7-c6 d1-d2
* 32. c6-d6 d7(G)
* 33. d4-d3 d2-c2
* 34. d3-d2 a1-a2
* 35. d2-c2 a2-b2
* 36. c2-b2 a3-b3
* 37. b2-c2 b3-c3
* 38. c2-d2 c3-d3
* 39. d2-c2 d3-d2
* 40. d6-c6 d2-c2
* 41. c6-c7 a7-b7
* 42. c7-c6 c5-c6
* 43. d7-d6 b6-a6
* 44. d6-c6 c2-d2
* 45. c8-c7 d2-d1
* 46. c7-d7 d1-c1
* 47. d7-c7 c1-d1
* 48. c7-d7 d1-c1
* 49. d7-c7 c1-d1
* 50. c7-d7 d1-c1
* 51. d7-c7 c1-d1
* 52. c7-d7
* Draws
* Comment 0 0
0. 1484673190750
1. 1484673190937
2. 1484673191125
3. 1484673191312
4. 1484673191500
5. 1484673191703
6. 1484673191890
7. 1484673192093
8. 1484673192281
9. 1484673192468
10. 1484673192656
11. 1484673192859
12. 1484673193046
13. 1484673193250
14. 1484673193437
15. 1484673193625
16. 1484673193796
17. 1484673194156
18. 1484673194359
19. 1484673194546
20. 1484673194750
21. 1484673195156
22. 1484673195343
23. 1484673195750
24. 1484673195937
25. 1484673196453
26. 1484673196656
27. 1484673197296
28. 1484673197703
29. 1484673198875
30. 1484673199062
31. 1484673199359
32. 1484673199546
33. 1484673201484
34. 1484673201671
35. 1484673202625
36. 1484673202812
37. 1484673207906
38. 1484673208437
39. 1484673208625
40. 1484673209031
41. 1484673218171
42. 1484673236859
43. 1484673248968
44. 1484673250703
45. 1484673252843
46. 1484673264843
47. 1484673273921
48. 1484673280015
49. 1484673292125
50. 1484673300968
51. 1484673313078
52. 1484673340281
53. 1484673352390
54. 1484673379484
55. 1484673391687
56. 1484673418812
57. 1484673431015
58. 1484673448828
59. 1484673460968
60. 1484673488171
61. 1484673500421
62. 1484673501609
63. 1484673514031
64. 1484673517718
65. 1484673529937
66. 1484673557031
67. 1484673569140
68. 1484673570109
69. 1484673582312
70. 1484673582593
71. 1484673594703
72. 1484673608234
73. 1484673608421
74. 1484673608609
75. 1484673608796
76. 1484673608984
77. 1484673615078
78. 1484673616250
79. 1484673622890
80. 1484673637640
81. 1484673646906
82. 1484673647203
83. 1484673654500
84. 1484673669125
85. 1484673681234
86. 1484673681406
87. 1484673687390
88. 1484673687578
89. 1484673691140
90. 1484673692328
91. 1484673700125
92. 1484673700859
93. 1484673708921
94. 1484673709093
95. 1484673709281
96. 1484673709500
97. 1484673709687
98. 1484673709875
99. 1484673710046
100. 1484673710250
101. 1484673710437
102. 1484673710718
