* 11:54am Jan 12  2017
* a0 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b2(c) a4(p)
* 2. a5(R) a5-a4
* 3. c4(p) a8(P)
* 4. c1(c) d8(r)
* 5. b3(N) b3-b2
* 6. c3(P) c6(G)
* 7. c4-c3 a4-a5
* 8. d5(n) a5-a4
* 9. b6(P) a4-a5
* 10. a7(r) d3(P)
* 11. a7-a8 d7(R)
* 12. d8-d7 d6(G)
* 13. a2(M) d6-d7
* 14. d2(p) d3-d2
* 15. c7(g) d7-c7
* 16. b7(p) c7-b7
* 17. b4(C) b7-c7
* 18. a6(C) c7-b7
* 19. b5(g) c2(K)
* 20. b5-a5 d4(N)
* 21. a5-a6 d4-d5
* 22. d1(m) a3(k)
* 23. a3-a2 c5(p)
* 24. a6-b6 b7-b6
* 25. b8(M) b8-a8
* 26. a1(n) c2-c1
* 27. d1-d2 b2-b3
* 28. c8(P) b3-c3
* 29. b1(m) c6-c5
* 30. a2-b2 a8-b8
* 31. b2-b3 c1-b1
* 32. b3-c3 b8-a8
* 33. c3-c4 c5-c6
* 34. c4-d4 a8-b8
* 35. d4-d5 b1-a1
* 36. d5-c5 b8-a8
* 37. c5-c6 b6-b7
* 38. c6-d6 a8-b8
* 39. d6-d7 b8-a8
* 40. d7-d6 a8-b8
* 41. d6-d7 b8-a8
* 42. d7-d6 a8-b8
* 43. d6-d7 b8-a8
* 44. d7-d6 a8-b8
* Draws
* Comment 0 0
0. 1484193332828
1. 1484193333016
2. 1484193333203
3. 1484193333438
4. 1484193333672
5. 1484193333844
6. 1484193334031
7. 1484193334219
8. 1484193334406
9. 1484193334610
10. 1484193334813
11. 1484193334985
12. 1484193335156
13. 1484193335360
14. 1484193335531
15. 1484193335703
16. 1484193335891
17. 1484193336141
18. 1484193336360
19. 1484193336547
20. 1484193336719
21. 1484193336906
22. 1484193337094
23. 1484193337266
24. 1484193337438
25. 1484193337610
26. 1484193337781
27. 1484193337969
28. 1484193338188
29. 1484193338406
30. 1484193338578
31. 1484193338750
32. 1484193338938
33. 1484193339125
34. 1484193339297
35. 1484193339469
36. 1484193339688
37. 1484193339985
38. 1484193340281
39. 1484193340578
40. 1484193340969
41. 1484193341375
42. 1484193341578
43. 1484193341875
44. 1484193342422
45. 1484193342969
46. 1484193343641
47. 1484193344375
48. 1484193344781
49. 1484193345531
50. 1484193345938
51. 1484193346438
52. 1484193346844
53. 1484193347594
54. 1484193348016
55. 1484193348985
56. 1484193349406
57. 1484193351594
58. 1484193352219
59. 1484193353938
60. 1484193354688
61. 1484193356625
62. 1484193357360
63. 1484193358422
64. 1484193359063
65. 1484193360110
66. 1484193360735
67. 1484193361672
68. 1484193362188
69. 1484193362844
70. 1484193363110
71. 1484193363641
72. 1484193364063
73. 1484193364485
74. 1484193364781
75. 1484193365094
76. 1484193365391
77. 1484193365719
78. 1484193366047
79. 1484193366531
80. 1484193366813
81. 1484193367188
82. 1484193367469
83. 1484193367781
84. 1484193368094
85. 1484193368391
86. 1484193368672
87. 1484193369110
