* 4:09pm Jan 14  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d2(N) c4(K)
* 2. b2(g) d5(M)
* 3. b4(P) a4(R)
* 4. c7(n) c2(R)
* 5. b5(m) b2-c2
* 6. a1(C) c2-d2
* 7. c8(N) c7-c8
* 8. d1(P) d8(M)
* 9. a6(P) a2(G)
* 10. d4(k) d4-d5
* 11. c1(C) a5(r)
* 12. a8(c) a5-a6
* 13. c3(g) b8(n)
* 14. b3(p) b5-b4
* 15. a7(p) c3-c2
* 16. b7(p) c8-c7
* 17. d6(G) b4-a4
* 18. c5(P) d2-d1
* 19. d3(r) b3-b4
* 20. c6(p) d5-d6
* 21. d7(P) b4-c4
* 22. c1-c4 b6(m)
* 23. a1-d1 b1(p)
* 24. d1-d6 c2-c3
* 25. a3(c) a3-b3
* 26. a2-b2 d3-d4
* 27. b2-b1 b3-a3
* 28. b1-c1 b6-b5
* 29. c1-d1 a8-d8
* 30. c4-c6 c7-c6
* 31. d6-d8 d4-c4
* 32. d1-c1 a3-b3
* 33. c1-d1 b3-b2
* 34. d1-c1 b2-c2
* 35. c1-c2 c3-c2
* 36. c5-d5 b8-c8
* 37. d5-d4 a4-b4
* 38. d4-d3 c2-d2
* 39. d7-c7 d2-d3
* 40. c7-b7 d3-d2
* 41. b7-a7 d2-d1
* 42. a7-b7 b5-b6
* 43. b7-a7 d1-c1
* 44. a7-b7 c1-d1
* 45. b7-a7 d1-c1
* 46. a7-b7 c1-d1
* 47. b7-a7 d1-c1
* 48. a7-b7 c1-d1
* 49. b7-a7
* Draws
* Comment 0 0
0. 1484381390110
1. 1484381390313
2. 1484381390500
3. 1484381390703
4. 1484381390891
5. 1484381391078
6. 1484381391328
7. 1484381391516
8. 1484381391735
9. 1484381391953
10. 1484381392156
11. 1484381392375
12. 1484381392578
13. 1484381392766
14. 1484381392969
15. 1484381393172
16. 1484381393360
17. 1484381393563
18. 1484381393750
19. 1484381393922
20. 1484381394110
21. 1484381394297
22. 1484381394516
23. 1484381394703
24. 1484381394922
25. 1484381395110
26. 1484381395297
27. 1484381395578
28. 1484381395766
29. 1484381395969
30. 1484381396156
31. 1484381396453
32. 1484381396625
33. 1484381396922
34. 1484381397172
35. 1484381397578
36. 1484381397781
37. 1484381398516
38. 1484381398813
39. 1484381399656
40. 1484381399953
41. 1484381401141
42. 1484381401563
43. 1484381402453
44. 1484381403078
45. 1484381404688
46. 1484381405672
47. 1484381409360
48. 1484381409906
49. 1484381419610
50. 1484381422156
51. 1484381430969
52. 1484381433485
53. 1484381444485
54. 1484381446188
55. 1484381454922
56. 1484381457094
57. 1484381469235
58. 1484381471219
59. 1484381481922
60. 1484381483438
61. 1484381485922
62. 1484381486656
63. 1484381487953
64. 1484381489016
65. 1484381490422
66. 1484381491375
67. 1484381492969
68. 1484381493938
69. 1484381495000
70. 1484381495406
71. 1484381497344
72. 1484381497766
73. 1484381499188
74. 1484381499485
75. 1484381500313
76. 1484381500610
77. 1484381502125
78. 1484381502344
79. 1484381502969
80. 1484381503266
81. 1484381503781
82. 1484381503969
83. 1484381505141
84. 1484381505328
85. 1484381505735
86. 1484381505906
87. 1484381506500
88. 1484381506688
89. 1484381507094
90. 1484381507281
91. 1484381507797
92. 1484381507985
93. 1484381508375
94. 1484381508563
95. 1484381509078
96. 1484381509297
