* 7:13pm Jan 15  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. a5(P) a2(k)
* 2. c1(G) d6(P)
* 3. c8(p) c7(p)
* 4. d2(c) b5(c)
* 5. b2(N) a2-b2
* 6. c4(n) a8(m)
* 7. c3(P) c4-c3
* 8. d5(P) b5-d5
* 9. a1(p) a1-a2
* 10. b4(P) a2-a1
* 11. d1(p) c6(M)
* 12. c1-d1 b6(R)
* 13. d1-d2 c2(G)
* 14. c2-c3 b2-c2
* 15. d4(K) c2-c3
* 16. d4-d5 c3-c2
* 17. d2-d1 a1-a2
* 18. c6-c7 a7(M)
* 19. a7-a8 a4(r)
* 20. b3(m) c2-d2
* 21. a6(N) d2-d1
* 22. a3(g) b3-b4
* 23. b1(R) d1-c1
* 24. d8(n) a4-a5
* 25. b1-a1 c1-d1
* 26. c7-c8 d1-c1
* 27. a1-a2 c1-d1
* 28. c5(C) a3-a2
* 29. d5-d4 b4-a4
* 30. d4-c4 d1-c1
* 31. c5-c1 b8(p)
* 32. a6-a7 b7(C)
* 33. c1-d1 d3(r)
* 34. d1-c1 d7(g)
* 35. c1-d1 a2-a1
* 36. d1-c1 a1-b1
* 37. b7-b1 a4-a3
* 38. b1-b8 a3-b3
* 39. c1-d1 b3-c3
* 40. c4-c3 d3-d2
* 41. d1-c1 d2-d1
* 42. c1-b1 d1-c1
* 43. b1-a1 c1-d1
* 44. d6-d5 a5-a6
* 45. b6-a6 d1-c1
* 46. c3-c2 c1-d1
* 47. a1-b1 d1-c1
* 48. b1-a1 c1-d1
* 49. a1-b1 d1-c1
* 50. b1-a1 c1-d1
* 51. a1-b1 d1-c1
* 52. b1-a1 c1-d1
* Draws
* Comment 0 0
0. 1484478816969
1. 1484478817172
2. 1484478817360
3. 1484478817563
4. 1484478817781
5. 1484478817969
6. 1484478818156
7. 1484478818375
8. 1484478818547
9. 1484478818735
10. 1484478818969
11. 1484478819172
12. 1484478819360
13. 1484478819547
14. 1484478819735
15. 1484478819906
16. 1484478820141
17. 1484478820360
18. 1484478820547
19. 1484478820735
20. 1484478820953
21. 1484478821141
22. 1484478821360
23. 1484478821563
24. 1484478821719
25. 1484478821906
26. 1484478822078
27. 1484478822250
28. 1484478822453
29. 1484478822656
30. 1484478822860
31. 1484478823078
32. 1484478823266
33. 1484478823453
34. 1484478823656
35. 1484478823875
36. 1484478824047
37. 1484478824219
38. 1484478824438
39. 1484478824625
40. 1484478824797
41. 1484478824969
42. 1484478825156
43. 1484478825328
44. 1484478825531
45. 1484478825719
46. 1484478825953
47. 1484478826156
48. 1484478826469
49. 1484478826688
50. 1484478827016
51. 1484478827203
52. 1484478827594
53. 1484478827781
54. 1484478828125
55. 1484478828313
56. 1484478828625
57. 1484478828844
58. 1484478829156
59. 1484478829344
60. 1484478829828
61. 1484478830000
62. 1484478830391
63. 1484478830610
64. 1484478831000
65. 1484478831172
66. 1484478831797
67. 1484478832000
68. 1484478834281
69. 1484478834578
70. 1484478836344
71. 1484478836531
72. 1484478838735
73. 1484478838922
74. 1484478841844
75. 1484478842172
76. 1484478844375
77. 1484478844578
78. 1484478845906
79. 1484478846188
80. 1484478847031
81. 1484478847235
82. 1484478848016
83. 1484478848219
84. 1484478849094
85. 1484478849281
86. 1484478850000
87. 1484478850188
88. 1484478850938
89. 1484478851156
90. 1484478851594
91. 1484478851797
92. 1484478852141
93. 1484478852360
94. 1484478852656
95. 1484478852828
96. 1484478853172
97. 1484478853360
98. 1484478853703
99. 1484478853938
100. 1484478854235
101. 1484478854406
102. 1484478854703
103. 1484478854891
