* 10:36pm Jan 15  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d3(p) b8(k)
* 2. c6(r) a1(R)
* 3. b1(m) a2(n)
* 4. b1-a1 b7(P)
* 5. a3(r) b7-b8
* 6. c2(P) b5(p)
* 7. d7(N) a4(p)
* 8. b6(P) d8(C)
* 9. b5-b6 a8(g)
* 10. d1(p) b8-b7
* 11. b4(G) b4-a4
* 12. d4(p) d8-a8
* 13. c4(N) a4-a3
* 14. c8(G) a3-a2
* 15. a6(n) a2-a1
* 16. d6(R) a8-a6
* 17. d2(c) a6-c6
* 18. b2(M) d5(P)
* 19. d4-d5 c1(m)
* 20. d2-b2 a1-b1
* 21. a7(g) b1-c1
* 22. b3(M) b3-b2
* 23. c5(c) c1-d1
* 24. c3(C) c4-c5
* 25. a5(K) c5-d5
* 26. b6-b5 c7(P)
* 27. b5-a5 d1-d2
* 28. a7-b7 d2-d3
* 29. a5-b5 c3-b3
* 30. b5-c5 d5-c5
* 31. b7-b6 b3-c3
* 32. b6-b5 c3-c4
* 33. b5-c5 b2-b1
* 34. c5-c6 c2-b2
* 35. c6-d6 c4-c5
* 36. d6-d7 d3-d2
* 37. d7-d6 b2-a2
* 38. d6-d5 b1-a1
* 39. d5-c5 c7-b7
* 40. c5-d5 d2-d3
* 41. d5-c5 d3-d2
* 42. c5-d5 d2-d3
* 43. d5-c5 d3-d2
* 44. c5-d5 d2-d3
* 45. d5-c5 d3-d2
* 46. c5-d5
* Draws
* Comment 0 0
0. 1484490984016
1. 1484490984219
2. 1484490984422
3. 1484490984672
4. 1484490984953
5. 1484490985156
6. 1484490985469
7. 1484490985672
8. 1484490985891
9. 1484490986110
10. 1484490986328
11. 1484490986594
12. 1484490986797
13. 1484490987016
14. 1484490987235
15. 1484490987438
16. 1484490987672
17. 1484490987969
18. 1484490988156
19. 1484490988485
20. 1484490988719
21. 1484490989406
22. 1484490989625
23. 1484490990063
24. 1484490990313
25. 1484490991016
26. 1484490991250
27. 1484490993110
28. 1484490993344
29. 1484490994313
30. 1484490994531
31. 1484491002313
32. 1484491002531
33. 1484491006031
34. 1484491006266
35. 1484491008828
36. 1484491009063
37. 1484491014313
38. 1484491014625
39. 1484491023328
40. 1484491023547
41. 1484491031516
42. 1484491031875
43. 1484491044125
44. 1484491044453
45. 1484491050688
46. 1484491051141
47. 1484491063375
48. 1484491063703
49. 1484491075953
50. 1484491076266
51. 1484491088516
52. 1484491089594
53. 1484491101828
54. 1484491102469
55. 1484491114688
56. 1484491115235
57. 1484491127485
58. 1484491128125
59. 1484491140235
60. 1484491140453
61. 1484491152688
62. 1484491152906
63. 1484491165156
64. 1484491165547
65. 1484491165750
66. 1484491165969
67. 1484491171750
68. 1484491171938
69. 1484491178172
70. 1484491178360
71. 1484491190594
72. 1484491190797
73. 1484491191219
74. 1484491191422
75. 1484491203000
76. 1484491203203
77. 1484491204281
78. 1484491204469
79. 1484491207063
80. 1484491207313
81. 1484491211781
82. 1484491211985
83. 1484491212203
84. 1484491212391
85. 1484491212578
86. 1484491212781
87. 1484491212985
88. 1484491213203
89. 1484491213422
90. 1484491213625
