* 10:43pm Jan 15  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b7(c) c8(C)
* 2. c4(P) b6(p)
* 3. b8(p) a3(R)
* 4. b2(P) a1(P)
* 5. d5(p) d8(P)
* 6. c2(M) c7(r)
* 7. c7-c8 c3(N)
* 8. c8-d8 a6(m)
* 9. b1(n) c6(c)
* 10. b1-a1 d7(C)
* 11. d8-d7 c1(G)
* 12. c6-c4 a7(g)
* 13. c4-c2 c1-c2
* 14. a1-b1 c3-c4
* 15. b1-a1 b2-b1
* 16. a1-b1 a4(p)
* 17. a2(m) d6(r)
* 18. a2-a3 b3(g)
* 19. b1-a1 b5(R)
* 20. b6-c6 d1(M)
* 21. a1-a2 c5(G)
* 22. a5(K) a5-a6
* 23. d3(N) a6-a7
* 24. a8(n) a7-a8
* 25. b4(p) c4-b4
* 26. b3-b4 c5-d5
* 27. d4(P) d5-d6
* 28. b4-b5 d6-d7
* 29. b8-a8 d2(k)
* 30. d2-d1 c2-c1
* 31. d1-c1 d3-d2
* 32. c1-d1 d2-d3
* 33. d1-c1 d3-d2
* 34. c1-d1 d2-d3
* 35. d1-c1 d3-d2
* 36. c1-d1 d2-d3
* 37. d1-c1 d3-d2
* Draws
* Comment 0 0
0. 1484491439156
1. 1484491439360
2. 1484491439563
3. 1484491439875
4. 1484491440125
5. 1484491440313
6. 1484491440516
7. 1484491440735
8. 1484491441016
9. 1484491441219
10. 1484491441406
11. 1484491441610
12. 1484491441860
13. 1484491442141
14. 1484491442375
15. 1484491442578
16. 1484491442813
17. 1484491443031
18. 1484491443235
19. 1484491443860
20. 1484491444188
21. 1484491444953
22. 1484491445188
23. 1484491446813
24. 1484491447063
25. 1484491448610
26. 1484491448813
27. 1484491449172
28. 1484491449406
29. 1484491449625
30. 1484491449875
31. 1484491450125
32. 1484491450344
33. 1484491451641
34. 1484491451860
35. 1484491452891
36. 1484491453125
37. 1484491457078
38. 1484491457281
39. 1484491463594
40. 1484491463813
41. 1484491468485
42. 1484491468813
43. 1484491481125
44. 1484491481750
45. 1484491494047
46. 1484491494485
47. 1484491506766
48. 1484491507297
49. 1484491519531
50. 1484491520422
51. 1484491532672
52. 1484491533422
53. 1484491545641
54. 1484491547172
55. 1484491559422
56. 1484491560547
57. 1484491572688
58. 1484491575266
59. 1484491587531
60. 1484491589469
61. 1484491589703
62. 1484491591438
63. 1484491591641
64. 1484491592938
65. 1484491593125
66. 1484491594860
67. 1484491595078
68. 1484491596360
69. 1484491596563
70. 1484491598391
71. 1484491598610
72. 1484491599906
73. 1484491600110
