* 9:58pm Jan 15  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c7(R) a1(P)
* 2. c3(m) c2(p)
* 3. c5(M) b8(p)
* 4. d6(K) a4(R)
* 5. c4(r) d4(k)
* 6. d7(P) d1(N)
* 7. c1(m) c1-d1
* 8. b1(g) b1-c1
* 9. b2(p) d8(c)
* 10. a5(G) d8-d6
* 11. a8(C) c1-b1
* 12. c5-c4 c3-c4
* 13. d7-d8 b1-a1
* 14. c7-d7 c6(c)
* 15. c8(P) d5(M)
* 16. b6(n) d6-d8
* 17. d7-d8 d4-d5
* 18. c8-b8 a1-b1
* 19. b5(p) b7(g)
* 20. d2(C) d1-d2
* 21. a6(n) b4(P)
* 22. a5-a6 c6-a6
* 23. a8-a6 c4-b4
* 24. d3(N) d2-d3
* 25. a7(P) b4-a4
* 26. a3(r) b6-a6
* 27. a2(p) d5-d6
* 28. b3(G) b1-c1
* 29. b3-a3 b7-b8
* 30. a3-a4 b5-c5
* 31. a4-a3 c1-d1
* 32. a3-a2 d1-c1
* 33. a2-b2 a6-a7
* 34. b2-b3 c1-d1
* 35. b3-b2 d1-c1
* 36. b2-b3 c1-d1
* 37. b3-b2 d1-c1
* 38. b2-b3 c1-d1
* 39. b3-b2 d1-c1
* 40. b2-b3
* Draws
* Comment 0 0
0. 1484488715781
1. 1484488715969
2. 1484488716156
3. 1484488716360
4. 1484488716578
5. 1484488716750
6. 1484488716969
7. 1484488717188
8. 1484488717375
9. 1484488717578
10. 1484488717781
11. 1484488717985
12. 1484488718203
13. 1484488718391
14. 1484488718719
15. 1484488718906
16. 1484488719438
17. 1484488719625
18. 1484488724156
19. 1484488724344
20. 1484488734985
21. 1484488735156
22. 1484488739516
23. 1484488739719
24. 1484488739938
25. 1484488740188
26. 1484488741406
27. 1484488741594
28. 1484488748688
29. 1484488748875
30. 1484488749110
31. 1484488749375
32. 1484488766547
33. 1484488766906
34. 1484488769031
35. 1484488769235
36. 1484488780375
37. 1484488780547
38. 1484488797719
39. 1484488798485
40. 1484488815610
41. 1484488815938
42. 1484488833078
43. 1484488833703
44. 1484488850875
45. 1484488851641
46. 1484488868844
47. 1484488869641
48. 1484488886781
49. 1484488887719
50. 1484488904891
51. 1484488905750
52. 1484488922953
53. 1484488923625
54. 1484488940797
55. 1484488943594
56. 1484488960828
57. 1484488963360
58. 1484488980531
59. 1484488982110
60. 1484488999250
61. 1484489001016
62. 1484489018235
63. 1484489019766
64. 1484489036906
65. 1484489038219
66. 1484489055375
67. 1484489055985
68. 1484489056735
69. 1484489057375
70. 1484489057547
71. 1484489058172
72. 1484489058360
73. 1484489058985
74. 1484489059172
75. 1484489059797
76. 1484489060078
77. 1484489060719
78. 1484489060938
