* 4:05pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. c6(m) c8(P)
* 2. a8(P) b6(p)
* 3. d6(C) a6(K)
* 4. b6-a6 d6-a6
* 5. c1(P) b4(M)
* 6. b3(r) a7(k)
* 7. a2(g) b4-b3
* 8. b7(p) a4(N)
* 9. a7-a6 d2(p)
* 10. d3(r) a3(N)
* 11. a2-a3 a5(M)
* 12. a3-b3 d4(n)
* 13. a6-a5 b5(n)
* 14. a5-a4 c5(C)
* 15. b5-c5 a1(P)
* 16. b3-a3 d8(m)
* 17. d8-c8 c4(P)
* 18. d4-c4 c3(p)
* 19. a3-b3 d1(p)
* 20. d1-c1 d7(g)
* 21. c1-d1 c2(G)
* 22. b8(c) c2-d2
* 23. b2(R) b2-c2
* 24. c7(G) c7-d7
* 25. d5(R) d2-d1
* 26. b1(c) c2-c3
* 27. b3-c3 a1-a2
* 28. b1-c1 d7-c7
* 29. c1-c2 c7-b7
* 30. c2-c1 d1-c1
* 31. d3-d2 c1-d1
* 32. c4-b4 d1-d2
* 33. c8-c7 b7-c7
* 34. b4-c4 d5-c5
* 35. c6-c5 a2-b2
* 36. c3-b3 b2-c2
* 37. b3-c3 c2-c1
* 38. c3-b3 c1-d1
* 39. b3-c3 d1-c1
* 40. c3-b3 c1-d1
* 41. b3-c3 d1-c1
* 42. c3-b3 c1-d1
* 43. b3-c3 d1-c1
* 44. c3-b3
* Draws
* Comment 0 0
0. 1484553940187
1. 1484553940375
2. 1484553940562
3. 1484553940781
4. 1484553940953
5. 1484553941171
6. 1484553941390
7. 1484553941609
8. 1484553941812
9. 1484553942000
10. 1484553942203
11. 1484553942421
12. 1484553942937
13. 1484553943109
14. 1484553943703
15. 1484553944031
16. 1484553944187
17. 1484553944375
18. 1484553944718
19. 1484553944921
20. 1484553945781
21. 1484553946000
22. 1484553946640
23. 1484553946828
24. 1484553947234
25. 1484553947453
26. 1484553947843
27. 1484553948015
28. 1484553952078
29. 1484553952312
30. 1484553952875
31. 1484553953093
32. 1484553953531
33. 1484553953734
34. 1484553954359
35. 1484553954531
36. 1484553955312
37. 1484553955500
38. 1484553967671
39. 1484553967890
40. 1484553968968
41. 1484553969156
42. 1484553981359
43. 1484553981546
44. 1484553982953
45. 1484553983156
46. 1484553986453
47. 1484553992703
48. 1484554004843
49. 1484554005046
50. 1484554017234
51. 1484554029390
52. 1484554041609
53. 1484554051343
54. 1484554053281
55. 1484554053468
56. 1484554065671
57. 1484554065890
58. 1484554078109
59. 1484554079531
60. 1484554090625
61. 1484554090796
62. 1484554103000
63. 1484554115187
64. 1484554127390
65. 1484554139531
66. 1484554151718
67. 1484554163890
68. 1484554176062
69. 1484554176296
70. 1484554188468
71. 1484554189875
72. 1484554191125
73. 1484554191343
74. 1484554191546
75. 1484554191718
76. 1484554203906
77. 1484554204078
78. 1484554204265
79. 1484554204468
80. 1484554204687
81. 1484554204906
82. 1484554205171
83. 1484554205343
84. 1484554205562
85. 1484554205828
86. 1484554206031
