* 5:47pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b6(M) c1(p)
* 2. d2(P) a3(P)
* 3. c5(r) c7(G)
* 4. d3(m) d3-d2
* 5. a5(p) c8(G)
* 6. b5(C) c6(R)
* 7. c6-c5 d8(c)
* 8. c5-c6 d7(g)
* 9. c7-d7 b3(k)
* 10. a3-b3 c2(p)
* 11. b3-a3 d6(n)
* 12. a3-b3 a4(P)
* 13. a4-a5 a6(n)
* 14. b6-a6 b1(p)
* 15. b3-a3 b8(p)
* 16. d7-c7 b4(N)
* 17. c7-d7 b2(P)
* 18. b2-c2 a8(N)
* 19. c2-c1 d4(R)
* 20. c1-b1 c3(m)
* 21. c6-d6 a1(M)
* 22. d7-d8 d5(c)
* 23. d4-d5 a7(P)
* 24. a3-a4 d1(r)
* 25. b5-b8 d1-c1
* 26. a2(g) c1-d1
* 27. b7(K) a2-a1
* 28. c4(C) a1-b1
* 29. b4-b5 c3-c4
* 30. a4-b4 c4-b4
* 31. b5-c5 b1-c1
* 32. b8-b4 c1-b1
* 33. b4-c4 d2-d3
* 34. c4-b4 d3-d4
* 35. b4-b3 d4-d5
* 36. a5-b5 d5-c5
* 37. b5-b4 b1-c1
* 38. b3-b2 c1-b1
* 39. b2-c2 b1-c1
* 40. c2-b2 c1-b1
* 41. b2-c2 b1-c1
* 42. c2-b2 c1-b1
* 43. b2-c2 b1-c1
* 44. c2-b2 c1-b1
* Draws
* Comment 0 0
0. 1484560063500
1. 1484560063687
2. 1484560063875
3. 1484560064062
4. 1484560064312
5. 1484560064484
6. 1484560064656
7. 1484560064890
8. 1484560065078
9. 1484560065265
10. 1484560065468
11. 1484560065656
12. 1484560065843
13. 1484560066062
14. 1484560066500
15. 1484560066656
16. 1484560066843
17. 1484560067062
18. 1484560067359
19. 1484560067562
20. 1484560068296
21. 1484560068531
22. 1484560069296
23. 1484560069531
24. 1484560073921
25. 1484560074078
26. 1484560077828
27. 1484560078046
28. 1484560079265
29. 1484560079515
30. 1484560084046
31. 1484560084250
32. 1484560088781
33. 1484560089000
34. 1484560094546
35. 1484560097531
36. 1484560101703
37. 1484560103093
38. 1484560105656
39. 1484560105828
40. 1484560110109
41. 1484560110359
42. 1484560122562
43. 1484560122781
44. 1484560134953
45. 1484560135500
46. 1484560144187
47. 1484560144640
48. 1484560156781
49. 1484560158859
50. 1484560170625
51. 1484560178796
52. 1484560190937
53. 1484560203015
54. 1484560215125
55. 1484560227328
56. 1484560239453
57. 1484560240234
58. 1484560240453
59. 1484560241109
60. 1484560253359
61. 1484560253593
62. 1484560254468
63. 1484560255656
64. 1484560259000
65. 1484560259187
66. 1484560260078
67. 1484560260281
68. 1484560272500
69. 1484560274171
70. 1484560286468
71. 1484560288296
72. 1484560300578
73. 1484560305265
74. 1484560306250
75. 1484560306437
76. 1484560314640
77. 1484560314906
78. 1484560315437
79. 1484560315625
80. 1484560315984
81. 1484560316171
82. 1484560316500
83. 1484560316687
84. 1484560316984
85. 1484560317171
86. 1484560317375
87. 1484560317609
