* 10:13pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b6(r) a1(G)
* 2. d8(r) b1(p)
* 3. d6(P) a1-b1
* 4. c1(P) c6(P)
* 5. b6-c6 d1(M)
* 6. c6-d6 a2(P)
* 7. c3(k) a7(p)
* 8. a8(p) b7(N)
* 9. c5(g) b1-a1
* 10. a4(n) a1-b1
* 11. d2(G) b1-a1
* 12. d7(p) a1-b1
* 13. b5(c) b7-b6
* 14. d4(C) d4-d6
* 15. a6(m) d6-a6
* 16. a5(M) a5-a4
* 17. b3(P) b6-b5
* 18. d5(N) b1-a1
* 19. b4(m) a4-b4
* 20. c2(K) b3-c3
* 21. c5-b5 a3(C)
* 22. b5-b4 a3-a7
* 23. c8(R) c8-d8
* 24. d3(R) a6-a8
* 25. c4(p) a1-b1
* 26. c4-c3 d3-c3
* 27. b2(n) b1-a1
* 28. b2-a2 d2-d3
* 29. b8(c) a1-a2
* 30. c7(g) a7-d7
* 31. c7-d7 c1-b1
* 32. b8-b1 d1-c1
* 33. b1-a1 a8-a1
* 34. d7-d8 a1-b1
* 35. b4-c4 b1-a1
* 36. c4-b4 a1-b1
* 37. b4-c4 b1-a1
* 38. c4-b4 a1-b1
* 39. b4-c4 b1-a1
* 40. c4-b4 a1-b1
* Draws
* Comment 0 0
0. 1484576025109
1. 1484576025296
2. 1484576025515
3. 1484576025718
4. 1484576025953
5. 1484576026218
6. 1484576026406
7. 1484576026625
8. 1484576026828
9. 1484576027031
10. 1484576027296
11. 1484576027500
12. 1484576027734
13. 1484576027937
14. 1484576028156
15. 1484576028390
16. 1484576028593
17. 1484576028796
18. 1484576029109
19. 1484576029359
20. 1484576029687
21. 1484576029875
22. 1484576030171
23. 1484576030406
24. 1484576030750
25. 1484576030937
26. 1484576031375
27. 1484576031578
28. 1484576032296
29. 1484576032515
30. 1484576033937
31. 1484576034140
32. 1484576035203
33. 1484576035406
34. 1484576037265
35. 1484576037468
36. 1484576042156
37. 1484576043140
38. 1484576054609
39. 1484576055671
40. 1484576063203
41. 1484576063515
42. 1484576066984
43. 1484576067296
44. 1484576067625
45. 1484576068375
46. 1484576079671
47. 1484576080750
48. 1484576085328
49. 1484576089671
50. 1484576101906
51. 1484576108359
52. 1484576118859
53. 1484576131078
54. 1484576143218
55. 1484576155453
56. 1484576158828
57. 1484576171078
58. 1484576183312
59. 1484576195546
60. 1484576207796
61. 1484576219921
62. 1484576232156
63. 1484576244296
64. 1484576250062
65. 1484576262328
66. 1484576262546
67. 1484576265484
68. 1484576277078
69. 1484576277296
70. 1484576277500
71. 1484576277703
72. 1484576277890
73. 1484576278093
74. 1484576278296
75. 1484576278500
76. 1484576278687
77. 1484576278906
78. 1484576279109
79. 1484576279312
