* 10:51pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a2(p) a1(M)
* 2. d1(P) a1-a2
* 3. d3(m) b2(m)
* 4. b2-a2 a4(k)
* 5. a5(P) a5-a4
* 6. b4(G) c4(C)
* 7. c1(N) d4(P)
* 8. a2-b2 c2(p)
* 9. a7(g) d2(c)
* 10. d2-d4 b7(n)
* 11. d4-b4 c7(P)
* 12. d3-d4 d7(N)
* 13. d4-c4 a8(r)
* 14. c4-d4 b8(g)
* 15. b6(R) c6(r)
* 16. c6-b6 c8(p)
* 17. d5(n) c7-c8
* 18. a6(K) c8-c7
* 19. b7-c7 a6-a7
* 20. a3(p) a7-a8
* 21. c7-d7 a8-b8
* 22. c5(M) c5-d5
* 23. d4-d5 b3(G)
* 24. a3-a4 b3-b2
* 25. b1(R) c1-c2
* 26. b4-b1 b2-b1
* 27. b5(p) d6(C)
* 28. d5-d6 c3(P)
* 29. d8(c) b1-c1
* 30. a4-b4 d1-d2
* 31. b4-a4 c1-d1
* 32. a4-b4 d1-c1
* 33. b4-a4 c1-d1
* 34. a4-b4 d1-c1
* 35. b4-a4 c1-d1
* 36. a4-b4 d1-c1
* 37. b4-a4
* Draws
* Comment 0 0
0. 1484578302281
1. 1484578302453
2. 1484578302671
3. 1484578302859
4. 1484578303140
5. 1484578303328
6. 1484578303515
7. 1484578303703
8. 1484578303906
9. 1484578304093
10. 1484578304281
11. 1484578304500
12. 1484578304687
13. 1484578304875
14. 1484578305312
15. 1484578305500
16. 1484578306125
17. 1484578306312
18. 1484578306718
19. 1484578306906
20. 1484578308750
21. 1484578308937
22. 1484578309671
23. 1484578309906
24. 1484578313250
25. 1484578313437
26. 1484578316250
27. 1484578316437
28. 1484578317718
29. 1484578318140
30. 1484578329906
31. 1484578330312
32. 1484578332031
33. 1484578333312
34. 1484578335718
35. 1484578351109
36. 1484578363218
37. 1484578400375
38. 1484578405718
39. 1484578442859
40. 1484578455078
41. 1484578489703
42. 1484578501843
43. 1484578539000
44. 1484578551140
45. 1484578568750
46. 1484578580968
47. 1484578618156
48. 1484578625125
49. 1484578662265
50. 1484578674390
51. 1484578674578
52. 1484578675562
53. 1484578712718
54. 1484578724843
55. 1484578761984
56. 1484578770906
57. 1484578808046
58. 1484578820281
59. 1484578857468
60. 1484578869609
61. 1484578906765
62. 1484578919015
63. 1484578956187
64. 1484578956390
65. 1484578993546
66. 1484578993734
67. 1484579030890
68. 1484579031062
69. 1484579068218
70. 1484579068437
71. 1484579105609
72. 1484579105796
