* 11:37pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d6(G) a1(C)
* 2. d5(p) b1(c)
* 3. d6-d5 c1(g)
* 4. a1-c1 d1(P)
* 5. d8(p) b1-a1
* 6. c3(p) a2(p)
* 7. c1-c3 d3(k)
* 8. b8(m) a1-b1
* 9. c8(r) a2-a1
* 10. c2(C) d3-c3
* 11. b2(n) b2-c2
* 12. a8(c) a1-a2
* 13. b4(P) b1-c1
* 14. b6(P) c1-b1
* 15. a4(G) b1-c1
* 16. b3(P) c4(N)
* 17. b3-c3 c1-b1
* 18. a6(g) b1-c1
* 19. d2(K) c2-b2
* 20. b5(p) c1-c4
* 21. b7(n) b5-b4
* 22. c7(M) c4-a4
* 23. c7-c8 a8-c8
* 24. c6(M) a6-b6
* 25. c5(m) c5-c6
* 26. d7(N) c8-c3
* 27. d7-d8 a3(R)
* 28. a3-a4 a5(P)
* 29. a4-b4 d4(R)
* 30. a7(r) a2-a1
* 31. d1-c1 a1-a2
* 32. c1-d1 a2-a1
* 33. d1-c1 a1-a2
* 34. c1-d1 a2-a1
* 35. d1-c1 a1-a2
* 36. c1-d1 a2-a1
* Draws
* Comment 0 0
0. 1484581080796
1. 1484581081000
2. 1484581081187
3. 1484581081406
4. 1484581081593
5. 1484581081781
6. 1484581081984
7. 1484581082203
8. 1484581082375
9. 1484581082562
10. 1484581082718
11. 1484581082890
12. 1484581083109
13. 1484581083312
14. 1484581083609
15. 1484581083781
16. 1484581084093
17. 1484581084265
18. 1484581084578
19. 1484581084812
20. 1484581084984
21. 1484581085171
22. 1484581085609
23. 1484581085812
24. 1484581086156
25. 1484581086328
26. 1484581086765
27. 1484581086953
28. 1484581087359
29. 1484581087578
30. 1484581087968
31. 1484581088187
32. 1484581089171
33. 1484581089359
34. 1484581089593
35. 1484581090109
36. 1484581092687
37. 1484581093531
38. 1484581099734
39. 1484581126609
40. 1484581137640
41. 1484581172281
42. 1484581184421
43. 1484581221578
44. 1484581233671
45. 1484581270843
46. 1484581275437
47. 1484581312609
48. 1484581324734
49. 1484581361906
50. 1484581370875
51. 1484581408031
52. 1484581420234
53. 1484581457390
54. 1484581469609
55. 1484581506765
56. 1484581518984
57. 1484581556171
58. 1484581568359
59. 1484581605515
60. 1484581617734
61. 1484581654890
62. 1484581667000
63. 1484581704218
64. 1484581705109
65. 1484581742250
66. 1484581754453
67. 1484581791609
68. 1484581792609
69. 1484581829765
70. 1484581841859
71. 1484581879015
