* 5:07pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a2(k) a1(G)
* 2. a2-a1 b1(N)
* 3. a1-b1 c1(p)
* 4. d2(p) d1(C)
* 5. a4(p) d1-b1
* 6. a7(m) b1-a1
* 7. c7(r) a1-b1
* 8. a6(P) b1-a1
* 9. a8(N) c2(C)
* 10. c1-d1 a3(m)
* 11. d1-c1 d3(P)
* 12. d2-d3 b4(K)
* 13. a4-b4 c4(R)
* 14. c1-d1 b5(c)
* 15. a3-a4 b3(P)
* 16. b4-b3 c6(n)
* 17. d1-c1 d6(r)
* 18. c1-b1 d5(R)
* 19. d6-d5 d7(P)
* 20. a7-a8 b7(c)
* 21. d3-d2 c8(n)
* 22. b1-c1 b2(P)
* 23. b3-b2 c3(g)
* 24. c3-c4 b8(p)
* 25. c1-b1 b6(M)
* 26. b7-d7 b6-b5
* 27. c5(M) c5-d5
* 28. a5(p) c2-c6
* 29. c7-c6 a1-a5
* 30. a4-a5 b5-a5
* 31. d4(g) d8(G)
* 32. d4-d5 d8-d7
* 33. b1-c1 a5-b5
* 34. c1-b1 b5-b4
* 35. c4-b4 a6-a5
* 36. b1-c1 a5-b5
* 37. b4-b5 d7-c7
* 38. c1-b1 c7-c6
* 39. b1-c1 c6-c7
* 40. c1-d1 c7-c8
* 41. d1-c1 c8-b8
* 42. c1-d1 b8-a8
* 43. d1-c1 a8-b8
* 44. c1-d1 b8-c8
* 45. d1-c1 c8-d8
* 46. c1-d1 d8-d7
* 47. d1-c1 d7-c7
* 48. c1-d1 c7-d7
* 49. d1-c1 d7-c7
* 50. c1-d1 c7-d7
* 51. d1-c1 d7-c7
* 52. c1-d1 c7-d7
* 53. d1-c1
* Draws
* Comment 0 0
0. 1484644069515
1. 1484644069703
2. 1484644069906
3. 1484644070093
4. 1484644070296
5. 1484644070484
6. 1484644070703
7. 1484644070890
8. 1484644071062
9. 1484644071250
10. 1484644071437
11. 1484644071625
12. 1484644071796
13. 1484644071984
14. 1484644072171
15. 1484644072390
16. 1484644072578
17. 1484644072765
18. 1484644072953
19. 1484644073140
20. 1484644073437
21. 1484644073625
22. 1484644074031
23. 1484644074265
24. 1484644074687
25. 1484644074906
26. 1484644075421
27. 1484644075609
28. 1484644077328
29. 1484644077531
30. 1484644081000
31. 1484644081218
32. 1484644082500
33. 1484644082687
34. 1484644083421
35. 1484644083640
36. 1484644095421
37. 1484644095859
38. 1484644104359
39. 1484644104765
40. 1484644117000
41. 1484644117546
42. 1484644124406
43. 1484644124812
44. 1484644127187
45. 1484644128375
46. 1484644133265
47. 1484644134796
48. 1484644138593
49. 1484644143484
50. 1484644155703
51. 1484644187828
52. 1484644199937
53. 1484644232046
54. 1484644244265
55. 1484644276390
56. 1484644288625
57. 1484644320765
58. 1484644332875
59. 1484644365000
60. 1484644377218
61. 1484644381062
62. 1484644393281
63. 1484644425406
64. 1484644428890
65. 1484644444500
66. 1484644456640
67. 1484644488765
68. 1484644500984
69. 1484644533125
70. 1484644535937
71. 1484644568062
72. 1484644568234
73. 1484644600359
74. 1484644612468
75. 1484644644593
76. 1484644656703
77. 1484644672312
78. 1484644672500
79. 1484644675750
80. 1484644677796
81. 1484644678187
82. 1484644678375
83. 1484644678890
84. 1484644691015
85. 1484644692390
86. 1484644692578
87. 1484644692765
88. 1484644692953
89. 1484644693140
90. 1484644693343
91. 1484644693546
92. 1484644701171
93. 1484644701359
94. 1484644701765
95. 1484644701953
96. 1484644702140
97. 1484644702312
98. 1484644702765
99. 1484644702984
100. 1484644703171
101. 1484644703343
102. 1484644703671
103. 1484644703828
104. 1484644704015
