* 7:41pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c4(G) c3(P)
* 2. c8(r) c2(g)
* 3. a6(P) c1(P)
* 4. a5(G) c2-c1
* 5. b2(p) b2-c2
* 6. d7(r) c2-b2
* 7. d2(c) b2-c2
* 8. b7(p) c2-b2
* 9. d5(m) b2-c2
* 10. a7(n) c2-b2
* 11. a3(P) b2-c2
* 12. a1(K) c2-c3
* 13. c4-c3 c1-c2
* 14. c3-c2 a7-a6
* 15. a5-a6 d4(C)
* 16. d4-d2 c5(M)
* 17. c5-d5 b3(p)
* 18. a3-b3 b4(k)
* 19. b3-b4 a4(g)
* 20. d6(c) b1(P)
* 21. b4-c4 d1(R)
* 22. d5-d6 a2(n)
* 23. a1-a2 d3(p)
* 24. c4-c5 b5(p)
* 25. c5-b5 c6(R)
* 26. b5-c5 d8(M)
* 27. d8-c8 a8(m)
* 28. a6-a7 c7(N)
* 29. a7-a8 b8(C)
* 30. c7-b7 b6(N)
* 31. b1-c1 d3-d4
* 32. d6-d7 a4-b4
* 33. c1-b1 b4-b5
* 34. b1-c1 b5-c5
* 35. c6-d6 d4-d3
* 36. c1-b1 d3-d4
* 37. b6-b5 d4-d3
* 38. b5-b4 c5-c6
* 39. b1-a1 d3-c3
* 40. c2-c3 c6-d6
* 41. d7-c7 d6-d5
* 42. a1-b1 d5-d4
* 43. b1-c1 d4-d5
* 44. c1-b1 d5-d4
* 45. b1-c1 d4-d5
* 46. c1-b1 d5-d4
* 47. b1-c1 d4-d5
* 48. c1-b1 d5-d4
* Draws
* Comment 0 0
0. 1484653292640
1. 1484653292875
2. 1484653293093
3. 1484653293312
4. 1484653293531
5. 1484653293734
6. 1484653293921
7. 1484653294125
8. 1484653294328
9. 1484653294546
10. 1484653294750
11. 1484653294953
12. 1484653295171
13. 1484653295406
14. 1484653295609
15. 1484653295828
16. 1484653296031
17. 1484653296234
18. 1484653296453
19. 1484653296656
20. 1484653296984
21. 1484653297203
22. 1484653297500
23. 1484653297718
24. 1484653297968
25. 1484653298218
26. 1484653298421
27. 1484653298625
28. 1484653298843
29. 1484653299109
30. 1484653300000
31. 1484653300218
32. 1484653301015
33. 1484653301265
34. 1484653302156
35. 1484653302390
36. 1484653303828
37. 1484653304062
38. 1484653306250
39. 1484653306562
40. 1484653318671
41. 1484653319843
42. 1484653329546
43. 1484653330500
44. 1484653342718
45. 1484653344875
46. 1484653349000
47. 1484653349187
48. 1484653353093
49. 1484653353296
50. 1484653358968
51. 1484653359156
52. 1484653367265
53. 1484653367484
54. 1484653372703
55. 1484653372890
56. 1484653379859
57. 1484653380046
58. 1484653388984
59. 1484653389203
60. 1484653399453
61. 1484653399640
62. 1484653411750
63. 1484653411937
64. 1484653424156
65. 1484653424359
66. 1484653424546
67. 1484653451750
68. 1484653453250
69. 1484653453468
70. 1484653453671
71. 1484653453859
72. 1484653466093
73. 1484653466390
74. 1484653478609
75. 1484653479671
76. 1484653491890
77. 1484653519000
78. 1484653531109
79. 1484653558312
80. 1484653569671
81. 1484653586953
82. 1484653599187
83. 1484653599406
84. 1484653599609
85. 1484653605296
86. 1484653617531
87. 1484653617734
88. 1484653617968
89. 1484653618187
90. 1484653618375
91. 1484653618578
92. 1484653618796
93. 1484653619000
94. 1484653619218
95. 1484653619421
