* 7:53pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d8(m) d7(n)
* 2. b1(C) d6(p)
* 3. d4(P) c6(m)
* 4. c8(P) a1(g)
* 5. a1-b1 c5(g)
* 6. d8-c8 d3(K)
* 7. a7(G) a6(R)
* 8. d5(r) b7(P)
* 9. d5-d4 a8(P)
* 10. b1-a1 a5(p)
* 11. c2(p) a6-a5
* 12. c1(k) b2(c)
* 13. b4(p) d2(c)
* 14. b6(M) b3(M)
* 15. a3(n) b3-b2
* 16. c6-b6 b2-c2
* 17. c7(r) c2-d2
* 18. b5(N) d3-d4
* 19. c1-c2 a4(p)
* 20. c5-b5 c4(N)
* 21. b5-a5 d1(P)
* 22. b6-b7 a7-b7
* 23. c2-d2 a8-a7
* 24. b8(C) d1-d2
* 25. c8-b8 b7-b8
* 26. a2(G) a2-a1
* 27. c3(R) c4-b4
* 28. a3-a2 a1-a2
* 29. a4-a3 c3-c2
* 30. a3-a4 b4-a4
* 31. a5-a4 a2-b2
* 32. a4-b4 b2-b1
* 33. b4-b3 b1-b2
* 34. b3-a3 b2-b1
* 35. a3-b3 b1-b2
* 36. b3-a3 b2-b1
* 37. a3-b3 b1-b2
* 38. b3-a3 b2-b1
* 39. a3-b3 b1-b2
* Draws
* Comment 0 0
0. 1484653993140
1. 1484653993328
2. 1484653993531
3. 1484653993718
4. 1484653993906
5. 1484653994109
6. 1484653994296
7. 1484653994500
8. 1484653994734
9. 1484653994937
10. 1484653995140
11. 1484653995328
12. 1484653995531
13. 1484653995718
14. 1484653995921
15. 1484653996109
16. 1484653996312
17. 1484653996546
18. 1484653996843
19. 1484653997031
20. 1484653997578
21. 1484653997765
22. 1484653998187
23. 1484653998375
24. 1484653998890
25. 1484653999078
26. 1484654001437
27. 1484654001734
28. 1484654013937
29. 1484654026078
30. 1484654038312
31. 1484654038625
32. 1484654041906
33. 1484654042093
34. 1484654044921
35. 1484654045140
36. 1484654047734
37. 1484654074281
38. 1484654086546
39. 1484654108968
40. 1484654121093
41. 1484654129609
42. 1484654141828
43. 1484654169281
44. 1484654181406
45. 1484654186750
46. 1484654198968
47. 1484654206718
48. 1484654218843
49. 1484654245937
50. 1484654258062
51. 1484654285265
52. 1484654297406
53. 1484654324625
54. 1484654336765
55. 1484654363953
56. 1484654364140
57. 1484654391343
58. 1484654403562
59. 1484654430765
60. 1484654442984
61. 1484654470125
62. 1484654470312
63. 1484654488671
64. 1484654500875
65. 1484654527968
66. 1484654534046
67. 1484654546484
68. 1484654556953
69. 1484654584171
70. 1484654584343
71. 1484654584562
72. 1484654584750
73. 1484654611843
74. 1484654612046
75. 1484654612250
76. 1484654612437
77. 1484654639640
