* 9:38pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b3(g) b2(C)
* 2. b3-b2 b1(M)
* 3. b2-b1 a1(c)
* 4. c2(G) d2(r)
* 5. c5(r) c3(N)
* 6. b8(P) c3-b3
* 7. a3(M) b3-c3
* 8. a6(p) a3-b3
* 9. c6(g) b4(p)
* 10. d8(R) b3-b4
* 11. d7(N) b4-b3
* 12. b5(G) b3-b4
* 13. a7(R) a7-a6
* 14. d5(p) a6-a7
* 15. a2(C) a7-a6
* 16. a5(K) a6-a7
* 17. c1(n) a5-a6
* 18. c7(c) b5-a5
* 19. b6(P) d7-c7
* 20. c6-c7 b4-b5
* 21. b7(P) a4(p)
* 22. c7-b7 a2-d2
* 23. a1-a5 b5-a5
* 24. b1-a1 d4(m)
* 25. b7-a7 c2-c1
* 26. d1(p) a6-a7
* 27. c4(P) d2-d4
* 28. c5-c4 d6(n)
* 29. c4-c3 d4-d6
* 30. a8(P) c1-d1
* 31. c8(m) a5-a4
* 32. c8-d8 d3(k)
* 33. a1-a2 d6-d3
* 34. c3-d3 d1-c1
* 35. a2-b2 c1-d1
* 36. b2-b1 b6-c6
* 37. b1-a1 d1-c1
* 38. a1-a2 c1-b1
* 39. a2-a3 a4-b4
* 40. a3-b3 b4-c4
* 41. b3-c3 c4-d4
* 42. d3-d2 d4-d5
* 43. d2-d1 b1-c1
* 44. d1-d2 c1-d1
* 45. d2-c2 d1-c1
* 46. c2-d2 c1-d1
* 47. d2-c2 d1-c1
* 48. c2-d2 c1-d1
* 49. d2-c2 d1-c1
* 50. c2-d2 c1-d1
* Draws
* Comment 0 0
0. 1484660296937
1. 1484660297171
2. 1484660297375
3. 1484660297578
4. 1484660297796
5. 1484660298000
6. 1484660298187
7. 1484660298375
8. 1484660298578
9. 1484660298765
10. 1484660299078
11. 1484660299296
12. 1484660299609
13. 1484660299828
14. 1484660300265
15. 1484660300453
16. 1484660300765
17. 1484660300984
18. 1484660301390
19. 1484660301625
20. 1484660302046
21. 1484660302265
22. 1484660302609
23. 1484660302812
24. 1484660303671
25. 1484660303859
26. 1484660304859
27. 1484660305031
28. 1484660306031
29. 1484660306359
30. 1484660308093
31. 1484660309171
32. 1484660311343
33. 1484660312968
34. 1484660316343
35. 1484660324218
36. 1484660333500
37. 1484660360609
38. 1484660372734
39. 1484660387562
40. 1484660399734
41. 1484660410343
42. 1484660422562
43. 1484660449718
44. 1484660461968
45. 1484660488953
46. 1484660490578
47. 1484660490875
48. 1484660503000
49. 1484660507796
50. 1484660508000
51. 1484660535234
52. 1484660547468
53. 1484660574578
54. 1484660586812
55. 1484660590625
56. 1484660602843
57. 1484660617187
58. 1484660629296
59. 1484660637578
60. 1484660649703
61. 1484660676906
62. 1484660689156
63. 1484660690000
64. 1484660702234
65. 1484660729453
66. 1484660741687
67. 1484660742421
68. 1484660744359
69. 1484660744687
70. 1484660748500
71. 1484660748796
72. 1484660758828
73. 1484660759562
74. 1484660765875
75. 1484660767281
76. 1484660776437
77. 1484660779265
78. 1484660788531
79. 1484660794062
80. 1484660794359
81. 1484660805281
82. 1484660814984
83. 1484660816078
84. 1484660818250
85. 1484660818562
86. 1484660819406
87. 1484660819609
88. 1484660819796
89. 1484660820046
90. 1484660820234
91. 1484660820437
92. 1484660820734
93. 1484660820937
94. 1484660821234
95. 1484660821453
96. 1484660821671
97. 1484660821859
98. 1484660822187
99. 1484660822375
