* 10:53pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c4(P) a5(C)
* 2. a4(P) d7(r)
* 3. d6(p) c2(p)
* 4. c1(M) d8(g)
* 5. c1-c2 b5(n)
* 6. d5(n) b5-a5
* 7. c6(K) a5-a4
* 8. b2(G) a4-a5
* 9. b1(c) b1-c1
* 10. a2(m) d1(P)
* 11. b3(g) b3-b2
* 12. b6(R) b2-c2
* 13. b7(P) d6-c6
* 14. b6-b5 d2(N)
* 15. d3(c) c2-d2
* 16. b5-a5 d2-d1
* 17. a6(r) a6-a5
* 18. a1(C) a2-a1
* 19. b4(p) c1-c4
* 20. c3(N) c8(R)
* 21. c3-d3 a1-b1
* 22. c5(p) b1-c1
* 23. d4(p) d8-c8
* 24. d3-c3 a7(M)
* 25. c3-c4 a3(m)
* 26. c4-b4 a8(P)
* 27. a7-a6 b8(k)
* 28. b7-b8 c8-b8
* 29. a6-a5 b8-a8
* 30. a5-b5 c7(G)
* 31. c7-d7 c1-c2
* 32. b5-a5 d1-c1
* 33. b4-c4 a3-a4
* 34. a5-a4 c1-d1
* 35. a4-b4 d1-d2
* 36. c4-d4 d5-d4
* 37. b4-c4 c6-d6
* 38. c4-d4 c2-c1
* 39. d4-d3 d2-d3
* 40. d7-c7 a8-b8
* 41. c7-c6 c1-d1
* 42. c6-c7 d1-c1
* 43. c7-c6 c1-d1
* 44. c6-c7 d1-c1
* 45. c7-c6 c1-d1
* 46. c6-c7 d1-c1
* 47. c7-c6
* Draws
* Comment 0 0
0. 1484664854125
1. 1484664854296
2. 1484664854484
3. 1484664854656
4. 1484664854906
5. 1484664855109
6. 1484664855296
7. 1484664855500
8. 1484664855687
9. 1484664856015
10. 1484664856234
11. 1484664856421
12. 1484664856593
13. 1484664856812
14. 1484664857015
15. 1484664857203
16. 1484664857390
17. 1484664857578
18. 1484664857734
19. 1484664858359
20. 1484664858531
21. 1484664859281
22. 1484664859484
23. 1484664860562
24. 1484664860703
25. 1484664861562
26. 1484664861765
27. 1484664862796
28. 1484664863015
29. 1484664865000
30. 1484664865203
31. 1484664869046
32. 1484664869234
33. 1484664870015
34. 1484664870203
35. 1484664878750
36. 1484664878953
37. 1484664888046
38. 1484664888328
39. 1484664892265
40. 1484664893500
41. 1484664904953
42. 1484664905156
43. 1484664906562
44. 1484664906750
45. 1484664918968
46. 1484664932468
47. 1484664932671
48. 1484664949109
49. 1484664961265
50. 1484664988406
51. 1484665000578
52. 1484665027796
53. 1484665040031
54. 1484665067187
55. 1484665079500
56. 1484665106609
57. 1484665106828
58. 1484665125843
59. 1484665138062
60. 1484665165203
61. 1484665177421
62. 1484665204546
63. 1484665216734
64. 1484665229218
65. 1484665241375
66. 1484665268515
67. 1484665268750
68. 1484665275609
69. 1484665287843
70. 1484665292093
71. 1484665292296
72. 1484665293343
73. 1484665305500
74. 1484665306765
75. 1484665307000
76. 1484665307187
77. 1484665315171
78. 1484665315375
79. 1484665320390
80. 1484665322656
81. 1484665331296
82. 1484665331484
83. 1484665336109
84. 1484665336296
85. 1484665336515
86. 1484665336703
87. 1484665336921
88. 1484665337109
89. 1484665337390
90. 1484665337593
91. 1484665337796
92. 1484665337984
