* 1:08am Jan 18  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d3(p) d2(P)
* 2. d3-d2 d1(r)
* 3. b5(g) c2(P)
* 4. d2-c2 b2(G)
* 5. a5(c) b2-c2
* 6. c6(p) c2-b2
* 7. a6(p) b2-c2
* 8. c5(N) c2-d2
* 9. c4(g) d2-d1
* 10. c4-c5 d1-d2
* 11. b4(R) d6(P)
* 12. c6-d6 a7(n)
* 13. b5-b4 d2-d1
* 14. a2(k) d1-d2
* 15. a2-b2 b6(m)
* 16. c3(K) d2-d1
* 17. c8(M) d1-d2
* 18. b1(c) c3-c4
* 19. d5(N) c4-b4
* 20. b2-c2 c7(G)
* 21. c2-d2 b8(P)
* 22. d2-c2 d7(P)
* 23. c2-c3 a1(p)
* 24. a1-a2 c1(m)
* 25. b1-b4 d5-d6
* 26. b4-c4 a4(p)
* 27. c4-c7 c8-c7
* 28. c5-c6 d8(M)
* 29. c6-c7 d6-c6
* 30. c3-c4 b3(n)
* 31. c7-d7 d8-c8
* 32. b6-c6 a3(R)
* 33. a5-a3 a8(r)
* 34. c1-d1 b7(C)
* 35. a7-b7 d4(C)
* 36. c4-d4 c8-c7
* 37. c6-c7 b8-c8
* 38. d1-c1 c8-d8
* 39. c1-d1 d8-c8
* 40. d1-c1 c8-d8
* 41. c1-d1 d8-c8
* 42. d1-c1 c8-d8
* 43. c1-d1 d8-c8
* 44. d1-c1
* Draws
* Comment 0 0
0. 1484672917125
1. 1484672917281
2. 1484672917484
3. 1484672917671
4. 1484672917843
5. 1484672918031
6. 1484672918234
7. 1484672918421
8. 1484672918609
9. 1484672918812
10. 1484672919000
11. 1484672919187
12. 1484672919375
13. 1484672919656
14. 1484672919843
15. 1484672920031
16. 1484672920218
17. 1484672920406
18. 1484672920593
19. 1484672920781
20. 1484672920968
21. 1484672921156
22. 1484672921578
23. 1484672921765
24. 1484672922062
25. 1484672922281
26. 1484672922515
27. 1484672922734
28. 1484672923453
29. 1484672923687
30. 1484672924156
31. 1484672924375
32. 1484672926640
33. 1484672926875
34. 1484672928968
35. 1484672929140
36. 1484672934609
37. 1484672935468
38. 1484672940390
39. 1484672940578
40. 1484672942109
41. 1484672943390
42. 1484672953859
43. 1484672954156
44. 1484672966250
45. 1484672967203
46. 1484672979312
47. 1484672981687
48. 1484672993906
49. 1484672994421
50. 1484672996250
51. 1484672996437
52. 1484672998593
53. 1484672998781
54. 1484673003125
55. 1484673003312
56. 1484673006562
57. 1484673006750
58. 1484673018859
59. 1484673019359
60. 1484673031468
61. 1484673032218
62. 1484673042250
63. 1484673048671
64. 1484673060875
65. 1484673067953
66. 1484673078765
67. 1484673087781
68. 1484673090906
69. 1484673117234
70. 1484673129453
71. 1484673156562
72. 1484673168781
73. 1484673169453
74. 1484673170750
75. 1484673170953
76. 1484673171140
77. 1484673171359
78. 1484673171546
79. 1484673171734
80. 1484673171921
81. 1484673172109
82. 1484673172296
83. 1484673172484
84. 1484673172671
85. 1484673172875
86. 1484673173078
