* 10:30pm Jan 18  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b1(P) a1(G)
* 2. a2(c) c1(N)
* 3. a1-a2 d1(M)
* 4. a3(p) c2(p)
* 5. a2-a3 b5(c)
* 6. c1-c2 b2(R)
* 7. a4(p) c3(P)
* 8. a3-a4 d3(m)
* 9. c5(n) d3-c3
* 10. b6(P) c3-c2
* 11. c4(R) c2-b2
* 12. b1-c1 b2-c2
* 13. c4-c5 c2-c3
* 14. c5-b5 a6(G)
* 15. a7(C) b3(p)
* 16. d2(P) b3-b2
* 17. b8(p) b2-c2
* 18. c1-b1 c2-d2
* 19. d1-d2 c6(n)
* 20. c8(N) d6(m)
* 21. b1-c1 d5(g)
* 22. d7(C) d4(K)
* 23. d4-d5 d6-d7
* 24. a5(k) c7(g)
* 25. a7-a5 c7-c8
* 26. c1-d1 d8(M)
* 27. d8-d7 c3-d3
* 28. a8(r) d3-d2
* 29. a5-a8 c6-b6
* 30. a8-c8 b4(P)
* 31. d1-c1 b7(r)
* 32. c1-d1 d2-c2
* 33. c8-d8 c2-c1
* 34. d7-c7 c1-c2
* 35. c7-b7 b6-c6
* 36. b7-b8 c2-c1
* 37. a4-a5 c6-c7
* 38. d1-d2 c1-d1
* 39. d2-c2 d1-c1
* 40. c2-d2 c1-d1
* 41. d2-c2 d1-c1
* 42. c2-d2 c1-d1
* 43. d2-c2 d1-c1
* 44. c2-d2 c1-d1
* Draws
* Comment 0 0
0. 1484749851171
1. 1484749851359
2. 1484749851531
3. 1484749851718
4. 1484749851921
5. 1484749852109
6. 1484749852312
7. 1484749852500
8. 1484749852687
9. 1484749852875
10. 1484749853062
11. 1484749853250
12. 1484749853468
13. 1484749853656
14. 1484749853843
15. 1484749854015
16. 1484749854203
17. 1484749854390
18. 1484749854593
19. 1484749854781
20. 1484749854968
21. 1484749855187
22. 1484749855406
23. 1484749855593
24. 1484749855796
25. 1484749855984
26. 1484749856218
27. 1484749856437
28. 1484749856625
29. 1484749856828
30. 1484749857062
31. 1484749857281
32. 1484749857500
33. 1484749857687
34. 1484749857875
35. 1484749858078
36. 1484749858265
37. 1484749858484
38. 1484749858828
39. 1484749859156
40. 1484749859578
41. 1484749859921
42. 1484749860328
43. 1484749860843
44. 1484749861359
45. 1484749861796
46. 1484749862015
47. 1484749863734
48. 1484749867234
49. 1484749899375
50. 1484749900656
51. 1484749913531
52. 1484749924875
53. 1484749928296
54. 1484749928500
55. 1484749955828
56. 1484749958750
57. 1484749990890
58. 1484749992000
59. 1484749994046
60. 1484749995031
61. 1484750002125
62. 1484750005515
63. 1484750037656
64. 1484750054140
65. 1484750086296
66. 1484750090437
67. 1484750122578
68. 1484750126125
69. 1484750127093
70. 1484750130171
71. 1484750133703
72. 1484750134531
73. 1484750136625
74. 1484750137562
75. 1484750137734
76. 1484750137921
77. 1484750138140
78. 1484750138453
79. 1484750138640
80. 1484750138812
81. 1484750139015
82. 1484750139234
83. 1484750139437
84. 1484750139625
85. 1484750139796
86. 1484750140015
87. 1484750140203
