* 4:12pm Jan 14  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d2(m) a8(M)
* 2. c5(P) a6(P)
* 3. c7(P) b3(C)
* 4. d7(c) b4(N)
* 5. d1(K) d1-d2
* 6. b7(g) d4(g)
* 7. c8(r) d3(G)
* 8. d8(R) a7(R)
* 9. c8-d8 d6(r)
* 10. d4-d3 b3-d3
* 11. b7-a7 c3(p)
* 12. c3-b3 d2-d1
* 13. b3-c3 d3-d6
* 14. c3-d3 c6(G)
* 15. a7-a8 d6-d8
* 16. a8-a7 a1(k)
* 17. d3-d2 c4(p)
* 18. a7-b7 d5(C)
* 19. d2-d1 b4-c4
* 20. b5(M) b6(P)
* 21. c2(N) a4(c)
* 22. a4-a6 a5(P)
* 23. a6-c6 c1(n)
* 24. c1-c2 b8(p)
* 25. c6-c4 b1(m)
* 26. a2(n) b2(p)
* 27. a3(p) a5-a4
* 28. b1-c1 a4-a3
* 29. a1-b1 a3-b3
* 30. b1-a1 b3-b2
* 31. c1-b1 c5-c6
* 32. b1-c1 d5-c5
* 33. b7-b6 b2-b1
* 34. c1-b1 c5-c2
* 35. c4-d4 d8-d4
* 36. b6-b5 c2-d2
* 37. d7-d2 d4-d1
* 38. b1-b2 d1-c1
* 39. a1-b1 c7-c8
* 40. b1-c1 c8-b8
* 41. c1-d1 c6-d6
* 42. d1-c1 d6-d5
* 43. c1-d1 d5-d4
* 44. d1-c1 d4-d3
* 45. c1-d1 d3-c3
* 46. d1-c1 c3-d3
* 47. c1-d1 d3-c3
* 48. d1-c1 c3-d3
* 49. c1-d1 d3-c3
* 50. d1-c1 c3-d3
* 51. c1-d1
* Draws
* Comment 0 0
0. 1484381527125
1. 1484381527313
2. 1484381527500
3. 1484381527688
4. 1484381527906
5. 1484381528094
6. 1484381528281
7. 1484381528453
8. 1484381528656
9. 1484381528844
10. 1484381529031
11. 1484381529219
12. 1484381529406
13. 1484381529594
14. 1484381529781
15. 1484381529953
16. 1484381530188
17. 1484381530375
18. 1484381530578
19. 1484381530828
20. 1484381531016
21. 1484381531203
22. 1484381531422
23. 1484381531594
24. 1484381531781
25. 1484381531969
26. 1484381532156
27. 1484381532375
28. 1484381532563
29. 1484381532750
30. 1484381532969
31. 1484381533188
32. 1484381533375
33. 1484381533578
34. 1484381533766
35. 1484381533953
36. 1484381534141
37. 1484381534344
38. 1484381534531
39. 1484381534703
40. 1484381534922
41. 1484381535110
42. 1484381535406
43. 1484381535594
44. 1484381535891
45. 1484381536188
46. 1484381536485
47. 1484381536781
48. 1484381537203
49. 1484381537610
50. 1484381537906
51. 1484381538406
52. 1484381538688
53. 1484381540516
54. 1484381541578
55. 1484381544172
56. 1484381545125
57. 1484381547172
58. 1484381547797
59. 1484381550500
60. 1484381551016
61. 1484381553860
62. 1484381554922
63. 1484381557328
64. 1484381558281
65. 1484381560328
66. 1484381560844
67. 1484381562235
68. 1484381564172
69. 1484381566016
70. 1484381567313
71. 1484381568485
72. 1484381568906
73. 1484381569516
74. 1484381569813
75. 1484381570219
76. 1484381570391
77. 1484381570922
78. 1484381571203
79. 1484381571500
80. 1484381571688
81. 1484381571860
82. 1484381572063
83. 1484381572391
84. 1484381572610
85. 1484381572781
86. 1484381572969
87. 1484381573266
88. 1484381573469
89. 1484381573641
90. 1484381573828
91. 1484381574141
92. 1484381574360
93. 1484381574547
94. 1484381574719
95. 1484381575000
96. 1484381575219
97. 1484381575391
98. 1484381575578
99. 1484381575891
100. 1484381576063
