* 4:16pm Jan 14  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d5(M) b1(k)
* 2. a7(K) c6(n)
* 3. b2(p) c4(R)
* 4. a4(M) b7(N)
* 5. d1(P) a1(p)
* 6. c1(G) a6(P)
* 7. d2(p) c3(g)
* 8. c5(m) c5-d5
* 9. b4(N) c3-c4
* 10. b3(p) c4-b4
* 11. b5(g) b1-c1
* 12. d1-d2 a1-b1
* 13. d2-d1 b4-c4
* 14. d1-c1 b1-c1
* 15. d3(n) c1-d1
* 16. a5(C) b5-b4
* 17. a2(r) d1-c1
* 18. d4(P) d3-d4
* 19. b8(p) b4-a4
* 20. b6(C) c6-b6
* 21. b7-b6 a4-a5
* 22. b6-b7 d8(P)
* 23. a6-b6 c7(m)
* 24. a7-a6 c7-b7
* 25. a6-a5 c1-d1
* 26. a5-b5 a3(c)
* 27. b5-c5 d6(r)
* 28. c5-c4 d7(c)
* 29. c4-c5 a8(P)
* 30. c5-c6 c2(G)
* 31. c2-b2 c8(R)
* 32. b2-a2 d1-c1
* 33. a2-a3 c1-d1
* 34. a3-b3 d1-c1
* 35. b3-c3 c1-d1
* 36. c3-c4 d1-c1
* 37. c6-d6 c1-d1
* 38. d6-d5 b8-a8
* 39. d5-d4 b7-b6
* 40. c4-c5 d1-c1
* 41. d4-d5 b6-b7
* 42. c5-c6 c1-d1
* 43. d5-d6 b7-b8
* 44. c6-c7 d1-c1
* 45. d6-d5 c1-d1
* 46. d5-d6 d1-c1
* 47. d6-d5 c1-d1
* 48. d5-d6 d1-c1
* 49. d6-d5 c1-d1
* 50. d5-d6 d1-c1
* Draws
* Comment 0 0
0. 1484381765703
1. 1484381765922
2. 1484381766094
3. 1484381766297
4. 1484381766485
5. 1484381766672
6. 1484381766844
7. 1484381767031
8. 1484381767235
9. 1484381767422
10. 1484381767641
11. 1484381767828
12. 1484381768016
13. 1484381768203
14. 1484381768391
15. 1484381768578
16. 1484381768781
17. 1484381768969
18. 1484381769156
19. 1484381769344
20. 1484381769531
21. 1484381769797
22. 1484381769985
23. 1484381770172
24. 1484381770360
25. 1484381770547
26. 1484381770750
27. 1484381770953
28. 1484381771141
29. 1484381771328
30. 1484381771516
31. 1484381771703
32. 1484381771875
33. 1484381772063
34. 1484381772297
35. 1484381772485
36. 1484381772672
37. 1484381772844
38. 1484381773031
39. 1484381773203
40. 1484381773500
41. 1484381773703
42. 1484381773922
43. 1484381774110
44. 1484381774313
45. 1484381774500
46. 1484381774781
47. 1484381775141
48. 1484381775328
49. 1484381775516
50. 1484381775703
51. 1484381775891
52. 1484381776078
53. 1484381776391
54. 1484381776625
55. 1484381776922
56. 1484381777235
57. 1484381777563
58. 1484381778110
59. 1484381778406
60. 1484381779141
61. 1484381779656
62. 1484381781156
63. 1484381782563
64. 1484381784391
65. 1484381785672
66. 1484381786656
67. 1484381787281
68. 1484381788000
69. 1484381788719
70. 1484381789375
71. 1484381789906
72. 1484381790531
73. 1484381791266
74. 1484381792422
75. 1484381792938
76. 1484381793453
77. 1484381793750
78. 1484381794063
79. 1484381794360
80. 1484381794656
81. 1484381794938
82. 1484381795375
83. 1484381795672
84. 1484381795969
85. 1484381796219
86. 1484381796516
87. 1484381796735
88. 1484381796969
89. 1484381797156
90. 1484381797438
91. 1484381797610
92. 1484381797781
93. 1484381797953
94. 1484381798281
95. 1484381798453
96. 1484381798656
97. 1484381798875
98. 1484381799156
99. 1484381799328
