* 7:17pm Jan 15  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d3(P) d7(p)
* 2. c7(R) b5(c)
* 3. c7-d7 b6(P)
* 4. b1(r) c4(K)
* 5. d5(p) a1(N)
* 6. c6(p) c6-b6
* 7. a6(p) b1-a1
* 8. d7-c7 d1(m)
* 9. c7-d7 d8(N)
* 10. c1(n) c2(C)
* 11. a4(g) a1-b1
* 12. a3(P) b1-a1
* 13. c3(n) c3-d3
* 14. b2(C) c1-c2
* 15. c4-c3 a1-b1
* 16. c3-d3 b1-c1
* 17. d3-c3 c1-b1
* 18. c3-d3 b1-c1
* 19. b2-b1 c1-b1
* 20. d3-c3 d4(r)
* 21. c3-c2 a7(R)
* 22. c2-c1 d2(c)
* 23. c1-d1 a5(M)
* 24. c5(G) d6(k)
* 25. c5-d5 d2-d5
* 26. d1-c1 a4-a3
* 27. a5-a6 a2(M)
* 28. c8(g) a3-a2
* 29. a6-b6 b1-a1
* 30. b6-c6 d6-c6
* 31. c1-d1 d5-d1
* 32. a7-a6 b5-c5
* 33. a6-b6 c6-b6
* 34. d7-d6 b6-c6
* 35. d6-d5 d1-d5
* 36. d8-d7 a1-b1
* 37. d7-d6 c6-d6
* 38. b8(P) c8-d8
* 39. b8-c8 b1-c1
* 40. c8-c7 c5-c6
* 41. c7-d7 d5-d7
* 42. b3(P) c1-d1
* 43. b3-b2 d1-c1
* 44. b2-c2 c1-d1
* 45. c2-b2 d1-c1
* 46. b2-c2 c1-d1
* 47. c2-b2 d1-c1
* 48. b2-c2 c1-d1
* 49. c2-b2 d1-c1
* Draws
* Comment 0 0
0. 1484479080031
1. 1484479080235
2. 1484479080438
3. 1484479080703
4. 1484479080875
5. 1484479081078
6. 1484479081313
7. 1484479081485
8. 1484479081703
9. 1484479081906
10. 1484479082110
11. 1484479082328
12. 1484479082547
13. 1484479082735
14. 1484479082906
15. 1484479083156
16. 1484479083360
17. 1484479083547
18. 1484479083797
19. 1484479083953
20. 1484479084125
21. 1484479084328
22. 1484479084516
23. 1484479084750
24. 1484479084906
25. 1484479085110
26. 1484479085297
27. 1484479085485
28. 1484479085703
29. 1484479085922
30. 1484479086125
31. 1484479086344
32. 1484479086547
33. 1484479086735
34. 1484479086953
35. 1484479087156
36. 1484479087328
37. 1484479087531
38. 1484479087735
39. 1484479087906
40. 1484479088141
41. 1484479088375
42. 1484479088563
43. 1484479088750
44. 1484479089266
45. 1484479089469
46. 1484479089641
47. 1484479089828
48. 1484479096610
49. 1484479096922
50. 1484479097125
51. 1484479097360
52. 1484479099063
53. 1484479099250
54. 1484479099766
55. 1484479100172
56. 1484479101000
57. 1484479101297
58. 1484479101485
59. 1484479101797
60. 1484479101985
61. 1484479102297
62. 1484479102516
63. 1484479102735
64. 1484479102891
65. 1484479103110
66. 1484479103563
67. 1484479103781
68. 1484479103969
69. 1484479104141
70. 1484479104360
71. 1484479104547
72. 1484479104750
73. 1484479104969
74. 1484479105188
75. 1484479105391
76. 1484479105563
77. 1484479105781
78. 1484479106031
79. 1484479106281
80. 1484479106438
81. 1484479106656
82. 1484479106844
83. 1484479107063
84. 1484479107266
85. 1484479107453
86. 1484479107625
87. 1484479107828
88. 1484479108031
89. 1484479108235
90. 1484479108453
91. 1484479108656
92. 1484479108828
93. 1484479109031
94. 1484479109203
95. 1484479109453
96. 1484479109625
97. 1484479109813
