* 4:27pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c7(G) b4(p)
* 2. b2(p) a1(c)
* 3. a8(N) b7(c)
* 4. c7-b7 b1(p)
* 5. d6(C) d3(P)
* 6. d1(C) a2(p)
* 7. d1-b1 a5(m)
* 8. a7(P) d2(M)
* 9. b8(r) b5(R)
* 10. d8(n) b8-a8
* 11. d6-d8 a5-b5
* 12. d8-a8 c3(m)
* 13. b7-b8 a4(P)
* 14. b3(g) b4-a4
* 15. b1-b3 c3-b3
* 16. a6(M) b3-c3
* 17. d7(k) a1-b1
* 18. c8(P) b1-a1
* 19. b6(g) a1-b1
* 20. c4(p) b1-a1
* 21. c6(r) a1-b1
* 22. c5(R) b5-c5
* 23. d5(G) c3-d3
* 24. c1(K) d3-d2
* 25. d5-c5 b6-a6
* 26. c1-b1 b2-b1
* 27. a8-a6 d4(P)
* 28. c5-c6 c4-d4
* 29. c2(n) a3(N)
* 30. a3-a2 b1-c1
* 31. a2-a1 c1-d1
* 32. a1-b1 c2-c1
* 33. b1-c1 d2-d3
* 34. c1-d1 d3-d2
* 35. d1-c1 d2-d1
* 36. c1-b1 d1-c1
* 37. b1-a1 c1-d1
* 38. a1-b1 d1-c1
* 39. b1-a1 c1-d1
* 40. a1-b1 d1-c1
* 41. b1-a1 c1-d1
* 42. a1-b1 d1-c1
* Draws
* Comment 0 0
0. 1484555263562
1. 1484555263765
2. 1484555263937
3. 1484555264156
4. 1484555264359
5. 1484555264531
6. 1484555264750
7. 1484555264953
8. 1484555265125
9. 1484555265328
10. 1484555265546
11. 1484555265734
12. 1484555265937
13. 1484555266171
14. 1484555266375
15. 1484555266578
16. 1484555266781
17. 1484555266968
18. 1484555267296
19. 1484555267468
20. 1484555267781
21. 1484555267968
22. 1484555268171
23. 1484555268390
24. 1484555268796
25. 1484555268984
26. 1484555269609
27. 1484555269984
28. 1484555271093
29. 1484555271296
30. 1484555271500
31. 1484555271687
32. 1484555272546
33. 1484555272750
34. 1484555274046
35. 1484555274281
36. 1484555275796
37. 1484555276000
38. 1484555278734
39. 1484555278921
40. 1484555282234
41. 1484555282421
42. 1484555286562
43. 1484555286734
44. 1484555291250
45. 1484555291437
46. 1484555294750
47. 1484555294937
48. 1484555307140
49. 1484555307359
50. 1484555307578
51. 1484555307796
52. 1484555319937
53. 1484555322984
54. 1484555335156
55. 1484555336218
56. 1484555348421
57. 1484555360593
58. 1484555372796
59. 1484555385015
60. 1484555397156
61. 1484555404625
62. 1484555414500
63. 1484555414703
64. 1484555415671
65. 1484555415843
66. 1484555416937
67. 1484555417140
68. 1484555429328
69. 1484555429484
70. 1484555429671
71. 1484555429906
72. 1484555432125
73. 1484555432312
74. 1484555432500
75. 1484555432687
76. 1484555432890
77. 1484555433078
78. 1484555433234
79. 1484555433406
80. 1484555433609
81. 1484555433812
82. 1484555434015
83. 1484555434218
