* 9:50pm Jan 16  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d1(G) a1(c)
* 2. b6(M) b1(p)
* 3. a8(n) b8(k)
* 4. c1(p) c8(p)
* 5. b4(g) c4(C)
* 6. c3(p) b4-c4
* 7. c5(c) c4-b4
* 8. c7(r) c3-c4
* 9. c2(n) c2-c3
* 10. d2(R) c1-c2
* 11. d5(P) a1-d1
* 12. d2-d1 a6(g)
* 13. b3(C) c3-b3
* 14. a5(P) b1-a1
* 15. a7(G) a6-a7
* 16. d3(N) a1-b1
* 17. c6(N) a7-a6
* 18. d8(r) c5-a5
* 19. d6(P) a6-b6
* 20. d4(m) d4-d3
* 21. b2(P) b3-b2
* 22. a4(M) a5-d5
* 23. a3(p) b4-a4
* 24. b7(P) d5-d1
* 25. b7-b8 b6-c6
* 26. b8-c8 b1-c1
* 27. b5(m) c1-b1
* 28. d7(K) d1-d6
* 29. d7-c7 d8-c8
* 30. c7-c6 a2(R)
* 31. a2-b2 b1-a1
* 32. c6-d6 a1-b1
* 33. b2-c2 b1-c1
* 34. c2-c1 a3-b3
* 35. c1-d1 b3-b2
* 36. d1-c1 b2-b1
* 37. c1-b1 a4-b4
* 38. b1-c1 c8-c7
* 39. c1-d1 d3-d2
* 40. d1-c1 d2-d3
* 41. c1-d1 d3-d2
* 42. d1-c1 d2-d3
* 43. c1-d1 d3-d2
* 44. d1-c1 d2-d3
* 45. c1-d1
* Draws
* Comment 0 0
0. 1484574627328
1. 1484574627500
2. 1484574627687
3. 1484574627875
4. 1484574628062
5. 1484574628250
6. 1484574628437
7. 1484574628625
8. 1484574628812
9. 1484574629000
10. 1484574629187
11. 1484574629390
12. 1484574629578
13. 1484574629765
14. 1484574629953
15. 1484574630140
16. 1484574630328
17. 1484574630515
18. 1484574630703
19. 1484574630906
20. 1484574631109
21. 1484574631296
22. 1484574631609
23. 1484574631796
24. 1484574632078
25. 1484574632296
26. 1484574632593
27. 1484574632781
28. 1484574633531
29. 1484574633718
30. 1484574635156
31. 1484574635343
32. 1484574638484
33. 1484574638671
34. 1484574641484
35. 1484574641687
36. 1484574644500
37. 1484574644718
38. 1484574647312
39. 1484574647515
40. 1484574650343
41. 1484574650640
42. 1484574655125
43. 1484574657609
44. 1484574665781
45. 1484574670046
46. 1484574674703
47. 1484574686843
48. 1484574699062
49. 1484574711171
50. 1484574723390
51. 1484574735515
52. 1484574735921
53. 1484574748031
54. 1484574760250
55. 1484574772359
56. 1484574784578
57. 1484574796687
58. 1484574808812
59. 1484574814468
60. 1484574826671
61. 1484574838781
62. 1484574850875
63. 1484574862984
64. 1484574871718
65. 1484574871921
66. 1484574872109
67. 1484574872406
68. 1484574873687
69. 1484574874093
70. 1484574875703
71. 1484574875890
72. 1484574882109
73. 1484574882765
74. 1484574886890
75. 1484574887078
76. 1484574892734
77. 1484574892953
78. 1484574893140
79. 1484574893781
80. 1484574893984
81. 1484574894203
82. 1484574894375
83. 1484574894562
84. 1484574894750
85. 1484574894921
86. 1484574895109
87. 1484574895281
88. 1484574895468
