* 5:09pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. c2(n) d1(g)
* 2. c1(N) c1-c2
* 3. a5(C) a8(C)
* 4. b4(r) b5(p)
* 5. d6(R) b1(P)
* 6. d4(K) b3(p)
* 7. c8(N) b6(p)
* 8. a1(G) a6(m)
* 9. d1-c1 a8-a6
* 10. c1-c2 d5(M)
* 11. a2(c) a1-a2
* 12. c4(k) d4-c4
* 13. b8(R) b1-c1
* 14. c5(P) d3(G)
* 15. c2-c1 a2-a1
* 16. c6(r) d6-c6
* 17. a7(c) c7(M)
* 18. b5-c5 d5-c5
* 19. a7-c7 c8-c7
* 20. d8(n) c6-b6
* 21. a4(p) c5-c6
* 22. d7(m) c4-b4
* 23. a4-b4 b7(g)
* 24. b7-b6 a3(P)
* 25. c1-d1 a3-b3
* 26. b4-b3 b2(P)
* 27. b3-b2 c3(P)
* 28. b6-a6 d2(p)
* 29. a6-a5 d3-d2
* 30. d1-d2 a1-a2
* 31. b2-c2 c3-c2
* 32. d2-d1 a2-a1
* 33. d1-c1 c2-d2
* 34. d7-c7 c6-c7
* 35. c1-d1 c7-d7
* 36. d1-d2 d7-d8
* 37. d2-d1 a1-b1
* 38. d1-c1 b1-c1
* 39. a5-b5 c1-d1
* 40. b5-a5 d1-c1
* 41. a5-b5 c1-d1
* 42. b5-a5 d1-c1
* 43. a5-b5 c1-d1
* 44. b5-a5 d1-c1
* 45. a5-b5
* Draws
* Comment 0 0
0. 1484557785921
1. 1484557789593
2. 1484557789796
3. 1484557790015
4. 1484557790203
5. 1484557790390
6. 1484557790609
7. 1484557790843
8. 1484557791031
9. 1484557791234
10. 1484557791390
11. 1484557791593
12. 1484557791843
13. 1484557792031
14. 1484557792250
15. 1484557792468
16. 1484557792625
17. 1484557792828
18. 1484557793015
19. 1484557793203
20. 1484557793375
21. 1484557793593
22. 1484557793781
23. 1484557794000
24. 1484557794218
25. 1484557794531
26. 1484557794734
27. 1484557797265
28. 1484557797640
29. 1484557798828
30. 1484557799031
31. 1484557806703
32. 1484557807140
33. 1484557818140
34. 1484557819437
35. 1484557831640
36. 1484557831859
37. 1484557833187
38. 1484557833609
39. 1484557845812
40. 1484557847328
41. 1484557859453
42. 1484557862687
43. 1484557874828
44. 1484557875703
45. 1484557887828
46. 1484557893734
47. 1484557905953
48. 1484557913015
49. 1484557925171
50. 1484557926265
51. 1484557938453
52. 1484557946562
53. 1484557958765
54. 1484557962484
55. 1484557974718
56. 1484557978296
57. 1484557990484
58. 1484557996328
59. 1484558008656
60. 1484558015406
61. 1484558027562
62. 1484558027765
63. 1484558039984
64. 1484558040187
65. 1484558052328
66. 1484558052500
67. 1484558053125
68. 1484558053328
69. 1484558055984
70. 1484558056187
71. 1484558056609
72. 1484558056812
73. 1484558057328
74. 1484558057515
75. 1484558057687
76. 1484558057875
77. 1484558058062
78. 1484558058250
79. 1484558059093
80. 1484558059281
81. 1484558059468
82. 1484558059656
83. 1484558059843
84. 1484558060031
85. 1484558060218
86. 1484558060390
87. 1484558060593
88. 1484558060781
