* 5:52pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b4(g) d6(G)
* 2. b6(p) d8(m)
* 3. c5(p) b8(P)
* 4. b1(g) c7(C)
* 5. d3(P) c7-c5
* 6. c3(p) d3-c3
* 7. c4(P) a3(m)
* 8. b4-c4 c2(n)
* 9. c4-c5 b2(R)
* 10. b1-b2 b3(P)
* 11. b2-b1 d4(C)
* 12. b1-b2 a1(G)
* 13. c5-c4 b5(N)
* 14. c4-c3 a7(p)
* 15. a5(r) d5(M)
* 16. a5-b5 c1(p)
* 17. c3-c4 c8(k)
* 18. c2-c3 b8-c8
* 19. d8-c8 d7(K)
* 20. a3-b3 c6(P)
* 21. b2-c2 c6-b6
* 22. c4-d4 d1(c)
* 23. c1-b1 a8(r)
* 24. d1-a1 d2(c)
* 25. b5-b6 a6(N)
* 26. d2-d5 d6-d5
* 27. d4-d5 a6-a7
* 28. a8-a7 b7(M)
* 29. a2(R) b7-b6
* 30. a4(n) a2-a1
* 31. b1-c1 a1-b1
* 32. c1-d1 b1-c1
* 33. c2-c1 b6-c6
* 34. c1-b1 c6-d6
* 35. b1-c1 d6-c6
* 36. c1-b1 c6-d6
* 37. b1-c1 d6-c6
* 38. c1-b1 c6-d6
* 39. b1-c1 d6-c6
* 40. c1-b1
* Draws
* Comment 0 0
0. 1484560335421
1. 1484560335625
2. 1484560335828
3. 1484560336015
4. 1484560336203
5. 1484560336421
6. 1484560336609
7. 1484560336812
8. 1484560336984
9. 1484560337156
10. 1484560337343
11. 1484560337531
12. 1484560337718
13. 1484560337921
14. 1484560338109
15. 1484560338296
16. 1484560338484
17. 1484560338703
18. 1484560338890
19. 1484560339093
20. 1484560339265
21. 1484560339812
22. 1484560340015
23. 1484560340984
24. 1484560341218
25. 1484560343593
26. 1484560343890
27. 1484560348437
28. 1484560348750
29. 1484560357015
30. 1484560357187
31. 1484560365250
32. 1484560367296
33. 1484560379421
34. 1484560384968
35. 1484560397078
36. 1484560397265
37. 1484560409375
38. 1484560417421
39. 1484560429531
40. 1484560441640
41. 1484560453859
42. 1484560454406
43. 1484560454593
44. 1484560466718
45. 1484560478921
46. 1484560487015
47. 1484560499109
48. 1484560499296
49. 1484560511406
50. 1484560523515
51. 1484560535750
52. 1484560544281
53. 1484560556421
54. 1484560568531
55. 1484560580671
56. 1484560592781
57. 1484560604984
58. 1484560617093
59. 1484560629328
60. 1484560635250
61. 1484560635453
62. 1484560635687
63. 1484560635937
64. 1484560636093
65. 1484560648218
66. 1484560648437
67. 1484560648640
68. 1484560648843
69. 1484560649015
70. 1484560649218
71. 1484560649437
72. 1484560649640
73. 1484560649859
74. 1484560650062
75. 1484560650265
76. 1484560650437
77. 1484560650609
78. 1484560650812
