* 11:05pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b1(G) b2(p)
* 2. b1-b2 d4(r)
* 3. c2(C) d7(G)
* 4. a8(m) c4(n)
* 5. a1(n) a7(g)
* 6. d2(c) d2-b2
* 7. a5(M) c3(K)
* 8. c2-d2 a3(P)
* 9. d2-c2 c7(p)
* 10. c3-c4 b5(m)
* 11. a5-b5 d1(N)
* 12. c4-d4 c5(g)
* 13. a2(P) b2-b1
* 14. c1(r) b1-d1
* 15. b3(R) a1-a2
* 16. d5(k) d5-d4
* 17. c2-d2 d3(R)
* 18. d2-d4 d1-d4
* 19. d3-d4 c5-b5
* 20. b3-c3 b7(P)
* 21. c3-c2 c1-c2
* 22. b8(P) a7-b7
* 23. c8(C) b7-b8
* 24. c8-a8 b8-a8
* 25. d7-c7 a2-a3
* 26. c6(P) b5-c5
* 27. d6(p) d6-c6
* 28. c7-c6 c5-c6
* 29. d4-d3 b6(p)
* 30. d8(p) a6(N)
* 31. a6-b6 c6-b6
* 32. b4(c) a4(M)
* 33. a4-b4 a3-a2
* 34. b4-b3 c2-c1
* 35. b3-b2 a2-a3
* 36. b2-b1 c1-c2
* 37. b1-c1 c2-b2
* 38. c1-d1 b2-c2
* 39. d1-c1 c2-b2
* 40. c1-d1 b2-c2
* 41. d1-c1 c2-b2
* 42. c1-d1 b2-c2
* 43. d1-c1 c2-b2
* Draws
* Comment 0 0
0. 1484579124796
1. 1484579125000
2. 1484579125187
3. 1484579125406
4. 1484579125640
5. 1484579125828
6. 1484579126000
7. 1484579126203
8. 1484579126375
9. 1484579126578
10. 1484579126765
11. 1484579127062
12. 1484579127265
13. 1484579127453
14. 1484579127640
15. 1484579128125
16. 1484579128312
17. 1484579128609
18. 1484579128828
19. 1484579129140
20. 1484579129312
21. 1484579129609
22. 1484579129796
23. 1484579130312
24. 1484579130500
25. 1484579133125
26. 1484579133750
27. 1484579141046
28. 1484579141234
29. 1484579149078
30. 1484579149265
31. 1484579150984
32. 1484579151171
33. 1484579151781
34. 1484579151953
35. 1484579162859
36. 1484579200015
37. 1484579200234
38. 1484579200906
39. 1484579202078
40. 1484579227968
41. 1484579236796
42. 1484579241578
43. 1484579253796
44. 1484579284593
45. 1484579296796
46. 1484579334015
47. 1484579344609
48. 1484579358703
49. 1484579364734
50. 1484579365046
51. 1484579372343
52. 1484579376250
53. 1484579388375
54. 1484579397453
55. 1484579405359
56. 1484579405531
57. 1484579407468
58. 1484579408125
59. 1484579416546
60. 1484579453687
61. 1484579457828
62. 1484579458890
63. 1484579469140
64. 1484579506296
65. 1484579516656
66. 1484579517953
67. 1484579526015
68. 1484579526546
69. 1484579537687
70. 1484579537984
71. 1484579540812
72. 1484579541015
73. 1484579544140
74. 1484579544687
75. 1484579545859
76. 1484579546078
77. 1484579546375
78. 1484579546562
79. 1484579546906
80. 1484579547093
81. 1484579547390
82. 1484579547578
83. 1484579547984
84. 1484579548171
85. 1484579548468
