* 11:51pm Jan 16  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a1(g) a3(G)
* 2. b1(P) b5(P)
* 3. a1-b1 d7(p)
* 4. c1(p) c8(r)
* 5. c5(R) a8(P)
* 6. b8(n) b2(G)
* 7. b1-a1 d2(c)
* 8. b8-a8 a2(m)
* 9. d2-b2 d5(R)
* 10. c1-b1 c2(m)
* 11. b1-c1 b7(r)
* 12. c1-b1 c6(P)
* 13. b1-c1 c3(N)
* 14. c2-c3 a6(M)
* 15. c1-b1 d1(M)
* 16. c3-c2 a4(p)
* 17. b1-c1 c7(p)
* 18. a8-b8 b6(g)
* 19. b6-a6 d4(C)
* 20. b8-a8 a5(P)
* 21. a4-a5 d8(N)
* 22. c8-d8 c4(K)
* 23. a5-b5 b4(c)
* 24. b4-d4 a3-a2
* 25. a1-a2 d5-d4
* 26. b2-b1 b3(k)
* 27. b1-d1 c5-b5
* 28. d1-d4 c4-d4
* 29. b3-b4 d6(n)
* 30. b4-b5 a7(p)
* 31. d6-c6 d3(C)
* 32. c1-b1 d3-d7
* 33. d8-d7 d4-d3
* 34. b1-c1 d3-d2
* 35. c2-c3 d2-d3
* 36. c3-b3 d3-d2
* 37. a2-a1 d2-d3
* 38. c1-b1 d3-d2
* 39. a1-a2 d2-c2
* 40. b1-a1 c2-d2
* 41. a1-b1 d2-c2
* 42. b1-a1 c2-d2
* 43. a1-b1 d2-c2
* 44. b1-a1 c2-d2
* 45. a1-b1 d2-c2
* Draws
* Comment 0 0
0. 1484581897234
1. 1484581897421
2. 1484581897625
3. 1484581897812
4. 1484581898000
5. 1484581898187
6. 1484581898390
7. 1484581898578
8. 1484581898765
9. 1484581898953
10. 1484581899234
11. 1484581899421
12. 1484581899609
13. 1484581899843
14. 1484581900031
15. 1484581900250
16. 1484581900437
17. 1484581900750
18. 1484581900937
19. 1484581901125
20. 1484581901312
21. 1484581901859
22. 1484581902078
23. 1484581902609
24. 1484581902796
25. 1484581903390
26. 1484581903578
27. 1484581904421
28. 1484581904640
29. 1484581905312
30. 1484581905500
31. 1484581906562
32. 1484581907296
33. 1484581908359
34. 1484581910625
35. 1484581913093
36. 1484581950250
37. 1484581956578
38. 1484581983546
39. 1484581988796
40. 1484582025937
41. 1484582036000
42. 1484582073156
43. 1484582084750
44. 1484582121906
45. 1484582132062
46. 1484582169203
47. 1484582181718
48. 1484582218890
49. 1484582231328
50. 1484582268500
51. 1484582273625
52. 1484582310765
53. 1484582322984
54. 1484582360140
55. 1484582372359
56. 1484582372562
57. 1484582372750
58. 1484582372953
59. 1484582384296
60. 1484582384484
61. 1484582393546
62. 1484582430687
63. 1484582442921
64. 1484582480140
65. 1484582482843
66. 1484582495609
67. 1484582495796
68. 1484582516343
69. 1484582520796
70. 1484582558640
71. 1484582559468
72. 1484582563484
73. 1484582567937
74. 1484582605093
75. 1484582606531
76. 1484582643671
77. 1484582647390
78. 1484582647578
79. 1484582649187
80. 1484582649406
81. 1484582649593
82. 1484582649812
83. 1484582650015
84. 1484582650218
85. 1484582650406
86. 1484582650578
87. 1484582650796
88. 1484582651015
89. 1484582651203
