* 5:44pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b8(R) b7(n)
* 2. b8-b7 b6(P)
* 3. b2(P) b1(p)
* 4. b2-b1 a1(M)
* 5. d2(p) c1(n)
* 6. b1-b2 b3(m)
* 7. a1-b1 a2(c)
* 8. b1-c1 b3-b2
* 9. d6(P) a2-a1
* 10. b5(C) d5(G)
* 11. b5-b2 a6(g)
* 12. c2(k) c2-c1
* 13. c3(g) a1-b1
* 14. a3(N) c4(C)
* 15. c4-c1 a5(p)
* 16. d7(K) c6(p)
* 17. d1(r) c3-b3
* 18. d6-c6 b3-b2
* 19. c8(m) d1-c1
* 20. a7(N) a6-a7
* 21. c7(P) a7-b7
* 22. c5(M) b1-a1
* 23. a8(P) b7-b6
* 24. d3(r) b6-c6
* 25. a4(p) c6-c5
* 26. d5-c5 b4(c)
* 27. a3-a4 c8-c7
* 28. d7-c7 d8(G)
* 29. a4-b4 a1-a8
* 30. d4(R) d3-d4
* 31. b4-b5 a5-a4
* 32. b5-b4 a4-a3
* 33. b4-a4 b2-b3
* 34. a4-a5 c1-d1
* 35. a5-b5 d1-c1
* 36. b5-a5 c1-d1
* 37. a5-b5 d1-c1
* 38. b5-a5 c1-d1
* 39. a5-b5 d1-c1
* 40. b5-a5 c1-d1
* Draws
* Comment 0 0
0. 1484646300609
1. 1484646300796
2. 1484646301015
3. 1484646301203
4. 1484646301390
5. 1484646301640
6. 1484646301796
7. 1484646301984
8. 1484646302265
9. 1484646302484
10. 1484646302718
11. 1484646302890
12. 1484646303203
13. 1484646303421
14. 1484646303609
15. 1484646303828
16. 1484646304031
17. 1484646304250
18. 1484646304515
19. 1484646304718
20. 1484646304890
21. 1484646305093
22. 1484646305484
23. 1484646305656
24. 1484646306078
25. 1484646306281
26. 1484646307000
27. 1484646307234
28. 1484646310078
29. 1484646310281
30. 1484646312531
31. 1484646312734
32. 1484646319890
33. 1484646322687
34. 1484646334859
35. 1484646335390
36. 1484646335578
37. 1484646336328
38. 1484646348546
39. 1484646363500
40. 1484646375734
41. 1484646407984
42. 1484646420109
43. 1484646452250
44. 1484646464421
45. 1484646486062
46. 1484646498281
47. 1484646530359
48. 1484646542484
49. 1484646574578
50. 1484646586796
51. 1484646615046
52. 1484646627234
53. 1484646659468
54. 1484646671640
55. 1484646687578
56. 1484646699734
57. 1484646702093
58. 1484646702625
59. 1484646734812
60. 1484646747015
61. 1484646767046
62. 1484646767718
63. 1484646798265
64. 1484646808984
65. 1484646841062
66. 1484646842515
67. 1484646844562
68. 1484646853000
69. 1484646875484
70. 1484646875687
71. 1484646880500
72. 1484646880718
73. 1484646889609
74. 1484646889796
75. 1484646897343
76. 1484646897531
77. 1484646905015
78. 1484646905234
79. 1484646905453
