* 6:23pm Jan 17  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c8(M) c7(m)
* 2. c8-c7 c6(c)
* 3. c7-c6 c5(P)
* 4. a7(C) c4(K)
* 5. b3(P) b2(P)
* 6. a6(n) a6-a7
* 7. d8(g) d7(k)
* 8. b6(P) a7-a6
* 9. b7(p) b1(M)
* 10. b6-b7 a2(P)
* 11. b7-c7 c2(R)
* 12. c6-b6 a3(m)
* 13. b6-a6 a4(C)
* 14. c5-c6 d6(N)
* 15. c7-d7 d4(G)
* 16. d1(r) b8(p)
* 17. d3(R) a8(r)
* 18. b4(g) b5(p)
* 19. d5(N) a3-a4
* 20. c4-b4 b5-b4
* 21. d2(G) b4-b3
* 22. d2-d1 d8-d7
* 23. a1(p) d7-d6
* 24. a2-a1 c3(c)
* 25. c2-c3 d6-d5
* 26. d4-d5 a5(p)
* 27. b2-b3 c1(n)
* 28. b1-c1 a4-a3
* 29. a6-a5 a3-b3
* 30. c3-c4 b3-c3
* 31. c4-c5 c3-d3
* 32. a1-b1 a8-a7
* 33. b1-a1 a7-a8
* 34. a1-b1 a8-a7
* 35. b1-a1 a7-a8
* 36. a1-b1 a8-a7
* 37. b1-a1 a7-a8
* 38. a1-b1
* Draws
* Comment 0 0
0. 1484648614093
1. 1484648614296
2. 1484648614484
3. 1484648614687
4. 1484648614890
5. 1484648615093
6. 1484648615250
7. 1484648615484
8. 1484648615671
9. 1484648615906
10. 1484648616109
11. 1484648616281
12. 1484648616453
13. 1484648616625
14. 1484648616937
15. 1484648617171
16. 1484648617687
17. 1484648617890
18. 1484648618531
19. 1484648618703
20. 1484648619546
21. 1484648619906
22. 1484648620640
23. 1484648620828
24. 1484648625312
25. 1484648625531
26. 1484648633046
27. 1484648633453
28. 1484648645687
29. 1484648646234
30. 1484648657859
31. 1484648658625
32. 1484648670968
33. 1484648675531
34. 1484648687703
35. 1484648705875
36. 1484648718000
37. 1484648745281
38. 1484648757468
39. 1484648784468
40. 1484648796687
41. 1484648823812
42. 1484648835984
43. 1484648863203
44. 1484648863593
45. 1484648890796
46. 1484648903015
47. 1484648905640
48. 1484648917812
49. 1484648944953
50. 1484648957078
51. 1484648982656
52. 1484648994812
53. 1484649022078
54. 1484649034343
55. 1484649061484
56. 1484649073671
57. 1484649075937
58. 1484649088078
59. 1484649093093
60. 1484649105312
61. 1484649106375
62. 1484649106546
63. 1484649106734
64. 1484649110953
65. 1484649115109
66. 1484649115281
67. 1484649115453
68. 1484649115718
69. 1484649115906
70. 1484649116078
71. 1484649116281
72. 1484649116468
73. 1484649116765
74. 1484649116953
