* 7:35pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b8(P) a7(p)
* 2. a6(p) d7(n)
* 3. a5(P) a6-a5
* 4. a4(C) c5(P)
* 5. a4-a7 a3(G)
* 6. a2(p) c4(P)
* 7. a3-a2 b3(g)
* 8. a1(M) b5(c)
* 9. b6(G) b7(p)
* 10. b6-b5 c7(p)
* 11. b5-b6 b2(r)
* 12. d6(c) d2(P)
* 13. b6-b7 b1(C)
* 14. b1-b3 d4(M)
* 15. d8(N) d6-d4
* 16. c1(N) d7-d8
* 17. a2-b2 d4-d2
* 18. d3(m) d2-b2
* 19. a1-b1 c3(r)
* 20. d1(K) d5(R)
* 21. b4(k) c6(g)
* 22. c4-b4 c3-b3
* 23. b1-b2 c2(n)
* 24. b2-b3 c2-c1
* 25. d1-c1 c6-c5
* 26. a7-c7 c5-d5
* 27. a8(m) a8-b8
* 28. b7-b8 c8(R)
* 29. c8-d8 d3-d2
* 30. c1-d1 d2-c2
* 31. d1-c1 c2-d2
* 32. c1-d1 d2-c2
* 33. d1-c1 c2-d2
* 34. c1-d1 d2-c2
* 35. d1-c1 c2-d2
* 36. c1-d1
* Draws
* Comment 0 0
0. 1484652934609
1. 1484652935734
2. 1484652935953
3. 1484652936140
4. 1484652936343
5. 1484652936546
6. 1484652936734
7. 1484652936937
8. 1484652937125
9. 1484652937296
10. 1484652937515
11. 1484652937796
12. 1484652938015
13. 1484652938218
14. 1484652938406
15. 1484652938718
16. 1484652938937
17. 1484652939812
18. 1484652940000
19. 1484652942609
20. 1484652942812
21. 1484652947359
22. 1484652948765
23. 1484652955515
24. 1484652956796
25. 1484652961812
26. 1484652962578
27. 1484652966937
28. 1484652968906
29. 1484652981140
30. 1484652986062
31. 1484652998296
32. 1484653006500
33. 1484653013156
34. 1484653013593
35. 1484653017953
36. 1484653018171
37. 1484653018390
38. 1484653021343
39. 1484653025281
40. 1484653035906
41. 1484653044421
42. 1484653071640
43. 1484653083890
44. 1484653111015
45. 1484653112203
46. 1484653112421
47. 1484653124671
48. 1484653151906
49. 1484653164062
50. 1484653191296
51. 1484653193609
52. 1484653194500
53. 1484653206734
54. 1484653227828
55. 1484653229562
56. 1484653256796
57. 1484653269062
58. 1484653271703
59. 1484653271890
60. 1484653272125
61. 1484653272312
62. 1484653272593
63. 1484653272812
64. 1484653273062
65. 1484653273265
66. 1484653273500
67. 1484653273718
68. 1484653273921
69. 1484653274218
70. 1484653274453
