* 9:30pm Jan 17  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b7(g) b4(M)
* 2. b6(N) a2(R)
* 3. b7-b6 c4(P)
* 4. a6(G) a6-b6
* 5. c3(c) c6(P)
* 6. d4(p) c4-d4
* 7. c5(R) b6-a6
* 8. d6(g) d3(P)
* 9. c3-c6 c5-c4
* 10. c6-b6 a6-b6
* 11. d7(G) d7-d6
* 12. d2(p) d3-d2
* 13. d1(C) a7(k)
* 14. c2(r) a3(p)
* 15. c2-d2 c8(r)
* 16. a7-b7 c7(p)
* 17. b7-b6 c1(M)
* 18. d2-d1 a2-a3
* 19. b8(n) a1(c)
* 20. a1-c1 b2(K)
* 21. b6-c6 a4(P)
* 22. c6-d6 b5(p)
* 23. d5(P) d5-d6
* 24. a8(N) a8-b8
* 25. a5(m) b4-b5
* 26. a5-b5 d8(C)
* 27. c8-d8 b1(m)
* 28. b3(n) b2-b1
* 29. d1-d2 a3-b3
* 30. c1-d1 b1-a1
* 31. d1-c1 c4-c3
* 32. c1-d1 d4-c4
* 33. d1-d6 a1-b1
* 34. d2-d1 b1-c1
* 35. d1-d2 c1-d1
* 36. d6-d1 b3-a3
* 37. d1-c1 a3-a2
* 38. c1-b1 a2-b2
* 39. b1-a1 b2-c2
* 40. a1-b1 a4-b4
* 41. d2-d1 c2-d2
* 42. d1-c1 d2-c2
* 43. c1-d1 c2-d2
* 44. d1-c1 d2-c2
* 45. c1-d1 c2-d2
* 46. d1-c1 d2-c2
* 47. c1-d1 c2-d2
* Draws
* Comment 0 0
0. 1484659860437
1. 1484659860625
2. 1484659860812
3. 1484659861015
4. 1484659861250
5. 1484659861484
6. 1484659861671
7. 1484659861875
8. 1484659862062
9. 1484659862281
10. 1484659862531
11. 1484659862828
12. 1484659863031
13. 1484659863437
14. 1484659863640
15. 1484659864390
16. 1484659864578
17. 1484659865125
18. 1484659865328
19. 1484659865546
20. 1484659865734
21. 1484659866156
22. 1484659866343
23. 1484659866984
24. 1484659867171
25. 1484659867359
26. 1484659867546
27. 1484659871562
28. 1484659872296
29. 1484659873921
30. 1484659874218
31. 1484659881203
32. 1484659881734
33. 1484659884328
34. 1484659885000
35. 1484659890062
36. 1484659890250
37. 1484659894500
38. 1484659894796
39. 1484659898296
40. 1484659899015
41. 1484659902062
42. 1484659902578
43. 1484659907046
44. 1484659908109
45. 1484659916312
46. 1484659917250
47. 1484659929453
48. 1484659930421
49. 1484659942640
50. 1484659957109
51. 1484659969796
52. 1484659997062
53. 1484660009250
54. 1484660036468
55. 1484660048703
56. 1484660075937
57. 1484660088187
58. 1484660097671
59. 1484660109890
60. 1484660110093
61. 1484660122234
62. 1484660125484
63. 1484660125687
64. 1484660150609
65. 1484660161531
66. 1484660162703
67. 1484660162906
68. 1484660163390
69. 1484660175531
70. 1484660180640
71. 1484660192875
72. 1484660206765
73. 1484660218875
74. 1484660227062
75. 1484660237593
76. 1484660241093
77. 1484660253328
78. 1484660253515
79. 1484660253734
80. 1484660259187
81. 1484660259390
82. 1484660263750
83. 1484660275968
84. 1484660277156
85. 1484660277375
86. 1484660277578
87. 1484660277781
88. 1484660277984
89. 1484660278171
90. 1484660278390
91. 1484660278593
92. 1484660278796
93. 1484660279000
