* 12:14am Jan 18  2017
* a1 vs a55
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d7(K) d6(p)
* 2. a1(n) d6-d7
* 3. c2(p) b1(R)
* 4. b1-a1 a2(P)
* 5. b2(c) a3(M)
* 6. a1-b1 a4(P)
* 7. b1-a1 b4(P)
* 8. d3(k) b2-b4
* 9. c7(m) d7-d6
* 10. c8(p) d6-d7
* 11. d4(g) d7-d6
* 12. c3(P) c2-c3
* 13. b7(G) d2(M)
* 14. b7-c7 d3-d2
* 15. c7-c8 d1(P)
* 16. d1-d2 a5(n)
* 17. b8(m) a8(C)
* 18. c1(r) a7(N)
* 19. c8-b8 c4(N)
* 20. c4-b4 d5(c)
* 21. c6(C) b6(R)
* 22. c6-c3 c1-c2
* 23. b5(r) b5-b6
* 24. d8(g) c2-c3
* 25. a8-d8 d5-d8
* 26. c5(G) a5-a4
* 27. a3-a4 a6(p)
* 28. a7-a6 b6-a6
* 29. b3(p) b3-a3
* 30. a2-a3 c3-d3
* 31. d2-d1 d3-d2
* 32. d1-c1 d2-c2
* 33. a1-b1 c2-d2
* 34. b1-a1 d2-c2
* 35. a1-b1 c2-d2
* 36. b1-a1 d2-c2
* 37. a1-b1 c2-d2
* 38. b1-a1 d2-c2
* Draws
* Comment 0 0
0. 1484669649750
1. 1484669649937
2. 1484669650125
3. 1484669650312
4. 1484669650500
5. 1484669650687
6. 1484669650906
7. 1484669651093
8. 1484669651281
9. 1484669651468
10. 1484669651656
11. 1484669651843
12. 1484669652078
13. 1484669652265
14. 1484669652453
15. 1484669652640
16. 1484669652921
17. 1484669653109
18. 1484669653296
19. 1484669653484
20. 1484669653671
21. 1484669653859
22. 1484669654156
23. 1484669654343
24. 1484669654750
25. 1484669654937
26. 1484669657203
27. 1484669657421
28. 1484669657593
29. 1484669657796
30. 1484669658312
31. 1484669658500
32. 1484669660109
33. 1484669660328
34. 1484669663359
35. 1484669663656
36. 1484669675765
37. 1484669676500
38. 1484669688625
39. 1484669690250
40. 1484669702359
41. 1484669711843
42. 1484669723953
43. 1484669728843
44. 1484669740953
45. 1484669768046
46. 1484669780250
47. 1484669807421
48. 1484669819671
49. 1484669846906
50. 1484669859125
51. 1484669886218
52. 1484669898437
53. 1484669925718
54. 1484669937937
55. 1484669965156
56. 1484669977359
57. 1484670004562
58. 1484670016781
59. 1484670043890
60. 1484670056000
61. 1484670083109
62. 1484670095203
63. 1484670122312
64. 1484670134406
65. 1484670135031
66. 1484670145390
67. 1484670172484
68. 1484670184593
69. 1484670186203
70. 1484670186500
71. 1484670213687
72. 1484670225906
73. 1484670232421
74. 1484670232718
75. 1484670239031
