* 12:06am Jan 18  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b4(p) d6(r)
* 2. d5(G) d5-d6
* 3. c6(n) d6-d5
* 4. b6(n) a1(G)
* 5. a6(g) a7(R)
* 6. a6-a7 d5-d6
* 7. a8(P) d6-c6
* 8. b8(p) a2(p)
* 9. b1(c) c6-b6
* 10. c1(P) a8-b8
* 11. d1(K) a1-b1
* 12. c2(m) b1-a1
* 13. c3(r) c1-b1
* 14. c8(P) d1-c1
* 15. d2(p) a4(N)
* 16. d2-d1 b2(m)
* 17. d1-c1 b1-c1
* 18. c7(R) a1-b1
* 19. d8(P) a4-b4
* 20. d3(p) b6-c6
* 21. b5(N) c6-d6
* 22. a5(M) a5-a4
* 23. c5(C) b1-a1
* 24. b7(k) b8-b7
* 25. b3(c) c5-c3
* 26. c2-c3 b4-b3
* 27. b2-b3 a1-a2
* 28. a7-b7 a3(C)
* 29. b3-a3 a2-a3
* 30. b7-b8 c4(g)
* 31. c3-c2 d7(P)
* 32. c2-d2 d4(M)
* 33. c4-d4 c1-b1
* 34. b8-c8 b1-a1
* 35. c8-c7 a1-b1
* 36. c7-d7 d6-d7
* 37. d2-d1 b1-a1
* 38. d1-c1 a1-a2
* 39. c1-d1 a2-b2
* 40. d1-c1 b2-a2
* 41. c1-d1 a2-b2
* 42. d1-c1 b2-a2
* 43. c1-d1 a2-b2
* 44. d1-c1 b2-a2
* 45. c1-d1
* Draws
* Comment 0 0
0. 1484669184453
1. 1484669184671
2. 1484669184859
3. 1484669185078
4. 1484669185265
5. 1484669185500
6. 1484669185703
7. 1484669185890
8. 1484669186078
9. 1484669186296
10. 1484669186453
11. 1484669186640
12. 1484669186828
13. 1484669187015
14. 1484669187218
15. 1484669187546
16. 1484669187734
17. 1484669188515
18. 1484669188718
19. 1484669189671
20. 1484669189859
21. 1484669190484
22. 1484669190671
23. 1484669191750
24. 1484669191953
25. 1484669192906
26. 1484669193109
27. 1484669194812
28. 1484669195015
29. 1484669197734
30. 1484669198031
31. 1484669200843
32. 1484669201578
33. 1484669207781
34. 1484669208109
35. 1484669213656
36. 1484669214609
37. 1484669226718
38. 1484669227359
39. 1484669239500
40. 1484669240109
41. 1484669251562
42. 1484669252968
43. 1484669265078
44. 1484669265921
45. 1484669278093
46. 1484669288890
47. 1484669301109
48. 1484669328218
49. 1484669340437
50. 1484669367546
51. 1484669379656
52. 1484669406750
53. 1484669418968
54. 1484669421140
55. 1484669421328
56. 1484669448421
57. 1484669460531
58. 1484669460734
59. 1484669472890
60. 1484669478546
61. 1484669490750
62. 1484669493453
63. 1484669505671
64. 1484669532781
65. 1484669546296
66. 1484669546500
67. 1484669558718
68. 1484669585812
69. 1484669585984
70. 1484669613078
71. 1484669625187
72. 1484669625609
73. 1484669626671
74. 1484669626859
75. 1484669627812
76. 1484669628234
77. 1484669628421
78. 1484669628625
79. 1484669629625
80. 1484669629812
81. 1484669630125
82. 1484669630328
83. 1484669630625
84. 1484669630812
85. 1484669631156
86. 1484669631343
87. 1484669631671
88. 1484669631859
