* 6:27pm Jan 18  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a7(k) d7(M)
* 2. a6(n) d6(R)
* 3. b7(g) d8(C)
* 4. b8(G) b8-b7
* 5. a7-b7 d5(p)
* 6. a5(m) d6-d5
* 7. a4(r) d7-d6
* 8. b5(P) c6(m)
* 9. c6-d6 d4(R)
* 10. a6-a7 d3(G)
* 11. a5-b5 d2(M)
* 12. a4-a5 d1(K)
* 13. a5-a4 c2(p)
* 14. a4-a5 c4(n)
* 15. a5-a4 c7(p)
* 16. a4-a5 a3(P)
* 17. a5-a4 b2(p)
* 18. a4-a3 b1(g)
* 19. a3-a4 a2(N)
* 20. a4-a3 b4(r)
* 21. a3-a2 c8(c)
* 22. a2-a3 a8(P)
* 23. a1(N) c5(c)
* 24. d6-d5 c3(P)
* 25. d5-d4 d3-d4
* 26. c4-c3 d2-c2
* 27. c5-c2 d1-d2
* 28. b3(p) d2-c2
* 29. b2-c2 c1(P)
* 30. b1-a1 d4-d5
* 31. b6(C) b6-b4
* 32. b5-b4 c1-c2
* 33. a7-a6 c2-c1
* 34. a1-a2 d8-d7
* 35. c8-b8 d7-b7
* 36. a6-a7 b7-b6
* 37. a7-a8 b6-b7
* 38. a2-a1 c1-d1
* 39. a3-a2 d1-c1
* 40. a1-b1 c1-d1
* 41. b1-a1 d1-c1
* 42. a1-b1 c1-d1
* 43. b1-a1 d1-c1
* 44. a1-b1 c1-d1
* 45. b1-a1 d1-c1
* Draws
* Comment 0 0
0. 1484735268625
1. 1484735268828
2. 1484735269015
3. 1484735269203
4. 1484735269375
5. 1484735269546
6. 1484735269765
7. 1484735269953
8. 1484735270140
9. 1484735270343
10. 1484735270546
11. 1484735270812
12. 1484735271062
13. 1484735271265
14. 1484735271484
15. 1484735271687
16. 1484735271875
17. 1484735272093
18. 1484735272281
19. 1484735272484
20. 1484735272703
21. 1484735272875
22. 1484735273078
23. 1484735273250
24. 1484735273437
25. 1484735273640
26. 1484735273875
27. 1484735274062
28. 1484735274281
29. 1484735274453
30. 1484735274671
31. 1484735274890
32. 1484735275093
33. 1484735275281
34. 1484735275578
35. 1484735275781
36. 1484735276093
37. 1484735276296
38. 1484735276921
39. 1484735277328
40. 1484735279484
41. 1484735280234
42. 1484735281000
43. 1484735283156
44. 1484735296156
45. 1484735319437
46. 1484735346640
47. 1484735362046
48. 1484735389234
49. 1484735407984
50. 1484735435093
51. 1484735462187
52. 1484735489328
53. 1484735493171
54. 1484735494593
55. 1484735521796
56. 1484735540718
57. 1484735557093
58. 1484735584296
59. 1484735611421
60. 1484735631625
61. 1484735658828
62. 1484735685937
63. 1484735706578
64. 1484735727984
65. 1484735755093
66. 1484735755265
67. 1484735759281
68. 1484735786375
69. 1484735792687
70. 1484735797812
71. 1484735805796
72. 1484735823328
73. 1484735828468
74. 1484735832046
75. 1484735832359
76. 1484735833125
77. 1484735834093
78. 1484735835593
79. 1484735838968
80. 1484735839703
81. 1484735839921
82. 1484735840125
83. 1484735840359
84. 1484735840531
85. 1484735840750
86. 1484735840953
87. 1484735841156
88. 1484735841390
89. 1484735841609
