* 3:22pm Jan 12  2017
* a55 vs a1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c3(C) b8(P)
* 2. a7(k) d5(N)
* 3. c4(M) d8(G)
* 4. d6(m) d6-d5
* 5. c8(K) c2(p)
* 6. d7(g) d7-d6
* 7. c6(c) c6-c4
* 8. a8(P) b5(C)
* 9. a8-a7 d2(P)
* 10. d2-c2 c4-c2
* 11. c3-c4 a1(r)
* 12. c4-c3 b7(n)
* 13. b5-b7 b3(n)
* 14. d3(r) c2-d2
* 15. d4(p) b3-c3
* 16. b6(R) d6-c6
* 17. a2(P) c6-b6
* 18. a3(P) a1-a2
* 19. a5(R) a2-a3
* 20. c5(p) c5-c4
* 21. a4(c) d2-c2
* 22. b1(g) b1-a1
* 23. d1(M) a1-b1
* 24. b4(p) b6-b7
* 25. d1-d2 c1(p)
* 26. d2-c2 b2(G)
* 27. b2-b1 c7(N)
* 28. c2-c3 a6(m)
* 29. b1-c1 a6-a5
* 30. c1-d1 a4-a7
* 31. c3-d3 a7-a8
* 32. d1-c1 a3-b3
* 33. c1-d1 b3-b2
* 34. d1-c1 b2-a2
* 35. c1-d1 a2-b2
* 36. d1-c1 b2-a2
* 37. c1-d1 a2-b2
* 38. d1-c1 b2-a2
* 39. c1-d1 a2-b2
* 40. d1-c1
* Draws
* Comment 0 0
0. 1484205781016
1. 1484205781203
2. 1484205781438
3. 1484205781656
4. 1484205781844
5. 1484205782094
6. 1484205782313
7. 1484205782531
8. 1484205782719
9. 1484205782906
10. 1484205783094
11. 1484205783281
12. 1484205783469
13. 1484205783703
14. 1484205783922
15. 1484205784110
16. 1484205784313
17. 1484205784500
18. 1484205784719
19. 1484205784922
20. 1484205785125
21. 1484205785328
22. 1484205785516
23. 1484205785703
24. 1484205785922
25. 1484205786110
26. 1484205786297
27. 1484205786500
28. 1484205786688
29. 1484205786875
30. 1484205787078
31. 1484205787281
32. 1484205787469
33. 1484205787656
34. 1484205787875
35. 1484205788063
36. 1484205788281
37. 1484205788469
38. 1484205788656
39. 1484205788875
40. 1484205789110
41. 1484205789328
42. 1484205789547
43. 1484205789766
44. 1484205789953
45. 1484205790141
46. 1484205790328
47. 1484205790641
48. 1484205790828
49. 1484205791125
50. 1484205791313
51. 1484205791610
52. 1484205792125
53. 1484205792641
54. 1484205793375
55. 1484205794360
56. 1484205797172
57. 1484205799344
58. 1484205800953
59. 1484205802578
60. 1484205803860
61. 1484205805281
62. 1484205806156
63. 1484205807656
64. 1484205808610
65. 1484205809828
66. 1484205810672
67. 1484205812391
68. 1484205813453
69. 1484205814750
70. 1484205815688
71. 1484205817406
72. 1484205818469
73. 1484205819750
74. 1484205820594
75. 1484205822313
76. 1484205823375
77. 1484205824656
78. 1484205825500
